X    Y
5.0000000000e-01   5.0000000000e-01
5.0002500092e-01   4.9998812544e-01
5.0027511157e-01   4.9986942798e-01
5.0278638302e-01   4.9868726908e-01
5.2313484676e-01   4.8971860628e-01
5.4467838731e-01   4.8128658088e-01
5.6747237239e-01   4.7339046568e-01
5.9157407059e-01   4.6603073416e-01
5.9160565994e-01   4.6602169349e-01
5.9192167563e-01   4.6593133493e-01
5.9509407915e-01   4.6503256106e-01
6.2076077730e-01   4.5828737277e-01
6.4786340066e-01   4.5208409710e-01
6.7646389988e-01   4.4642767744e-01
6.7650134832e-01   4.4642081720e-01
6.7687597227e-01   4.4635226433e-01
6.8063619516e-01   4.4567168646e-01
7.1102340046e-01   4.4064772624e-01
7.4304361894e-01   4.3618708330e-01
7.4308551408e-01   4.3618175992e-01
7.4350461715e-01   4.3612857740e-01
7.4771084423e-01   4.3560188915e-01
7.8167248997e-01   4.3179759469e-01
8.1740175636e-01   4.2858245195e-01
8.1744846562e-01   4.2857873517e-01
8.1791572172e-01   4.2854162142e-01
8.2260466122e-01   4.2817589906e-01
8.6042602579e-01   4.2565278917e-01
9.0014244996e-01   4.2375607537e-01
9.0019432170e-01   4.2375406593e-01
9.0071321354e-01   4.2373402941e-01
9.0591959086e-01   4.2353947015e-01
9.4786563679e-01   4.2238488434e-01
9.9181751171e-01   4.2190792378e-01
9.9187484956e-01   4.2190776038e-01
9.9244841127e-01   4.2190618951e-01
9.9820236593e-01   4.2189681587e-01
1.0444953764e+00   4.2222978913e-01
1.0445557260e+00   4.2223068213e-01
1.0451594079e+00   4.2223967884e-01
1.0512149046e+00   4.2233633023e-01
1.0998919640e+00   4.2352400467e-01
1.0999553719e+00   4.2352601488e-01
1.1005896392e+00   4.2354618766e-01
1.1069512078e+00   4.2375500330e-01
1.1580395054e+00   4.2584907043e-01
1.1581059960e+00   4.2585226791e-01
1.1587710923e+00   4.2588431803e-01
1.1654410143e+00   4.2621237103e-01
1.2189480580e+00   4.2927226405e-01
1.2190176285e+00   4.2927672923e-01
1.2197135215e+00   4.2932146161e-01
1.2266912859e+00   4.2977686867e-01
1.2826003067e+00   4.3387066499e-01
1.2826729202e+00   4.3387648984e-01
1.2833992397e+00   4.3393482504e-01
1.2906809130e+00   4.3452686704e-01
1.3489455660e+00   4.3973227422e-01
1.3490211447e+00   4.3973956359e-01
1.3497771104e+00   4.3981255084e-01
1.3573546128e+00   4.4055180362e-01
1.4178929191e+00   4.4695722159e-01
1.4179713362e+00   4.4696609457e-01
1.4187556763e+00   4.4705492568e-01
1.4266159582e+00   4.4795339985e-01
1.4893034420e+00   4.5565904364e-01
1.4893845123e+00   4.5566963502e-01
1.4901953713e+00   4.5577565899e-01
1.4983194851e+00   4.5684694586e-01
1.5629814892e+00   4.6596600112e-01
1.5630649590e+00   4.6597846289e-01
1.5638997947e+00   4.6610320064e-01
1.5722618626e+00   4.6736261987e-01
1.6386650613e+00   4.7802238639e-01
1.6387505970e+00   4.7803688915e-01
1.6396060687e+00   4.7818204782e-01
1.6481721513e+00   4.7964678973e-01
1.7160153394e+00   4.9198974481e-01
1.7161025155e+00   4.9200647904e-01
1.7169743622e+00   4.9217396478e-01
1.7257012437e+00   4.9386321666e-01
1.7946055631e+00   5.0804789934e-01
