X    Y
0.0000000000e+00   5.0000000000e-01
1.0000000000e-04   4.9998812544e-01
1.1000000000e-03   4.9986942798e-01
1.1100000000e-02   4.9868726908e-01
8.9531372549e-02   4.8971860628e-01
1.6796274510e-01   4.8128658088e-01
2.4639411765e-01   4.7339046568e-01
3.2482549020e-01   4.6603073416e-01
3.2492549020e-01   4.6602169349e-01
3.2592549020e-01   4.6593133493e-01
3.3592549020e-01   4.6503256106e-01
4.1435686275e-01   4.5828737277e-01
4.9278823529e-01   4.5208409710e-01
5.7121960784e-01   4.4642767744e-01
5.7131960784e-01   4.4642081720e-01
5.7231960784e-01   4.4635226433e-01
5.8231960784e-01   4.4567168646e-01
6.6075098039e-01   4.4064772624e-01
7.3918235294e-01   4.3618708330e-01
7.3928235294e-01   4.3618175992e-01
7.4028235294e-01   4.3612857740e-01
7.5028235294e-01   4.3560188915e-01
8.2871372549e-01   4.3179759469e-01
9.0714509804e-01   4.2858245195e-01
9.0724509804e-01   4.2857873517e-01
9.0824509804e-01   4.2854162142e-01
9.1824509804e-01   4.2817589906e-01
9.9667647059e-01   4.2565278917e-01
1.0751078431e+00   4.2375607537e-01
1.0752078431e+00   4.2375406593e-01
1.0762078431e+00   4.2373402941e-01
1.0862078431e+00   4.2353947015e-01
1.1646392157e+00   4.2238488434e-01
1.2430705882e+00   4.2190792378e-01
1.2431705882e+00   4.2190776038e-01
1.2441705882e+00   4.2190618951e-01
1.2541705882e+00   4.2189681587e-01
1.3326019608e+00   4.2222978913e-01
1.3327019608e+00   4.2223068213e-01
1.3337019608e+00   4.2223967884e-01
1.3437019608e+00   4.2233633023e-01
1.4221333333e+00   4.2352400467e-01
1.4222333333e+00   4.2352601488e-01
1.4232333333e+00   4.2354618766e-01
1.4332333333e+00   4.2375500330e-01
1.5116647059e+00   4.2584907043e-01
1.5117647059e+00   4.2585226791e-01
1.5127647059e+00   4.2588431803e-01
1.5227647059e+00   4.2621237103e-01
1.6011960784e+00   4.2927226405e-01
1.6012960784e+00   4.2927672923e-01
1.6022960784e+00   4.2932146161e-01
1.6122960784e+00   4.2977686867e-01
1.6907274510e+00   4.3387066499e-01
1.6908274510e+00   4.3387648984e-01
1.6918274510e+00   4.3393482504e-01
1.7018274510e+00   4.3452686704e-01
1.7802588235e+00   4.3973227422e-01
1.7803588235e+00   4.3973956359e-01
1.7813588235e+00   4.3981255084e-01
1.7913588235e+00   4.4055180362e-01
1.8697901961e+00   4.4695722159e-01
1.8698901961e+00   4.4696609457e-01
1.8708901961e+00   4.4705492568e-01
1.8808901961e+00   4.4795339985e-01
1.9593215686e+00   4.5565904364e-01
1.9594215686e+00   4.5566963502e-01
1.9604215686e+00   4.5577565899e-01
1.9704215686e+00   4.5684694586e-01
2.0488529412e+00   4.6596600112e-01
2.0489529412e+00   4.6597846289e-01
2.0499529412e+00   4.6610320064e-01
2.0599529412e+00   4.6736261987e-01
2.1383843137e+00   4.7802238639e-01
2.1384843137e+00   4.7803688915e-01
2.1394843137e+00   4.7818204782e-01
2.1494843137e+00   4.7964678973e-01
2.2279156863e+00   4.9198974481e-01
2.2280156863e+00   4.9200647904e-01
2.2290156863e+00   4.9217396478e-01
2.2390156863e+00   4.9386321666e-01
2.3174470588e+00   5.0804789934e-01
2.3175470588e+00   5.0806707641e-01
2.3185470588e+00   5.0825900413e-01
2.3285470588e+00   5.1019404569e-01
2.4069784314e+00   5.2639562205e-01
2.4070784314e+00   5.2641747467e-01
2.4080784314e+00   5.2663617283e-01
2.4180784314e+00   5.2884041975e-01
2.4965098039e+00   5.4725073864e-01
2.4966098039e+00   5.4727552057e-01
2.4976098039e+00   5.4752352812e-01
2.5076098039e+00   5.5002249570e-01
2.5860411765e+00   5.7084938205e-01
2.5861411765e+00   5.7087736668e-01
2.5871411765e+00   5.7115741858e-01
2.5971411765e+00   5.7397856871e-01
2.6755725490e+00   5.9744402979e-01
2.6756725490e+00   5.9747550709e-01
2.6766725490e+00   5.9779050388e-01
2.6866725490e+00   6.0096292908e-01
2.7651039216e+00   6.2729987189e-01
2.7652039216e+00   6.2733514322e-01
2.7662039216e+00   6.2768809907e-01
2.7762039216e+00   6.3124198730e-01
2.8546352941e+00   6.6068897210e-01
2.8547352941e+00   6.6072834225e-01
2.8557352941e+00   6.6112230494e-01
2.8657352941e+00   6.6508812074e-01
2.9441666667e+00   6.9788162185e-01
2.9442666667e+00   6.9792538758e-01
2.9452666667e+00   6.9836332374e-01
2.9552666667e+00   7.0277063629e-01
3.0336980392e+00   7.3913427231e-01
3.0337980392e+00   7.3918270674e-01
3.0347980392e+00   7.3966734547e-01
3.0447980392e+00   7.4454323766e-01
3.1232294118e+00   7.8467350272e-01
3.1233294118e+00   7.8472683503e-01
3.1243294118e+00   7.8526046488e-01
3.1343294118e+00   7.9062747299e-01
3.2127607843e+00   8.3467569217e-01
3.2128607843e+00   8.3473408253e-01
3.2138607843e+00   8.3531829984e-01
3.2238607843e+00   8.4119186810e-01
3.3022921569e+00   8.8924245852e-01
3.3023921569e+00   8.8930596839e-01
3.3033921569e+00   8.8994138093e-01
3.3133921569e+00   8.9632687303e-01
3.3918235294e+00   9.4837255147e-01
3.3919235294e+00   9.4844111078e-01
3.3929235294e+00   9.4912700867e-01
3.4029235294e+00   9.5601640356e-01
3.4813549020e+00   1.0119317453e+00
3.4814549020e+00   1.0120051186e+00
3.4824549020e+00   1.0127391355e+00
3.4924549020e+00   1.0201076434e+00
3.5708862745e+00   1.0796233085e+00
3.5709862745e+00   1.0797010633e+00
3.5719862745e+00   1.0804788627e+00
3.5819862745e+00   1.0882818180e+00
3.6604176471e+00   1.1509626801e+00
3.6605176471e+00   1.1510441630e+00
3.6615176471e+00   1.1518591955e+00
3.6715176471e+00   1.1600296909e+00
3.7499490196e+00   1.2252608013e+00
3.7500490196e+00   1.2253451255e+00
3.7510490196e+00   1.2261885100e+00
3.7610490196e+00   1.2346362982e+00
3.8394803922e+00   1.3016207900e+00
3.8395803922e+00   1.3017068410e+00
3.8405803922e+00   1.3025674191e+00
3.8505803922e+00   1.3111795833e+00
3.8506803922e+00   1.3112657605e+00
3.8516803922e+00   1.3121275891e+00
3.8616803922e+00   1.3207512394e+00
3.8617803922e+00   1.3208375220e+00
3.8627803922e+00   1.3217003947e+00
3.8727803922e+00   1.3303334501e+00
3.8728803922e+00   1.3304198172e+00
3.8738803922e+00   1.3312835244e+00
3.8838803922e+00   1.3399238717e+00
3.8839803922e+00   1.3400103020e+00
3.8849803922e+00   1.3408746306e+00
3.8949803922e+00   1.3495201257e+00
3.8950803922e+00   1.3496065977e+00
3.8960803922e+00   1.3504713319e+00
3.9060803922e+00   1.3591198012e+00
3.9061803922e+00   1.3592062929e+00
3.9071803922e+00   1.3600712139e+00
3.9171803922e+00   1.3687204556e+00
3.9172803922e+00   1.3688069450e+00
3.9182803922e+00   1.3696718312e+00
3.9282803922e+00   1.3783196171e+00
3.9283803922e+00   1.3784060816e+00
3.9293803922e+00   1.3792707090e+00
3.9393803922e+00   1.3879147857e+00
3.9394803922e+00   1.3880012028e+00
3.9404803922e+00   1.3888653447e+00
3.9504803922e+00   1.3975034355e+00
3.9505803922e+00   1.3975897823e+00
3.9515803922e+00   1.3984532101e+00
3.9615803922e+00   1.4070830164e+00
3.9616803922e+00   1.4071692699e+00
3.9626803922e+00   1.4080317526e+00
3.9726803922e+00   1.4166509561e+00
3.9727803922e+00   1.4167370930e+00
3.9737803922e+00   1.4175983977e+00
3.9837803922e+00   1.4262046617e+00
3.9838803922e+00   1.4262906585e+00
3.9848803922e+00   1.4271505508e+00
3.9948803922e+00   1.4357415222e+00
3.9949803922e+00   1.4358273554e+00
3.9959803922e+00   1.4366855992e+00
4.0059803922e+00   1.4452589103e+00
4.0060803922e+00   1.4453445560e+00
4.0070803922e+00   1.4462009139e+00
4.0170803922e+00   1.4547541845e+00
4.0171803922e+00   1.4548396189e+00
4.0181803922e+00   1.4556938522e+00
4.0281803922e+00   1.4642246912e+00
4.0282803922e+00   1.4643098904e+00
4.0292803922e+00   1.4651617597e+00
4.0392803922e+00   1.4736677673e+00
4.0393803922e+00   1.4737527072e+00
4.0403803922e+00   1.4746019720e+00
4.0503803922e+00   1.4830807417e+00
4.0504803922e+00   1.4831653983e+00
4.0514803922e+00   1.4840118177e+00
