X    Y
0.0000000000e+00   5.0000000000e-01
9.6774193548e-02   5.2507339065e-01
1.9354838710e-01   5.5197399429e-01
2.9032258065e-01   5.8080649452e-01
3.8709677419e-01   6.1167960768e-01
4.8387096774e-01   6.4470520668e-01
5.8064516129e-01   6.7999708059e-01
6.7741935484e-01   7.1766930899e-01
7.7419354839e-01   7.5783430118e-01
8.7096774194e-01   8.0060068064e-01
9.6774193548e-01   8.4607141552e-01
1.0645161290e+00   8.9434295483e-01
1.1612903226e+00   9.4550669217e-01
1.2580645161e+00   9.9965493835e-01
1.3548387097e+00   1.0568948700e+00
1.4516129032e+00   1.1173758075e+00
1.5483870968e+00   1.1813378972e+00
1.6451612903e+00   1.2491941306e+00
1.7419354839e+00   1.3216630133e+00
1.8387096774e+00   1.3999765648e+00
1.9354838710e+00   1.4861982055e+00
2.0322580645e+00   1.5836980143e+00
2.1290322581e+00   1.6978492255e+00
2.2258064516e+00   1.8370297075e+00
2.3225806452e+00   2.0140347201e+00
2.4193548387e+00   2.2480299241e+00
2.5161290323e+00   2.5671906681e+00
2.6129032258e+00   3.0121734321e+00
2.7096774194e+00   3.6405262987e+00
2.8064516129e+00   4.5320284589e+00
2.9032258065e+00   5.7946859330e+00
3.0000000000e+00   7.5705853592e+00
3.0000000000e+00   7.5705853592e+00
