X    Y
5.0000000000e-01   5.0000000000e-01
5.2507339065e-01   4.8891747225e-01
5.5197399429e-01   4.7865184414e-01
5.8080649452e-01   4.6920225254e-01
6.1167960768e-01   4.6057079930e-01
6.4470520668e-01   4.5276298797e-01
6.7999708059e-01   4.4578826269e-01
7.1766930899e-01   4.3966063726e-01
7.5783430118e-01   4.3439937028e-01
8.0060068064e-01   4.3002958880e-01
8.4607141552e-01   4.2658267713e-01
8.9434295483e-01   4.2409611462e-01
9.4550669217e-01   4.2261224470e-01
9.9965493835e-01   4.2217515876e-01
1.0568948700e+00   4.2282444234e-01
1.1173758075e+00   4.2458390649e-01
1.1813378972e+00   4.2744254470e-01
1.2491941306e+00   4.3132373145e-01
1.3216630133e+00   4.3603700799e-01
1.3999765648e+00   4.4120456733e-01
1.4861982055e+00   4.4615163592e-01
1.5836980143e+00   4.4974626105e-01
1.6978492255e+00   4.5016954244e-01
1.8370297075e+00   4.4459227117e-01
2.0140347201e+00   4.2872881313e-01
2.2480299241e+00   3.9623515465e-01
2.5671906681e+00   3.3791783579e-01
3.0121734321e+00   2.4072875648e-01
3.6405262987e+00   8.6546046602e-02
4.5320284589e+00   -1.4920182756e-01
5.7946859330e+00   -4.9889743128e-01
7.5705853592e+00   -1.0036959861e+00
7.5705853592e+00   -1.0036959861e+00
