X    Y
0.0000000000e+00   5.0000000000e-01
9.6774193548e-02   4.8891747225e-01
1.9354838710e-01   4.7865184414e-01
2.9032258065e-01   4.6920225254e-01
3.8709677419e-01   4.6057079930e-01
4.8387096774e-01   4.5276298797e-01
5.8064516129e-01   4.4578826269e-01
6.7741935484e-01   4.3966063726e-01
7.7419354839e-01   4.3439937028e-01
8.7096774194e-01   4.3002958880e-01
9.6774193548e-01   4.2658267713e-01
1.0645161290e+00   4.2409611462e-01
1.1612903226e+00   4.2261224470e-01
1.2580645161e+00   4.2217515876e-01
1.3548387097e+00   4.2282444234e-01
1.4516129032e+00   4.2458390649e-01
1.5483870968e+00   4.2744254470e-01
1.6451612903e+00   4.3132373145e-01
1.7419354839e+00   4.3603700799e-01
1.8387096774e+00   4.4120456733e-01
1.9354838710e+00   4.4615163592e-01
2.0322580645e+00   4.4974626105e-01
2.1290322581e+00   4.5016954244e-01
2.2258064516e+00   4.4459227117e-01
2.3225806452e+00   4.2872881313e-01
2.4193548387e+00   3.9623515465e-01
2.5161290323e+00   3.3791783579e-01
2.6129032258e+00   2.4072875648e-01
2.7096774194e+00   8.6546046602e-02
2.8064516129e+00   -1.4920182756e-01
2.9032258065e+00   -4.9889743128e-01
3.0000000000e+00   -1.0036959861e+00
3.0000000000e+00   -1.0036959861e+00
