X    Y
5.0000000000e-01   5.0000000000e-01
5.0002500092e-01   4.9998812544e-01
5.0027511157e-01   4.9986942798e-01
5.0278638302e-01   4.9868726908e-01
5.0281158927e-01   4.9867549170e-01
5.0306375386e-01   4.9855776601e-01
5.0559563078e-01   4.9738532177e-01
5.2610993945e-01   4.8849269345e-01
5.2613685134e-01   4.8848169803e-01
5.2640607774e-01   4.8837179172e-01
5.2910911996e-01   4.8727752383e-01
5.5100089573e-01   4.7899721125e-01
5.5102960406e-01   4.7898699589e-01
5.5131680060e-01   4.7888489023e-01
5.5420011466e-01   4.7786862439e-01
5.7754222144e-01   4.7020011341e-01
5.7757282071e-01   4.7019067846e-01
5.7787893250e-01   4.7009637697e-01
5.8095199111e-01   4.6915816290e-01
6.0582003836e-01   4.6210277667e-01
6.0585262639e-01   4.6209412491e-01
6.0617863196e-01   4.6200765551e-01
6.0945123952e-01   4.6114778811e-01
6.3592327132e-01   4.5470886344e-01
6.3595794885e-01   4.5470100031e-01
6.3630485566e-01   4.5462241768e-01
6.3595794885e-01   4.5470100031e-01
6.3630485566e-01   4.5462241768e-01
6.3633955949e-01   4.5461456428e-01
6.3668672947e-01   4.5453607900e-01
6.3672145963e-01   4.5452823534e-01
6.3706889292e-01   4.5444984744e-01
6.3710364942e-01   4.5444201351e-01
6.3745134619e-01   4.5436372299e-01
6.3748612905e-01   4.5435589881e-01
6.3783408945e-01   4.5427770568e-01
6.3786889868e-01   4.5426989124e-01
6.3821712287e-01   4.5419179552e-01
6.3825195849e-01   4.5418399082e-01
6.3860044662e-01   4.5410599252e-01
6.3863530864e-01   4.5409819757e-01
6.3898406088e-01   4.5402029671e-01
6.3901894931e-01   4.5401251149e-01
6.3936796580e-01   4.5393470808e-01
6.3940288067e-01   4.5392693261e-01
6.3975216157e-01   4.5384922666e-01
6.3978710289e-01   4.5384146094e-01
6.4013664836e-01   4.5376385246e-01
6.4017161614e-01   4.5375609649e-01
6.4052142634e-01   4.5367858550e-01
6.4055642060e-01   4.5367083928e-01
6.4090649568e-01   4.5359342579e-01
6.4094151643e-01   4.5358568932e-01
6.4129185655e-01   4.5350837334e-01
6.4132690382e-01   4.5350064662e-01
6.4167750912e-01   4.5342342818e-01
6.4171258292e-01   4.5341571121e-01
6.4206345357e-01   4.5333859030e-01
6.4209855391e-01   4.5333088309e-01
6.4244969007e-01   4.5325385974e-01
6.4248481696e-01   4.5324616228e-01
6.4283621878e-01   4.5316923650e-01
6.4287137225e-01   4.5316154880e-01
6.4322303989e-01   4.5308472060e-01
6.4325821995e-01   4.5307704266e-01
6.4361015356e-01   4.5300031206e-01
6.4364536022e-01   4.5299264388e-01
6.4399755996e-01   4.5291601089e-01
6.4403279325e-01   4.5290835247e-01
6.4438525927e-01   4.5283181710e-01
6.4442051920e-01   4.5282416844e-01
6.4477325166e-01   4.5274773071e-01
6.4480853824e-01   4.5274009182e-01
6.4516153731e-01   4.5266375173e-01
6.4519685055e-01   4.5265612261e-01
6.4555011637e-01   4.5257988019e-01
6.4558545630e-01   4.5257226083e-01
6.4593898903e-01   4.5249611609e-01
6.4597435566e-01   4.5248850650e-01
6.4632815546e-01   4.5241245946e-01
6.4636354880e-01   4.5240485964e-01
6.4671761583e-01   4.5232891030e-01
