X    Y
0.0000000000e+00   nan
7.8201368524e-02   1.5091297338e-03
1.5640273705e-01   8.1138245711e-04
2.3460410557e-01   5.7970042294e-04
3.1280547410e-01   7.8076637205e-04
3.9100684262e-01   6.6446558601e-04
4.6920821114e-01   7.1048452412e-04
5.4740957967e-01   6.4250852273e-04
6.2561094819e-01   5.9627061095e-04
7.0381231672e-01   5.5386735387e-04
7.8201368524e-01   4.3724037501e-04
8.6021505376e-01   4.1069644732e-04
9.3841642229e-01   2.3798523112e-04
1.0166177908e+00   2.2390533086e-04
1.0948191593e+00   1.0628569244e-05
1.1730205279e+00   9.9445729454e-06
1.2512218964e+00   5.5412997175e-08
1.3294232649e+00   1.5763592043e-04
1.4076246334e+00   1.4567760102e-04
1.4858260020e+00   2.2786783141e-04
1.5640273705e+00   2.4954484054e-04
1.6422287390e+00   2.2372506009e-04
1.7204301075e+00   1.9574743232e-04
1.7986314761e+00   1.4065115183e-04
1.8768328446e+00   1.1682695446e-04
1.9550342131e+00   5.7461457763e-05
2.0332355816e+00   4.3083884634e-05
2.1114369501e+00   2.7206454108e-06
2.1896383187e+00   1.4447736379e-06
2.2678396872e+00   3.0961816486e-09
2.3460410557e+00   2.1166094839e-06
2.4242424242e+00   1.1438014055e-05
2.5024437928e+00   1.9966263065e-05
2.5806451613e+00   5.0006918309e-05
2.6588465298e+00   6.1948872664e-05
2.7370478983e+00   7.2402618549e-05
2.8152492669e+00   1.0114538241e-04
2.8934506354e+00   1.1030847288e-04
2.9716520039e+00   1.1783362874e-04
3.0498533724e+00   1.2697937710e-04
3.1280547410e+00   1.3149422815e-04
3.2062561095e+00   1.3469186993e-04
3.2844574780e+00   1.1727544816e-04
3.3626588465e+00   1.1798194088e-04
3.4408602151e+00   7.5559028955e-05
3.5190615836e+00   7.5000012130e-05
3.5972629521e+00   1.0334103368e-05
3.6754643206e+00   1.0151365956e-05
3.7536656891e+00   3.3481319916e-07
3.8318670577e+00   5.5658336265e-05
3.9100684262e+00   5.4199561068e-05
3.9882697947e+00   9.4907273244e-05
4.0664711632e+00   9.1797282870e-05
4.1446725318e+00   1.0946749740e-04
4.2228739003e+00   1.0527139441e-04
4.3010752688e+00   1.0329813789e-04
4.3792766373e+00   9.8834376630e-05
4.4574780059e+00   9.4352990610e-05
4.5356793744e+00   7.7233168330e-05
4.6138807429e+00   7.3396512636e-05
4.6920821114e+00   6.9604118626e-05
4.7702834800e+00   4.2773725896e-05
4.8484848485e+00   4.0380344107e-05
4.9266862170e+00   3.8036056450e-05
5.0048875855e+00   6.3643324151e-06
5.0830889541e+00   5.9642950353e-06
5.1612903226e+00   5.5743626420e-06
5.2394916911e+00   5.1945795611e-06
5.3176930596e+00   2.6562614299e-07
5.3958944282e+00   1.9225453886e-05
5.4740957967e+00   1.7764364699e-05
5.5522971652e+00   1.6340859115e-05
5.6304985337e+00   1.4953103223e-05
5.7086999022e+00   2.5102913535e-05
5.7869012708e+00   2.2642065647e-05
5.8651026393e+00   2.0233292629e-05
5.9433040078e+00   1.7870607338e-05
6.0215053763e+00   1.5547452701e-05
6.0997067449e+00   1.6335740911e-05
6.1779081134e+00   1.3499429317e-05
6.2561094819e+00   1.0682636073e-05
6.3343108504e+00   7.8739813378e-06
6.4125122190e+00   4.9557491158e-06
6.4907135875e+00   2.0278539245e-06
6.5689149560e+00   9.3418727951e-07
6.6471163245e+00   3.6853931630e-06
6.7253176931e+00   6.3720962496e-06
6.8035190616e+00   9.1355107129e-06
6.8817204301e+00   8.1557630594e-06
6.9599217986e+00   1.0138718500e-05
7.0381231672e+00   1.2211955225e-05
7.1163245357e+00   3.1512363272e-06
7.1945259042e+00   3.6498679617e-06
7.2727272727e+00   2.5664822904e-07
7.3509286413e+00   1.3943307677e-05
7.4291300098e+00   1.5762873082e-05
7.5073313783e+00   3.4455980395e-05
7.5855327468e+00   3.8467417068e-05
7.6637341153e+00   5.4683771913e-05
7.7419354839e+00   6.0504135150e-05
7.8201368524e+00   7.0115121659e-05
7.8983382209e+00   7.6987919660e-05
7.9765395894e+00   7.4588835492e-05
8.0547409580e+00   8.1259354247e-05
8.1329423265e+00   6.0126095031e-05
8.2111436950e+00   6.4890435942e-05
8.2893450635e+00   1.7540531908e-05
8.3675464321e+00   1.2521148394e-06
8.4457478006e+00   4.7966825739e-05
8.5239491691e+00   1.0148178012e-04
8.6021505376e+00   1.3639355125e-04
8.6803519062e+00   1.4837554146e-04
8.7585532747e+00   1.3428722772e-04
8.8367546432e+00   9.2945506450e-05
8.9149560117e+00   2.5878366992e-05
8.9931573803e+00   1.7608816794e-06
9.0713587488e+00   4.9851817272e-05
9.1495601173e+00   9.6551094893e-05
9.2277614858e+00   1.1318764812e-04
9.3059628543e+00   1.0409478871e-04
9.3841642229e+00   7.6780386818e-05
9.4623655914e+00   4.1213831474e-05
9.5405669599e+00   8.7379417907e-06
9.6187683284e+00   4.1423639581e-07
9.6969696970e+00   5.4548232851e-06
9.7751710655e+00   3.0304608121e-06
9.8533724340e+00   2.2379044483e-05
9.9315738025e+00   3.7803163788e-05
1.0009775171e+01   5.6449116032e-05
1.0087976540e+01   6.9201999929e-05
1.0166177908e+01   7.2995245754e-05
1.0244379277e+01   8.0850449275e-05
1.0322580645e+01   6.2260494300e-05
1.0400782014e+01   6.5438362821e-05
1.0478983382e+01   2.3077923280e-05
1.0557184751e+01   1.5778935172e-06
1.0635386119e+01   3.3265955157e-05
1.0713587488e+01   7.5615937920e-05
1.0791788856e+01   9.9563931688e-05
1.0869990225e+01   1.0496185889e-04
1.0948191593e+01   1.0237081190e-04
1.1026392962e+01   8.9847494284e-05
1.1104594330e+01   8.6579506263e-05
1.1182795699e+01   5.9622024303e-05
1.1260997067e+01   5.6887726975e-05
1.1339198436e+01   1.9726161767e-05
1.1417399804e+01   1.8660344556e-05
1.1495601173e+01   1.1609137790e-06
1.1573802542e+01   2.0491629387e-05
1.1652003910e+01   1.9212946402e-05
1.1730205279e+01   4.2581373908e-05
1.1808406647e+01   3.9598064971e-05
1.1886608016e+01   3.6669893120e-05
1.1964809384e+01   4.5142090886e-05
1.2043010753e+01   4.1386156655e-05
1.2121212121e+01   3.7727546107e-05
1.2199413490e+01   3.6620837934e-05
1.2277614858e+01   3.2881351557e-05
1.2355816227e+01   2.9243076217e-05
1.2434017595e+01   2.3208405406e-05
1.2512218964e+01   2.0054750460e-05
1.2590420332e+01   1.6972813055e-05
1.2668621701e+01   9.9915314934e-06
1.2746823069e+01   7.8250336837e-06
1.2825024438e+01   5.6867499081e-06
1.2903225806e+01   1.3182529959e-06
1.2981427175e+01   4.9175078505e-07
1.3059628543e+01   3.3625089644e-07
1.3137829912e+01   5.7701092044e-08
1.3216031281e+01   1.5541025489e-06
1.3294232649e+01   2.4191474264e-06
1.3372434018e+01   3.3035568313e-06
1.3450635386e+01   1.0878553895e-05
1.3528836755e+01   1.3268243835e-05
1.3607038123e+01   2.1821065982e-05
1.3685239492e+01   2.5389652608e-05
1.3763440860e+01   3.2188164128e-05
1.3841642229e+01   3.6533831189e-05
1.3919843597e+01   3.8345573391e-05
1.3998044966e+01   4.2871359173e-05
1.4076246334e+01   3.5673856001e-05
1.4154447703e+01   3.9464422660e-05
1.4232649071e+01   1.8210877516e-05
1.4310850440e+01   1.9965794479e-05
1.4389051808e+01   1.2239862422e-06
1.4467253177e+01   1.9360430936e-05
1.4545454545e+01   2.0984687488e-05
1.4623655914e+01   6.1509317998e-05
1.4701857283e+01   6.5881931302e-05
1.4780058651e+01   9.7541099630e-05
1.4858260020e+01   1.1370090358e-04
1.4936461388e+01   1.1078646205e-04
1.5014662757e+01   8.6087801902e-05
1.5092864125e+01   3.8409368674e-05
1.5171065494e+01   2.0416674116e-06
1.5249266862e+01   2.7566247617e-05
1.5327468231e+01   7.8117411231e-05
1.5405669599e+01   1.0439571601e-04
1.5483870968e+01   1.0701985595e-04
1.5562072336e+01   8.9483016019e-05
1.5640273705e+01   5.8082806923e-05
1.5718475073e+01   2.1410707713e-05
1.5796676442e+01   8.5301771640e-07
1.5874877810e+01   8.3336643169e-06
1.5953079179e+01   1.4907480051e-05
1.6031280547e+01   4.9788564367e-06
1.6109481916e+01   1.1983708455e-05
1.6187683284e+01   2.6782620454e-05
1.6265884653e+01   3.9586489039e-05
1.6344086022e+01   4.0020755731e-05
1.6422287390e+01   4.7437588465e-05
1.6500488759e+01   2.5958046498e-05
1.6578690127e+01   2.8277128251e-05
1.6656891496e+01   1.2771030239e-06
1.6735092864e+01   1.5326785765e-05
1.6813294233e+01   1.5853373690e-05
1.6891495601e+01   5.6497484613e-05
1.6969696970e+01   8.2354248921e-05
1.7047898338e+01   9.2243344784e-05
1.7126099707e+01   9.0791979463e-05
1.7204301075e+01   8.4177681165e-05
1.7282502444e+01   8.1597081889e-05
1.7360703812e+01   6.1019679353e-05
1.7438905181e+01   5.8426006126e-05
1.7517106549e+01   2.7599759240e-05
1.7595307918e+01   2.6149730645e-05
1.7673509286e+01   9.4868964952e-07
1.7751710655e+01   9.8721575741e-06
1.7829912023e+01   9.2521124970e-06
1.7908113392e+01   3.3645403676e-05
1.7986314761e+01   3.1220959363e-05
1.8064516129e+01   4.2135184307e-05
1.8142717498e+01   3.8662320970e-05
1.8220918866e+01   3.5255072677e-05
1.8299120235e+01   3.5931501972e-05
1.8377321603e+01   3.2231723256e-05
1.8455522972e+01   2.8617387885e-05
1.8533724340e+01   2.3722735023e-05
1.8611925709e+01   2.0420094445e-05
1.8690127077e+01   1.7185489746e-05
1.8768328446e+01   1.0800230417e-05
1.8846529814e+01   8.3422921553e-06
1.8924731183e+01   5.9141418007e-06
1.9002932551e+01   1.6926523482e-06
1.9081133920e+01   4.5393988750e-07
1.9159335288e+01   7.8681533433e-07
1.9237536657e+01   5.4689104482e-08
1.9315738025e+01   8.4826405497e-07
1.9393939394e+01   1.2677799925e-06
1.9472140762e+01   1.6959950169e-06
1.9550342131e+01   9.8566963401e-06
1.9628543500e+01   1.1916682309e-05
1.9706744868e+01   2.1378436211e-05
1.9784946237e+01   2.4731500470e-05
1.9863147605e+01   3.2768599031e-05
1.9941348974e+01   3.7007961201e-05
2.0019550342e+01   4.0451905222e-05
2.0097751711e+01   4.4994169342e-05
2.0175953079e+01   4.0002138992e-05
2.0254154448e+01   4.3991440261e-05
2.0332355816e+01   2.5919577327e-05
2.0410557185e+01   2.8213976350e-05
2.0488758553e+01   7.8640188286e-07
2.0566959922e+01   7.9948454274e-06
2.0645161290e+01   8.5862211467e-06
2.0723362659e+01   4.9988571149e-05
2.0801564027e+01   5.2936710844e-05
2.0879765396e+01   8.5333565483e-05
2.0957966764e+01   1.0304463506e-04
2.1036168133e+01   1.0332428631e-04
2.1114369501e+01   8.4490291054e-05
2.1192570870e+01   4.6464096322e-05
2.1270772239e+01   9.2665469239e-07
2.1348973607e+01   8.2601349404e-06
2.1427174976e+01   5.4013028621e-05
2.1505376344e+01   7.7670789095e-05
2.1583577713e+01   8.0881216270e-05
2.1661779081e+01   6.7701104263e-05
2.1739980450e+01   4.4320824716e-05
