X    Y
0.0000000000e+00   0.0000000000e+00
3.8095238095e-02   1.5104490963e-12
7.6190476190e-02   8.9916354708e-12
1.1428571429e-01   1.0836560478e-10
1.5238095238e-01   8.3289759010e-10
1.9047619048e-01   4.2310276301e-09
2.2857142857e-01   1.6254415765e-08
2.6666666667e-01   5.1363876197e-08
3.0476190476e-01   1.4062194677e-07
3.4285714286e-01   3.4503164139e-07
3.8095238095e-01   7.7652574677e-07
4.1904761905e-01   1.6298533320e-06
4.5714285714e-01   3.2297051552e-06
4.9523809524e-01   6.0988372772e-06
5.3333333333e-01   1.1054780860e-05
5.7142857143e-01   1.9345077639e-05
6.0952380952e-01   3.2833996021e-05
6.4761904762e-01   5.4257540107e-05
6.8571428571e-01   8.7568487437e-05
7.2380952381e-01   1.3839946294e-04
7.6190476190e-01   2.1468003118e-04
8.0000000000e-01   3.2745391199e-04
8.3809523810e-01   4.9195525434e-04
8.7619047619e-01   7.2901914023e-04
9.1428571429e-01   1.0669220099e-03
9.5238095238e-01   1.5437735971e-03
9.9047619048e-01   2.2106146034e-03
1.0285714286e+00   3.1354154302e-03
1.0666666667e+00   4.4082229392e-03
1.1047619048e+00   6.1477670710e-03
1.1428571429e+00   8.5099204733e-03
1.1809523810e+00   1.1698506134e-02
1.2190476190e+00   1.5979075383e-02
1.2571428571e+00   2.1696437681e-02
1.2952380952e+00   2.9296922016e-02
1.3333333333e+00   3.9356596724e-02
1.3714285714e+00   5.2616981778e-02
1.4095238095e+00   7.0030168879e-02
1.4476190476e+00   9.2815737399e-02
1.4857142857e+00   1.2253243903e-01
1.5238095238e+00   1.6116834639e-01
1.5619047619e+00   2.1125405154e-01
1.6000000000e+00   2.7600459624e-01
1.6380952381e+00   3.5949716201e-01
1.6761904762e+00   4.6689319748e-01
1.7142857143e+00   6.0471567850e-01
1.7523809524e+00   7.8119465804e-01
1.7904761905e+00   1.0066972606e+00
1.8285714286e+00   1.2942619161e+00
1.8666666667e+00   1.6602610383e+00
1.9047619048e+00   2.1252216830e+00
1.9428571429e+00   2.7148401420e+00
1.9809523810e+00   3.4612341496e+00
2.0190476190e+00   4.4044856229e+00
2.0571428571e+00   5.5945379101e+00
2.0952380952e+00   7.0935246730e+00
2.1333333333e+00   8.9786231505e+00
2.1714285714e+00   1.1345543019e+01
2.2095238095e+00   1.4312783834e+01
2.2476190476e+00   1.8026819607e+01
2.2857142857e+00   2.2668398948e+01
2.3238095238e+00   2.8460184023e+01
2.3619047619e+00   3.5675991917e+01
2.4000000000e+00   4.4651948539e+01
