X    Y    Z
5.0000000000e-01   5.0000000000e-01   0.0000000000e+00
5.0952170619e-01   5.0967040985e-01   3.8316080122e-03
5.1903055029e-01   5.1963992910e-01   7.7086640607e-03
5.2851300192e-01   5.2991741980e-01   1.1633127142e-02
5.3795479836e-01   5.4051171291e-01   1.5607008554e-02
5.4734094490e-01   5.5143156722e-01   1.9632371108e-02
5.5665572037e-01   5.6268562290e-01   2.3711328023e-02
5.6588268902e-01   5.7428234892e-01   2.7846041438e-02
5.7500471989e-01   5.8622998330e-01   3.2038720528e-02
5.8400401581e-01   5.9853646498e-01   3.6291619135e-02
5.9286215381e-01   6.1120935571e-01   4.0607032872e-02
6.0156014030e-01   6.2425574966e-01   4.4987295608e-02
6.1007848440e-01   6.3768216825e-01   4.9434775237e-02
6.1839729424e-01   6.5149443633e-01   5.3951868617e-02
6.2649640252e-01   6.6569753532e-01   5.8540995523e-02
6.3435552891e-01   6.8029542699e-01   6.3204591419e-02
6.4195448950e-01   6.9529084046e-01   6.7945098819e-02
6.4927346596e-01   7.1068501214e-01   7.2764956922e-02
6.5629335061e-01   7.2647736607e-01   7.7666589134e-02
6.6299618811e-01   7.4266511827e-01   8.2652387984e-02
6.6936573962e-01   7.5924278459e-01   8.7724696797e-02
6.7538820224e-01   7.7620156575e-01   9.2885787326e-02
6.8105312504e-01   7.9352857684e-01   9.8137832310e-02
6.8635457302e-01   8.1120587972e-01   1.0348287168e-01
6.9129260365e-01   8.2920926663e-01   1.0892277078e-01
6.9587513621e-01   8.4750673028e-01   1.1445916848e-01
7.0012031364e-01   8.6605653989e-01   1.2009341270e-01
7.0405948044e-01   8.8480482345e-01   1.2582647996e-01
7.0774092956e-01   9.0368253252e-01   1.3165887496e-01
7.1123460635e-01   9.2260163727e-01   1.3759050501e-01
7.1463800134e-01   9.4145036411e-01   1.4362052314e-01
7.1808351608e-01   9.6008724573e-01   1.4974713178e-01
7.2174764993e-01   9.7833370154e-01   1.5596733746e-01
7.2586243316e-01   9.9596480408e-01   1.6227664434e-01
7.3072962442e-01   1.0126978115e+00   1.6866867189e-01
7.3673830361e-01   1.0281779552e+00   1.7513467824e-01
7.4438662565e-01   1.0419608628e+00   1.8166296696e-01
7.5430866356e-01   1.0534908651e+00   1.8823814990e-01
7.6730746355e-01   1.0620742788e+00   1.9484023233e-01
7.8439566791e-01   1.0668465692e+00   2.0144347994e-01
8.0684534006e-01   1.0667320729e+00   2.0801501771e-01
8.3624895795e-01   1.0603946918e+00   2.1451310051e-01
8.7459393803e-01   1.0461776558e+00   2.2088498247e-01
9.2435352213e-01   1.0220300682e+00   2.2706429652e-01
9.8859741836e-01   9.8541750634e-01   2.3296783771e-01
1.0711262489e+00   9.3321341485e-01   2.3849162158e-01
1.1766346409e+00   8.6156740597e-01   2.4350606311e-01
1.3109087232e+00   7.6574584055e-01   2.4785009040e-01
1.4810648803e+00   6.3993919375e-01   2.5132397072e-01
1.6958379045e+00   4.7702968553e-01   2.5368058229e-01
1.9659281934e+00   2.6831145505e-01   2.5461481360e-01
2.3044194156e+00   3.1541504280e-03   2.5375071060e-01
2.7272801420e+00   -3.3140084032e-01   2.5062591937e-01
3.2539653672e+00   -7.5112421266e-01   2.4467288687e-01
3.9081366787e+00   -1.2751775561e+00   2.3519618127e-01
4.7185231260e+00   -1.9268046856e+00   2.2134517570e-01
5.7199486778e+00   -2.7341560457e+00   2.0208120045e-01
6.9545565932e+00   -3.7312702263e+00   1.7613810651e-01
8.4732661751e+00   -4.9592406632e+00   1.4197499420e-01
1.0337503299e+01   -6.4676002304e+00   9.7719639521e-02
1.2621252938e+01   -8.3159617582e+00   4.1100894090e-02
1.5413489720e+01   -1.0575958604e+01   -3.0631963633e-02
1.8821051529e+01   -1.3333536355e+01   -1.2080529369e-01
2.2972031327e+01   -1.6691654631e+01   -2.3343534341e-01
