X    Y
0.0000000000e+00   0.0000000000e+00
3.8095238095e-02   3.8316080122e-03
7.6190476190e-02   7.7086640607e-03
1.1428571429e-01   1.1633127142e-02
1.5238095238e-01   1.5607008554e-02
1.9047619048e-01   1.9632371108e-02
2.2857142857e-01   2.3711328023e-02
2.6666666667e-01   2.7846041438e-02
3.0476190476e-01   3.2038720528e-02
3.4285714286e-01   3.6291619135e-02
3.8095238095e-01   4.0607032872e-02
4.1904761905e-01   4.4987295608e-02
4.5714285714e-01   4.9434775237e-02
4.9523809524e-01   5.3951868617e-02
5.3333333333e-01   5.8540995523e-02
5.7142857143e-01   6.3204591419e-02
6.0952380952e-01   6.7945098819e-02
6.4761904762e-01   7.2764956922e-02
6.8571428571e-01   7.7666589134e-02
7.2380952381e-01   8.2652387984e-02
7.6190476190e-01   8.7724696797e-02
8.0000000000e-01   9.2885787326e-02
8.3809523810e-01   9.8137832310e-02
8.7619047619e-01   1.0348287168e-01
9.1428571429e-01   1.0892277078e-01
9.5238095238e-01   1.1445916848e-01
9.9047619048e-01   1.2009341270e-01
1.0285714286e+00   1.2582647996e-01
1.0666666667e+00   1.3165887496e-01
1.1047619048e+00   1.3759050501e-01
1.1428571429e+00   1.4362052314e-01
1.1809523810e+00   1.4974713178e-01
1.2190476190e+00   1.5596733746e-01
1.2571428571e+00   1.6227664434e-01
1.2952380952e+00   1.6866867189e-01
1.3333333333e+00   1.7513467824e-01
1.3714285714e+00   1.8166296696e-01
1.4095238095e+00   1.8823814990e-01
1.4476190476e+00   1.9484023233e-01
1.4857142857e+00   2.0144347994e-01
1.5238095238e+00   2.0801501771e-01
1.5619047619e+00   2.1451310051e-01
1.6000000000e+00   2.2088498247e-01
1.6380952381e+00   2.2706429652e-01
1.6761904762e+00   2.3296783771e-01
1.7142857143e+00   2.3849162158e-01
1.7523809524e+00   2.4350606311e-01
1.7904761905e+00   2.4785009040e-01
1.8285714286e+00   2.5132397072e-01
1.8666666667e+00   2.5368058229e-01
1.9047619048e+00   2.5461481360e-01
1.9428571429e+00   2.5375071060e-01
1.9809523810e+00   2.5062591937e-01
2.0190476190e+00   2.4467288687e-01
2.0571428571e+00   2.3519618127e-01
2.0952380952e+00   2.2134517570e-01
2.1333333333e+00   2.0208120045e-01
2.1714285714e+00   1.7613810651e-01
2.2095238095e+00   1.4197499420e-01
2.2476190476e+00   9.7719639521e-02
2.2857142857e+00   4.1100894090e-02
2.3238095238e+00   -3.0631963633e-02
2.3619047619e+00   -1.2080529369e-01
2.4000000000e+00   -2.3343534341e-01
