X    Y
0.0000000000e+00   5.0000000000e-01
1.0000000000e-04   5.0002500000e-01
1.1000000000e-03   5.0027499995e-01
1.1100000000e-02   5.0277494850e-01
8.9301368524e-02   5.2229772408e-01
1.6750273705e-01   5.4168811968e-01
2.4570410557e-01   5.6081724864e-01
3.2390547410e-01   5.7954338600e-01
4.0210684262e-01   5.9771249171e-01
4.8030821114e-01   6.1515919503e-01
5.5850957967e-01   6.3170831954e-01
6.3671094819e-01   6.4717702132e-01
7.1491231672e-01   6.6137759879e-01
7.9311368524e-01   6.7412100834e-01
8.7131505376e-01   6.8522108478e-01
9.4951642229e-01   6.9449941907e-01
1.0277177908e+00   7.0179078813e-01
1.1059191593e+00   7.0694896661e-01
1.1841205279e+00   7.0985268303e-01
1.2623218964e+00   7.1041142090e-01
1.2624218964e+00   7.1041060670e-01
1.2634218964e+00   7.1040224859e-01
1.2734218964e+00   7.1029704078e-01
1.3516232649e+00   7.0811353453e-01
1.4298246334e+00   7.0351782185e-01
1.5080260020e+00   6.9654554272e-01
1.5862273705e+00   6.8727732192e-01
1.6644287390e+00   6.7583808903e-01
1.7426301075e+00   6.6239440484e-01
1.8208314761e+00   6.4714984932e-01
1.8990328446e+00   6.3033869037e-01
1.9772342131e+00   6.1221820408e-01
2.0554355816e+00   5.9306013574e-01
2.1336369501e+00   5.7314186118e-01
2.2118383187e+00   5.5273782316e-01
2.2900396872e+00   5.3211177957e-01
2.3682410557e+00   5.1150874984e-01
2.3683410557e+00   5.1148251686e-01
2.3693410557e+00   5.1122020950e-01
2.3793410557e+00   5.0859947479e-01
2.4575424242e+00   4.8829492240e-01
2.5357437928e+00   4.6845973244e-01
2.6139451613e+00   4.4925817838e-01
2.6921465298e+00   4.3082548147e-01
2.7703478983e+00   4.1326861318e-01
2.8485492669e+00   3.9666806060e-01
2.9267506354e+00   3.8108028264e-01
3.0049520039e+00   3.6654059744e-01
3.0831533724e+00   3.5306627182e-01
3.1613547410e+00   3.4065962489e-01
3.2395561095e+00   3.2931100264e-01
3.3177574780e+00   3.1900152377e-01
3.3959588465e+00   3.0970553571e-01
3.4741602151e+00   3.0139275136e-01
3.5523615836e+00   2.9403006205e-01
3.6305629521e+00   2.8758303982e-01
3.7087643206e+00   2.8201715379e-01
3.7869656891e+00   2.7729873283e-01
3.8651670577e+00   2.7339570924e-01
3.9433684262e+00   2.7027817882e-01
4.0215697947e+00   2.6791881011e-01
4.0997711632e+00   2.6629293991e-01
4.0998711632e+00   2.6629132091e-01
4.1008711632e+00   2.6627519497e-01
4.1108711632e+00   2.6612032726e-01
4.1890725318e+00   2.6530595452e-01
4.2672739003e+00   2.6518275115e-01
4.3454752688e+00   2.6573581773e-01
4.4236766373e+00   2.6695336446e-01
4.5018780059e+00   2.6882666597e-01
4.5800793744e+00   2.7134999496e-01
4.6582807429e+00   2.7452054164e-01
4.7364821114e+00   2.7833832441e-01
4.8146834800e+00   2.8280609541e-01
4.8928848485e+00   2.8792924339e-01
4.9710862170e+00   2.9371569541e-01
5.0492875855e+00   3.0017581777e-01
5.1274889541e+00   3.0732231610e-01
5.2056903226e+00   3.1517013349e-01
5.2838916911e+00   3.2373634556e-01
5.3620930596e+00   3.3304005003e-01
5.4402944282e+00   3.4310224865e-01
5.5184957967e+00   3.5394571807e-01
5.5966971652e+00   3.6559486597e-01
5.6748985337e+00   3.7807556816e-01
5.7530999022e+00   3.9141498122e-01
5.8313012708e+00   4.0564132472e-01
5.9095026393e+00   4.2078362610e-01
5.9877040078e+00   4.3687141995e-01
6.0659053763e+00   4.5393570485e-01
6.0660053763e+00   4.5395816325e-01
6.0670053763e+00   4.5418283767e-01
6.0770053763e+00   4.5643863988e-01
6.1552067449e+00   4.7465359146e-01
6.2334081134e+00   4.9390734917e-01
6.3116094819e+00   5.1422778758e-01
6.3898108504e+00   5.3564097412e-01
6.4680122190e+00   5.5817045175e-01
6.5462135875e+00   5.8183640829e-01
6.6244149560e+00   6.0665471738e-01
6.7026163245e+00   6.3263583508e-01
6.7808176931e+00   6.5978353550e-01
6.8590190616e+00   6.8809346821e-01
6.9372204301e+00   7.1755152085e-01
7.0154217986e+00   7.4813197125e-01
7.0936231672e+00   7.7979541614e-01
7.1718245357e+00   8.1248646796e-01
7.2500259042e+00   8.4613121798e-01
7.3282272727e+00   8.8063447456e-01
7.4064286413e+00   9.1587679963e-01
7.4846300098e+00   9.5171138644e-01
7.5628313783e+00   9.8796084828e-01
7.6410327468e+00   1.0244140220e+00
7.6411327468e+00   1.0244606652e+00
7.6421327468e+00   1.0249270926e+00
7.6521327468e+00   1.0295908716e+00
7.7303341153e+00   1.0659711475e+00
7.8085354839e+00   1.1019755612e+00
7.8867368524e+00   1.1372691095e+00
7.9649382209e+00   1.1714741177e+00
8.0431395894e+00   1.2041707445e+00
8.1213409580e+00   1.2348993952e+00
8.1995423265e+00   1.2631655678e+00
8.2777436950e+00   1.2884476688e+00
8.3559450635e+00   1.3102082833e+00
8.4341464321e+00   1.3279092424e+00
8.5123478006e+00   1.3410305836e+00
8.5905491691e+00   1.3490931163e+00
8.6687505376e+00   1.3516837998e+00
8.6688505376e+00   1.3516834614e+00
8.6698505376e+00   1.3516795560e+00
8.6798505376e+00   1.3515881996e+00
8.7580519062e+00   1.3475457840e+00
8.8362532747e+00   1.3374935712e+00
8.9144546432e+00   1.3213953201e+00
8.9926560117e+00   1.2993766285e+00
9.0708573803e+00   1.2717324386e+00
9.1490587488e+00   1.2389236971e+00
9.2272601173e+00   1.2015622976e+00
9.3054614858e+00   1.1603848719e+00
9.3836628543e+00   1.1162175244e+00
9.3837628543e+00   1.1161595022e+00
9.3847628543e+00   1.1155790901e+00
9.3947628543e+00   1.1097563573e+00
9.4729642229e+00   1.0632448304e+00
9.5511655914e+00   1.0156209228e+00
9.6293669599e+00   9.6772248315e-01
9.7075683284e+00   9.2031460075e-01
9.7857696970e+00   8.7406535981e-01
9.8639710655e+00   8.2953126885e-01
9.9421724340e+00   7.8715201124e-01
1.0020373803e+01   7.4725319393e-01
1.0098575171e+01   7.1005519965e-01
1.0176776540e+01   6.7568606808e-01
1.0254977908e+01   6.4419646468e-01
1.0333179277e+01   6.1557512982e-01
1.0411380645e+01   5.8976362373e-01
1.0489582014e+01   5.6666960320e-01
1.0489682014e+01   5.6664176412e-01
1.0490682014e+01   5.6636360738e-01
1.0500682014e+01   5.6360539873e-01
1.0578883382e+01   5.4347328362e-01
1.0657084751e+01   5.2579712949e-01
1.0735286119e+01   5.1044296515e-01
1.0813487488e+01   4.9727745576e-01
1.0891688856e+01   4.8617185924e-01
1.0969890225e+01   4.7700476591e-01
1.1048091593e+01   4.6966387009e-01
1.1126292962e+01   4.6404699481e-01
1.1204494330e+01   4.6006255709e-01
1.1282695699e+01   4.5762962705e-01
1.1360897067e+01   4.5667770218e-01
1.1439098436e+01   4.5714629002e-01
1.1517299804e+01   4.5898436881e-01
1.1517399804e+01   4.5898757709e-01
1.1518399804e+01   4.5901977920e-01
1.1528399804e+01   4.5935371395e-01
1.1606601173e+01   4.6270460776e-01
1.1684802542e+01   4.6734471840e-01
1.1763003910e+01   4.7324869813e-01
1.1841205279e+01   4.8039802210e-01
1.1919406647e+01   4.8878035017e-01
1.1997608016e+01   4.9838890245e-01
1.2075809384e+01   5.0922184681e-01
1.2154010753e+01   5.2128169363e-01
1.2232212121e+01   5.3457469101e-01
1.2310413490e+01   5.4911021186e-01
1.2388614858e+01   5.6490012273e-01
1.2466816227e+01   5.8195812308e-01
1.2545017595e+01   6.0029904206e-01
1.2623218964e+01   6.1993807878e-01
1.2701420332e+01   6.4088997033e-01
1.2779621701e+01   6.6316807036e-01
1.2857823069e+01   6.8678331936e-01
1.2936024438e+01   7.1174308618e-01
1.3014225806e+01   7.3804985925e-01
1.3092427175e+01   7.6570150384e-01
1.3092527175e+01   7.6573771990e-01
1.3093527175e+01   7.6610000034e-01
1.3103527175e+01   7.6973478964e-01
1.3181728543e+01   7.9890677557e-01
1.3259929912e+01   8.2938652290e-01
1.3338131281e+01   8.6113951579e-01
1.3416332649e+01   8.9411695318e-01
1.3494534018e+01   9.2825320426e-01
1.3572735386e+01   9.6346301447e-01
1.3650936755e+01   9.9963847014e-01
1.3729138123e+01   1.0366457456e+00
1.3807339492e+01   1.0743216787e+00
1.3885540860e+01   1.1124702495e+00
