X    Y
0.0000000000e+00   nan
7.8201368524e-02   1.5091297338e-03
1.5640273705e-01   8.1138245711e-04
2.3460410557e-01   5.7970042294e-04
3.1280547410e-01   4.6433081663e-04
3.9100684262e-01   3.9528250182e-04
4.6920821114e-01   3.4918774736e-04
5.4740957967e-01   3.1599721439e-04
6.2561094819e-01   2.9065436697e-04
7.0381231672e-01   2.7032114644e-04
7.8201368524e-01   2.5326930953e-04
8.6021505376e-01   2.3837773527e-04
9.3841642229e-01   2.2488245838e-04
1.0166177908e+00   2.1224351682e-04
1.0948191593e+00   2.0007025133e-04
1.1730205279e+00   1.9883953680e-04
1.2512218964e+00   2.0450453116e-04
1.3294232649e+00   2.0742172665e-04
1.4076246334e+00   2.0706266880e-04
1.4858260020e+00   2.0259623055e-04
1.5640273705e+00   1.9251170642e-04
1.6422287390e+00   1.8174375181e-04
1.7204301075e+00   2.8217405061e-04
1.7986314761e+00   2.5369652437e-04
1.8768328446e+00   2.2029935256e-04
1.9550342131e+00   2.1511671184e-04
2.0332355816e+00   2.3845204621e-04
2.1114369501e+00   2.5793572486e-04
2.1896383187e+00   2.7331852242e-04
2.2678396872e+00   2.8447985235e-04
2.3460410557e+00   2.9142359322e-04
2.4242424242e+00   2.9426913582e-04
2.5024437928e+00   2.9324055083e-04
2.5806451613e+00   2.8865710134e-04
2.6588465298e+00   2.8092764022e-04
2.7370478983e+00   2.7054934288e-04
2.8152492669e+00   2.6223272459e-04
2.8934506354e+00   2.9095694901e-04
2.9716520039e+00   3.1994375016e-04
3.0498533724e+00   3.5125113091e-04
3.1280547410e+00   3.8695588782e-04
3.2062561095e+00   4.2858710913e-04
3.2844574780e+00   4.7644443853e-04
3.3626588465e+00   5.2898056911e-04
3.4408602151e+00   5.8249124804e-04
3.5190615836e+00   6.3134381827e-04
3.5972629521e+00   6.6885859895e-04
3.6754643206e+00   6.8874728010e-04
3.7536656891e+00   6.8676976583e-04
3.8318670577e+00   6.6209384825e-04
3.9100684262e+00   6.1783034804e-04
3.9882697947e+00   5.6042178879e-04
4.0664711632e+00   4.9794921907e-04
4.1446725318e+00   4.3785778215e-04
4.2228739003e+00   3.8489791828e-04
4.3010752688e+00   3.4006639103e-04
4.3792766373e+00   3.0094840292e-04
4.4574780059e+00   2.6321406019e-04
4.5356793744e+00   2.2237403537e-04
4.6138807429e+00   2.4036088574e-04
4.6920821114e+00   2.7012945999e-04
4.7702834800e+00   3.0732829809e-04
4.8484848485e+00   3.1989774993e-04
4.9266862170e+00   3.5080597992e-04
5.0048875855e+00   3.5134763850e-04
5.0830889541e+00   3.5071699382e-04
5.1612903226e+00   3.4898032630e-04
5.2394916911e+00   3.4620513255e-04
5.3176930596e+00   3.4246010109e-04
5.3958944282e+00   3.3781515346e-04
5.4740957967e+00   3.3234154359e-04
5.5522971652e+00   3.2611201111e-04
5.6304985337e+00   3.1920099093e-04
5.7086999022e+00   3.1168489586e-04
5.7869012708e+00   3.0364251709e-04
5.8651026393e+00   2.9515563632e-04
5.9433040078e+00   2.8631002118e-04
6.0215053763e+00   2.7719708848e-04
6.0997067449e+00   2.6791666911e-04
6.1779081134e+00   2.5858148650e-04
6.2561094819e+00   2.4932414292e-04
6.3343108504e+00   2.4030755356e-04
6.4125122190e+00   2.3173980863e-04
6.4907135875e+00   2.2389429087e-04
6.5689149560e+00   2.1713542129e-04
6.6471163245e+00   2.1194954177e-04
6.7253176931e+00   2.0897907845e-04
6.8035190616e+00   2.0905623213e-04
6.8817204301e+00   2.1323007164e-04
6.9599217986e+00   2.2277826527e-04
7.0381231672e+00   2.3919215252e-04
7.1163245357e+00   2.6412200944e-04
7.1945259042e+00   2.7565720552e-04
7.2727272727e+00   2.6901120984e-04
7.3509286413e+00   2.6272029415e-04
7.4291300098e+00   2.7733840890e-04
7.5073313783e+00   2.9664382998e-04
7.5855327468e+00   3.1705305861e-04
7.6637341153e+00   3.3854378523e-04
7.7419354839e+00   3.6105049130e-04
7.8201368524e+00   3.8445078201e-04
7.8983382209e+00   4.0854894950e-04
7.9765395894e+00   4.3305668662e-04
8.0547409580e+00   4.5757106647e-04
8.1329423265e+00   4.8155016770e-04
8.2111436950e+00   5.0428714003e-04
8.2893450635e+00   5.2488438237e-04
8.3675464321e+00   5.4230977528e-04
8.4457478006e+00   5.5533411133e-04
8.5239491691e+00   5.6246436443e-04
8.6021505376e+00   5.6210319268e-04
8.6803519062e+00   4.6909909594e-04
8.7585532747e+00   4.4489529881e-04
8.8367546432e+00   4.0992426093e-04
8.9149560117e+00   4.0812923909e-04
8.9931573803e+00   4.6809980651e-04
9.0713587488e+00   5.2352058623e-04
9.1495601173e+00   5.7201167090e-04
9.2277614858e+00   6.1137088894e-04
9.3059628543e+00   6.3975939118e-04
9.3841642229e+00   6.5588091410e-04
9.4623655914e+00   4.9833639163e-04
9.5405669599e+00   4.7574422802e-04
9.6187683284e+00   4.4785431751e-04
9.6969696970e+00   5.1200996378e-04
9.7751710655e+00   5.6785055735e-04
9.8533724340e+00   6.1416531669e-04
9.9315738025e+00   6.5020508916e-04
1.0009775171e+01   6.7568016065e-04
1.0087976540e+01   6.9072302999e-04
1.0166177908e+01   6.9582539613e-04
1.0244379277e+01   6.9175916906e-04
1.0322580645e+01   6.7949129249e-04
1.0400782014e+01   6.6010262687e-04
1.0478983382e+01   6.3472082445e-04
1.0557184751e+01   6.0447248651e-04
1.0635386119e+01   5.7044888696e-04
1.0713587488e+01   5.3366728912e-04
1.0791788856e+01   4.9502278729e-04
1.0869990225e+01   4.5529630270e-04
1.0948191593e+01   4.1515776956e-04
1.1026392962e+01   3.7516607297e-04
1.1104594330e+01   3.3462946718e-04
1.1182795699e+01   3.4150559933e-04
1.1260997067e+01   3.4674825847e-04
1.1339198436e+01   3.5042710513e-04
1.1417399804e+01   3.5260710907e-04
1.1495601173e+01   3.5334831029e-04
1.1573802542e+01   3.5270572679e-04
1.1652003910e+01   3.5072937241e-04
1.1730205279e+01   3.4746435676e-04
1.1808406647e+01   3.4295104616e-04
1.1886608016e+01   3.3722527100e-04
1.1964809384e+01   3.3031857709e-04
1.2043010753e+01   3.2225855261e-04
1.2121212121e+01   3.1306934777e-04
1.2199413490e+01   3.0277269180e-04
1.2277614858e+01   2.9139006708e-04
1.2355816227e+01   2.7894729596e-04
1.2434017595e+01   2.6548368505e-04
1.2512218964e+01   2.5827709494e-04
1.2590420332e+01   2.6975341759e-04
1.2668621701e+01   2.8067712925e-04
1.2746823069e+01   2.9139574617e-04
1.2825024438e+01   3.0598770987e-04
1.2903225806e+01   3.1052572516e-04
1.2981427175e+01   2.9161858249e-04
1.3059628543e+01   2.7212185363e-04
1.3137829912e+01   2.5211534370e-04
1.3216031281e+01   2.3798710193e-04
1.3294232649e+01   2.4621682064e-04
1.3372434018e+01   2.5408463744e-04
1.3450635386e+01   2.6162145553e-04
1.3528836755e+01   2.6885229760e-04
1.3607038123e+01   2.7579527578e-04
1.3685239492e+01   2.8246019740e-04
1.3763440860e+01   2.8884670594e-04
1.3841642229e+01   2.9494183555e-04
1.3919843597e+01   3.0071684921e-04
1.3998044966e+01   3.0612325644e-04
1.4076246334e+01   3.1108798817e-04
1.4154447703e+01   3.1550784567e-04
1.4232649071e+01   3.1924649378e-04
1.4310850440e+01   3.2211935241e-04
1.4389051808e+01   3.2389003678e-04
1.4467253177e+01   3.2426117956e-04
1.4545454545e+01   3.2286625309e-04
1.4623655914e+01   4.3472387065e-04
1.4701857283e+01   4.4330315769e-04
1.4780058651e+01   4.4779528393e-04
1.4858260020e+01   4.4702738583e-04
1.4936461388e+01   4.3971720574e-04
1.5014662757e+01   4.2453055981e-04
1.5092864125e+01   4.0016606651e-04
1.5171065494e+01   3.6546651998e-04
1.5249266862e+01   4.1032937105e-04
1.5327468231e+01   4.6781711684e-04
1.5405669599e+01   5.2051266746e-04
1.5483870968e+01   5.6605344549e-04
1.5562072336e+01   6.0222023248e-04
1.5640273705e+01   6.2708491593e-04
1.5718475073e+01   7.2820838139e-04
1.5796676442e+01   7.3475624148e-04
1.5874877810e+01   7.2531833344e-04
1.5953079179e+01   7.0051047158e-04
1.6031280547e+01   6.6160137098e-04
1.6109481916e+01   6.8665952487e-04
1.6187683284e+01   7.6307165976e-04
1.6265884653e+01   8.2405905771e-04
1.6344086022e+01   8.6909377593e-04
1.6422287390e+01   8.9838610059e-04
1.6500488759e+01   9.1276076983e-04
1.6578690127e+01   9.1350182490e-04
1.6656891496e+01   9.0218899908e-04
1.6735092864e+01   8.8055217047e-04
1.6813294233e+01   8.5036692396e-04
1.6891495601e+01   8.1339554467e-04
1.6969696970e+01   7.7134634772e-04
1.7047898338e+01   7.2580157182e-04
1.7126099707e+01   6.7808261474e-04
1.7204301075e+01   6.2934305871e-04
1.7282502444e+01   5.8312141482e-04
1.7360703812e+01   5.3490888797e-04
1.7438905181e+01   4.8791827149e-04
1.7517106549e+01   5.0938385503e-04
1.7595307918e+01   5.3422262713e-04
1.7673509286e+01   5.5480436514e-04
1.7751710655e+01   5.7136636533e-04
1.7829912023e+01   5.8415105090e-04
1.7908113392e+01   5.9340247769e-04
1.7986314761e+01   5.9936383444e-04
1.8064516129e+01   6.0227571513e-04
1.8142717498e+01   6.0237497658e-04
1.8220918866e+01   5.9989404719e-04
1.8299120235e+01   5.9506066871e-04
1.8377321603e+01   5.8809830471e-04
1.8455522972e+01   5.7922793787e-04
1.8533724340e+01   5.6867280176e-04
1.8611925709e+01   5.5666880919e-04
1.8690127077e+01   5.4348500004e-04
1.8768328446e+01   5.2946001372e-04
1.8846529814e+01   5.1506195210e-04
1.8924731183e+01   4.9975811324e-04
1.9002932551e+01   4.3285454687e-04
1.9081133920e+01   4.1525690726e-04
1.9159335288e+01   3.9736738951e-04
1.9237536657e+01   3.7931893526e-04
1.9315738025e+01   3.6123113184e-04
1.9393939394e+01   3.4320662874e-04
1.9472140762e+01   3.2532680307e-04
1.9550342131e+01   3.0764665431e-04
1.9628543500e+01   2.9018895465e-04
1.9706744868e+01   2.7293774596e-04
1.9784946237e+01   2.5583136302e-04
1.9863147605e+01   2.7201321634e-04
1.9941348974e+01   2.8883074567e-04
2.0019550342e+01   3.0596602289e-04
2.0097751711e+01   3.2332913985e-04
2.0175953079e+01   3.4077559570e-04
2.0254154448e+01   3.5809387764e-04
2.0332355816e+01   3.7499178286e-04
2.0410557185e+01   3.9108049120e-04
2.0488758553e+01   4.0585835062e-04
2.0566959922e+01   4.1870095072e-04
2.0645161290e+01   4.2885134793e-04
2.0723362659e+01   4.3541913763e-04
2.0801564027e+01   3.0950046807e-04
2.0879765396e+01   2.9545271857e-04
2.0957966764e+01   2.8357778603e-04
2.1036168133e+01   3.1991461046e-04
2.1114369501e+01   3.5572966793e-04
2.1192570870e+01   3.8995282464e-04
2.1270772239e+01   4.2135593332e-04
2.1348973607e+01   4.4862254718e-04
2.1427174976e+01   4.7043872230e-04
2.1505376344e+01   4.8559645085e-04
2.1583577713e+01   4.9310104670e-04
2.1661779081e+01   4.9228462278e-04
2.1739980450e+01   4.8296571213e-04
