X    Y    Z
5.0000000000e-01   5.0000000000e-01   0.0000000000e+00
5.0002500000e-01   5.0002500100e-01   1.0000150006e-05
5.0027499995e-01   5.0027512104e-01   1.1001815754e-04
5.0277494850e-01   5.0278735748e-01   1.1118559158e-03
5.2229772408e-01   5.2314183539e-01   9.0538600614e-03
5.4168811968e-01   5.4480686404e-01   1.7198585078e-02
5.6081724864e-01   5.6785816329e-01   2.5563814046e-02
5.7954338600e-01   5.9236898597e-01   3.4168212304e-02
5.9771249171e-01   6.1840809809e-01   4.3031260285e-02
6.1515919503e-01   6.4603733711e-01   5.2173152807e-02
6.3170831954e-01   6.7530872017e-01   6.1614658565e-02
6.4717702132e-01   7.0626109171e-01   7.1376933339e-02
6.6137759879e-01   7.3891632487e-01   8.1481280569e-02
6.7412100834e-01   7.7327512509e-01   9.1948853515e-02
6.8522108478e-01   8.0931252783e-01   1.0280029438e-01
6.9449941907e-01   8.4697323396e-01   1.1405530770e-01
7.0179078813e-01   8.8616698407e-01   1.2573216792e-01
7.0694896661e-01   9.2676423213e-01   1.3784716487e-01
7.0985268303e-01   9.6859243267e-01   1.5041399491e-01
7.1041142090e-01   1.0114332948e+00   1.6344311115e-01
7.0857071970e-01   1.0550213706e+00   1.7694105080e-01
7.0431661195e-01   1.0990443231e+00   1.9090976397e-01
6.9767885143e-01   1.1431451546e+00   2.0534597176e-01
6.8873264794e-01   1.1869265651e+00   2.2024058549e-01
6.7759253175e-01   1.2299644878e+00   2.3557826715e-01
6.7757694786e-01   1.2300188530e+00   2.3559815521e-01
6.7742092620e-01   1.2305623971e+00   2.3579707382e-01
6.7584250547e-01   1.2359868417e+00   2.3779004045e-01
6.6239895827e-01   1.2776174844e+00   2.5360646021e-01
6.4715449997e-01   1.3175169871e+00   2.6981061784e-01
6.3034339675e-01   1.3552210803e+00   2.8636600855e-01
6.1222292240e-01   1.3902807652e+00   3.0322959049e-01
5.9306481420e-01   1.4222756950e+00   3.2035222789e-01
5.7314641880e-01   1.4508267401e+00   3.3767932953e-01
5.5274208825e-01   1.4756070130e+00   3.5515166123e-01
5.3211533593e-01   1.4963507475e+00   3.7270630083e-01
5.1151216247e-01   1.5128596032e+00   3.9027769645e-01
4.9115583145e-01   1.5250061703e+00   4.0779878465e-01
4.7124323103e-01   1.5327346620e+00   4.2520212358e-01
4.5194282040e-01   1.5360589693e+00   4.4242099841e-01
4.3339404240e-01   1.5350584114e+00   4.5939046101e-01
4.1570799561e-01   1.5298716223e+00   4.7604827243e-01
3.9896910307e-01   1.5206890750e+00   4.9233572462e-01
3.8323749141e-01   1.5077447582e+00   5.0819832608e-01
3.6855180051e-01   1.4913074927e+00   5.2358634442e-01
3.5493217554e-01   1.4716723116e+00   5.3845520559e-01
3.4238324548e-01   1.4491522428e+00   5.5276575602e-01
3.3089695658e-01   1.4240707300e+00   5.6648439785e-01
3.2045519515e-01   1.3967548292e+00   5.7958311040e-01
3.1103219020e-01   1.3675292286e+00   5.9203937204e-01
3.0259671952e-01   1.3367110826e+00   6.0383599691e-01
2.9511414663e-01   1.3046056249e+00   6.1496090009e-01
2.8854829180e-01   1.2715025353e+00   6.2540680422e-01
2.8286309807e-01   1.2376730647e+00   6.3517090013e-01
2.7802401391e-01   1.2033679523e+00   6.4425447429e-01
2.7399899905e-01   1.1688161740e+00   6.5266251608e-01
2.7075908575e-01   1.1342245305e+00   6.6040331833e-01
2.6827849623e-01   1.0997780066e+00   6.6748808382e-01
2.6653441110e-01   1.0656407445e+00   6.7393054844e-01
2.6550657009e-01   1.0319573857e+00   6.7974662865e-01
2.6517692673e-01   9.9885451059e-01   6.8495409618e-01
2.6552954190e-01   9.6644194958e-01   6.8957227949e-01
2.6655078464e-01   9.3481386736e-01   6.9362178834e-01
2.6822974231e-01   9.0404968715e-01   6.9712425813e-01
2.7055858938e-01   8.7421506814e-01   7.0010211256e-01
2.7353260408e-01   8.4536319316e-01   7.0257834726e-01
2.7714962052e-01   8.1753650881e-01   7.0457634029e-01
2.8140898600e-01   7.9076877533e-01   7.0611969536e-01
2.8634120077e-01   7.6504526424e-01   7.0723181325e-01
2.8634792904e-01   7.6501306510e-01   7.0723296919e-01
2.8641527107e-01   7.6469117162e-01   7.0724449186e-01
2.8709463590e-01   7.6148204023e-01   7.0735606044e-01
2.9278209372e-01   7.3700281095e-01   7.0800416693e-01
2.9914151903e-01   7.1362111819e-01   7.0827086515e-01
3.0618527904e-01   6.9133875084e-01   7.0817912642e-01
3.1392799421e-01   6.7015310973e-01   7.0775155805e-01
3.2238643388e-01   6.5005806099e-01   7.0701034765e-01
3.3157940723e-01   6.3104471887e-01   7.0597722090e-01
3.4152764706e-01   6.1310216266e-01   7.0467341176e-01
3.5225368370e-01   5.9621809245e-01   7.0311964363e-01
3.6378170561e-01   5.8037942953e-01   7.0133612064e-01
3.7613740298e-01   5.6557286751e-01   6.9934252795e-01
3.8934778994e-01   5.5178538034e-01   6.9715804031e-01
4.0344100034e-01   5.3900469380e-01   6.9480133799e-01
4.1844605144e-01   5.2721972692e-01   6.9229062965e-01
4.3439256911e-01   5.1642101005e-01   6.8964368139e-01
4.5131046724e-01   5.0660108604e-01   6.8687785183e-01
4.6922957299e-01   4.9775490129e-01   6.8401013264e-01
4.8817918860e-01   4.8988019323e-01   6.8105719464e-01
5.0818757909e-01   4.8297788074e-01   6.7803543902e-01
5.2928137418e-01   4.7705246422e-01   6.7496105407e-01
5.5148487126e-01   4.7211244140e-01   6.7185007725e-01
5.7481922506e-01   4.6817074519e-01   6.6871846293e-01
5.9930150854e-01   4.6524520881e-01   6.6558215608e-01
6.2494362877e-01   4.6335906292e-01   6.6245717230e-01
6.5175108090e-01   4.6254146787e-01   6.5935968461e-01
6.7972152387e-01   4.6282808228e-01   6.5630611731e-01
7.0884316244e-01   4.6426166614e-01   6.5331324769e-01
7.3909292263e-01   4.6689271287e-01   6.5039831556e-01
7.7043441181e-01   4.7078009952e-01   6.4757914115e-01
8.0281566060e-01   4.7599173770e-01   6.4487425130e-01
8.0285772961e-01   4.7599925672e-01   6.4487087376e-01
8.0327850766e-01   4.7607457248e-01   6.4483711034e-01
8.0749505594e-01   4.7684031921e-01   6.4450068399e-01
8.4100067688e-01   4.8363612689e-01   6.4194982268e-01
8.7538051390e-01   4.9192806739e-01   6.3955552697e-01
9.1051897296e-01   5.0181506231e-01   6.3733934035e-01
9.4627356983e-01   5.1340725192e-01   6.3532409395e-01
9.8247172625e-01   5.2682620928e-01   6.3353406266e-01
1.0189075629e+00   5.4220484995e-01   6.3199511992e-01
1.0553388292e+00   5.5968690861e-01   6.3073488547e-01
1.0914841627e+00   5.7942582084e-01   6.2978285839e-01
1.1270209302e+00   6.0158281159e-01   6.2917052475e-01
1.1615839725e+00   6.2632395593e-01   6.2893142628e-01
1.1947656474e+00   6.5381594492e-01   6.2910117267e-01
1.2261176329e+00   6.8422026985e-01   6.2971737603e-01
1.2551550098e+00   7.1768554013e-01   6.3081948192e-01
1.2813631608e+00   7.5433769083e-01   6.3244846769e-01
1.3042079969e+00   7.9426793112e-01   6.3464637603e-01
1.3231496659e+00   8.3751868522e-01   6.3745565278e-01
1.3376608494e+00   8.8406688207e-01   6.4091825616e-01
1.3472479774e+00   9.3380676932e-01   6.4507451516e-01
1.3514760095e+00   9.8653197892e-01   6.4996173168e-01
1.3514778250e+00   9.8660118773e-01   6.4996846371e-01
1.3514954655e+00   9.8729351605e-01   6.5003585274e-01
1.3516203024e+00   9.9424065236e-01   6.5071662932e-01
1.3493067737e+00   1.0499718245e+00   6.5647810744e-01
1.3410228752e+00   1.1078352458e+00   6.6303233421e-01
1.3266878255e+00   1.1672189360e+00   6.7039551649e-01
1.3063786863e+00   1.2273737084e+00   6.7857303707e-01
1.2803407005e+00   1.2874247957e+00   6.8755756975e-01
1.2489872707e+00   1.3463946889e+00   6.9732749066e-01
1.2128883384e+00   1.4032369892e+00   7.0784575565e-01
1.1727472910e+00   1.4568795548e+00   7.1905939584e-01
1.1293680538e+00   1.5062737166e+00   7.3089974296e-01
1.0836154445e+00   1.5504451514e+00   7.4328343405e-01
1.0835557962e+00   1.5504979131e+00   7.4329957765e-01
1.0829591797e+00   1.5510249815e+00   7.4346105389e-01
1.0769800388e+00   1.5562405485e+00   7.4507979653e-01
1.0295953310e+00   1.5934157591e+00   7.5796554991e-01
9.8169722655e-01   1.6237444245e+00   7.7117571621e-01
9.3407495101e-01   1.6467570592e+00   7.8459509672e-01
8.8742684297e-01   1.6621917230e+00   7.9810460108e-01
8.4234293982e-01   1.6699936484e+00   8.1158454275e-01
7.9929710276e-01   1.6703025854e+00   8.2491777927e-01
7.5864760299e-01   1.6634304145e+00   8.3799252789e-01
7.2064439949e-01   1.6498321597e+00   8.5070473452e-01
6.8544105120e-01   1.6300736051e+00   8.6295992567e-01
6.5310925849e-01   1.6047983834e+00   8.7467452165e-01
6.2365431576e-01   1.5746968162e+00   8.8577662973e-01
5.9703016182e-01   1.5404781054e+00   8.9620636588e-01
5.7315314154e-01   1.5028468104e+00   9.0591577253e-01
5.5191397303e-01   1.4624839816e+00   9.1486840860e-01
