X    Y
0.0000000000e+00   5.0000000000e-01
1.0000000000e-04   5.0002500100e-01
1.1000000000e-03   5.0027512104e-01
1.1100000000e-02   5.0278735748e-01
8.9301368524e-02   5.2314183539e-01
1.6750273705e-01   5.4480686404e-01
2.4570410557e-01   5.6785816329e-01
3.2390547410e-01   5.9236898597e-01
4.0210684262e-01   6.1840809809e-01
4.8030821114e-01   6.4603733711e-01
5.5850957967e-01   6.7530872017e-01
6.3671094819e-01   7.0626109171e-01
7.1491231672e-01   7.3891632487e-01
7.9311368524e-01   7.7327512509e-01
8.7131505376e-01   8.0931252783e-01
9.4951642229e-01   8.4697323396e-01
1.0277177908e+00   8.8616698407e-01
1.1059191593e+00   9.2676423213e-01
1.1841205279e+00   9.6859243267e-01
1.2623218964e+00   1.0114332948e+00
1.3405232649e+00   1.0550213706e+00
1.4187246334e+00   1.0990443231e+00
1.4969260020e+00   1.1431451546e+00
1.5751273705e+00   1.1869265651e+00
1.6533287390e+00   1.2299644878e+00
1.6534287390e+00   1.2300188530e+00
1.6544287390e+00   1.2305623971e+00
1.6644287390e+00   1.2359868417e+00
1.7426301075e+00   1.2776174844e+00
1.8208314761e+00   1.3175169871e+00
1.8990328446e+00   1.3552210803e+00
1.9772342131e+00   1.3902807652e+00
2.0554355816e+00   1.4222756950e+00
2.1336369501e+00   1.4508267401e+00
2.2118383187e+00   1.4756070130e+00
2.2900396872e+00   1.4963507475e+00
2.3682410557e+00   1.5128596032e+00
2.4464424242e+00   1.5250061703e+00
2.5246437928e+00   1.5327346620e+00
2.6028451613e+00   1.5360589693e+00
2.6810465298e+00   1.5350584114e+00
2.7592478983e+00   1.5298716223e+00
2.8374492669e+00   1.5206890750e+00
2.9156506354e+00   1.5077447582e+00
2.9938520039e+00   1.4913074927e+00
3.0720533724e+00   1.4716723116e+00
3.1502547410e+00   1.4491522428e+00
3.2284561095e+00   1.4240707300e+00
3.3066574780e+00   1.3967548292e+00
3.3848588465e+00   1.3675292286e+00
3.4630602151e+00   1.3367110826e+00
3.5412615836e+00   1.3046056249e+00
3.6194629521e+00   1.2715025353e+00
3.6976643206e+00   1.2376730647e+00
3.7758656891e+00   1.2033679523e+00
3.8540670577e+00   1.1688161740e+00
3.9322684262e+00   1.1342245305e+00
4.0104697947e+00   1.0997780066e+00
4.0886711632e+00   1.0656407445e+00
4.1668725318e+00   1.0319573857e+00
4.2450739003e+00   9.9885451059e-01
4.3232752688e+00   9.6644194958e-01
4.4014766373e+00   9.3481386736e-01
4.4796780059e+00   9.0404968715e-01
4.5578793744e+00   8.7421506814e-01
4.6360807429e+00   8.4536319316e-01
4.7142821114e+00   8.1753650881e-01
4.7924834800e+00   7.9076877533e-01
4.8706848485e+00   7.6504526424e-01
4.8707848485e+00   7.6501306510e-01
4.8717848485e+00   7.6469117162e-01
4.8817848485e+00   7.6148204023e-01
4.9599862170e+00   7.3700281095e-01
5.0381875855e+00   7.1362111819e-01
5.1163889541e+00   6.9133875084e-01
5.1945903226e+00   6.7015310973e-01
5.2727916911e+00   6.5005806099e-01
5.3509930596e+00   6.3104471887e-01
5.4291944282e+00   6.1310216266e-01
5.5073957967e+00   5.9621809245e-01
5.5855971652e+00   5.8037942953e-01
5.6637985337e+00   5.6557286751e-01
5.7419999022e+00   5.5178538034e-01
5.8202012708e+00   5.3900469380e-01
5.8984026393e+00   5.2721972692e-01
5.9766040078e+00   5.1642101005e-01
6.0548053763e+00   5.0660108604e-01
6.1330067449e+00   4.9775490129e-01
6.2112081134e+00   4.8988019323e-01
6.2894094819e+00   4.8297788074e-01
6.3676108504e+00   4.7705246422e-01
6.4458122190e+00   4.7211244140e-01
6.5240135875e+00   4.6817074519e-01
6.6022149560e+00   4.6524520881e-01
6.6804163245e+00   4.6335906292e-01
6.7586176931e+00   4.6254146787e-01
6.8368190616e+00   4.6282808228e-01
6.9150204301e+00   4.6426166614e-01
6.9932217986e+00   4.6689271287e-01
7.0714231672e+00   4.7078009952e-01
7.1496245357e+00   4.7599173770e-01
7.1497245357e+00   4.7599925672e-01
7.1507245357e+00   4.7607457248e-01
7.1607245357e+00   4.7684031921e-01
7.2389259042e+00   4.8363612689e-01
7.3171272727e+00   4.9192806739e-01
7.3953286413e+00   5.0181506231e-01
7.4735300098e+00   5.1340725192e-01
7.5517313783e+00   5.2682620928e-01
7.6299327468e+00   5.4220484995e-01
7.7081341153e+00   5.5968690861e-01
7.7863354839e+00   5.7942582084e-01
7.8645368524e+00   6.0158281159e-01
7.9427382209e+00   6.2632395593e-01
8.0209395894e+00   6.5381594492e-01
8.0991409580e+00   6.8422026985e-01
8.1773423265e+00   7.1768554013e-01
8.2555436950e+00   7.5433769083e-01
8.3337450635e+00   7.9426793112e-01
8.4119464321e+00   8.3751868522e-01
8.4901478006e+00   8.8406688207e-01
8.5683491691e+00   9.3380676932e-01
8.6465505376e+00   9.8653197892e-01
8.6466505376e+00   9.8660118773e-01
8.6476505376e+00   9.8729351605e-01
8.6576505376e+00   9.9424065236e-01
8.7358519062e+00   1.0499718245e+00
8.8140532747e+00   1.1078352458e+00
8.8922546432e+00   1.1672189360e+00
8.9704560117e+00   1.2273737084e+00
9.0486573803e+00   1.2874247957e+00
9.1268587488e+00   1.3463946889e+00
9.2050601173e+00   1.4032369892e+00
9.2832614858e+00   1.4568795548e+00
9.3614628543e+00   1.5062737166e+00
9.4396642229e+00   1.5504451514e+00
9.4397642229e+00   1.5504979131e+00
9.4407642229e+00   1.5510249815e+00
9.4507642229e+00   1.5562405485e+00
9.5289655914e+00   1.5934157591e+00
9.6071669599e+00   1.6237444245e+00
9.6853683284e+00   1.6467570592e+00
9.7635696970e+00   1.6621917230e+00
9.8417710655e+00   1.6699936484e+00
9.9199724340e+00   1.6703025854e+00
9.9981738025e+00   1.6634304145e+00
1.0076375171e+01   1.6498321597e+00
1.0154576540e+01   1.6300736051e+00
1.0232777908e+01   1.6047983834e+00
1.0310979277e+01   1.5746968162e+00
1.0389180645e+01   1.5404781054e+00
1.0467382014e+01   1.5028468104e+00
1.0545583382e+01   1.4624839816e+00
1.0623784751e+01   1.4200328967e+00
1.0701986119e+01   1.3760890514e+00
1.0780187488e+01   1.3311938832e+00
1.0858388856e+01   1.2858315751e+00
1.0936590225e+01   1.2404283594e+00
1.1014791593e+01   1.1953537393e+00
1.1092992962e+01   1.1509231128e+00
1.1093092962e+01   1.1508668276e+00
1.1094092962e+01   1.1503040585e+00
1.1104092962e+01   1.1446846884e+00
1.1182294330e+01   1.1013106698e+00
1.1260495699e+01   1.0590915903e+00
1.1338697067e+01   1.0181986002e+00
1.1416898436e+01   9.7876627131e-01
1.1495099804e+01   9.4089711117e-01
1.1573301173e+01   9.0466588204e-01
1.1651502542e+01   8.7012365282e-01
1.1729703910e+01   8.3730154037e-01
1.1807905279e+01   8.0621412000e-01
1.1886106647e+01   7.7686250101e-01
1.1964308016e+01   7.4923707589e-01
1.2042509384e+01   7.2331995986e-01
1.2120710753e+01   6.9908714304e-01
1.2198912121e+01   6.7651038137e-01
1.2277113490e+01   6.5555885356e-01
1.2355314858e+01   6.3620061284e-01
1.2433516227e+01   6.1840386172e-01
1.2511717595e+01   6.0213807771e-01
1.2589918964e+01   5.8737501739e-01
1.2668120332e+01   5.7408962469e-01
1.2746321701e+01   5.6226086832e-01
1.2824523069e+01   5.5187064326e-01
1.2824623069e+01   5.5185827298e-01
1.2825623069e+01   5.5173469852e-01
1.2835623069e+01   5.5051179183e-01
1.2913824438e+01   5.4175212242e-01
1.2992025806e+01   5.3441542872e-01
1.3070227175e+01   5.2850418911e-01
1.3148428543e+01   5.2402828606e-01
1.3226629912e+01   5.2100565254e-01
1.3304831281e+01   5.1946292711e-01
1.3383032649e+01   5.1943611793e-01
1.3461234018e+01   5.2097126966e-01
1.3539435386e+01   5.2412512023e-01
1.3617636755e+01   5.2896572473e-01
1.3695838123e+01   5.3557301118e-01
1.3774039492e+01   5.4403921740e-01
1.3852240860e+01   5.5446913789e-01
1.3930442229e+01   5.6698008542e-01
1.4008643597e+01   5.8170144178e-01
1.4086844966e+01   5.9877363827e-01
1.4165046334e+01   6.1834636747e-01
1.4243247703e+01   6.4057579301e-01
1.4321449071e+01   6.6562045979e-01
1.4399650440e+01   6.9363564084e-01
1.4477851808e+01   7.2476578231e-01
1.4556053177e+01   7.5913478529e-01
1.4556153177e+01   7.5918085149e-01
1.4557153177e+01   7.5964181333e-01
1.4567153177e+01   7.6428144984e-01
1.4645354545e+01   8.0245815424e-01
1.4723555914e+01   8.4401074211e-01
1.4801757283e+01   8.8890927336e-01
1.4879958651e+01   9.3703932850e-01
1.4958160020e+01   9.8818338318e-01
1.5036361388e+01   1.0420035041e+00
1.5114562757e+01   1.0980274981e+00
1.5192764125e+01   1.1556409892e+00
1.5270965494e+01   1.2140879544e+00
1.5349166862e+01   1.2724818765e+00
1.5427368231e+01   1.3298288037e+00
1.5505569599e+01   1.3850622624e+00
1.5583770968e+01   1.4370883293e+00
1.5661972336e+01   1.4848374868e+00
1.5662072336e+01   1.4848953722e+00
1.5663072336e+01   1.4854737513e+00
1.5673072336e+01   1.4912096193e+00
1.5751273705e+01   1.5328684038e+00
1.5829475073e+01   1.5682862858e+00
1.5907676442e+01   1.5967986826e+00
1.5985877810e+01   1.6179453279e+00
1.6064079179e+01   1.6314836408e+00
1.6142280547e+01   1.6373872691e+00
1.6220481916e+01   1.6358314322e+00
1.6298683284e+01   1.6271679310e+00
1.6376884653e+01   1.6118933233e+00
1.6455086022e+01   1.5906138058e+00
1.6533287390e+01   1.5640099398e+00
1.6611488759e+01   1.5328036704e+00
1.6689690127e+01   1.4977293052e+00
1.6767891496e+01   1.4595093718e+00
1.6846092864e+01   1.4188356573e+00
1.6924294233e+01   1.3763552778e+00
1.7002495601e+01   1.3326613350e+00
1.7080696970e+01   1.2882875403e+00
1.7158898338e+01   1.2437060952e+00
1.7237099707e+01   1.1993278403e+00
1.7237199707e+01   1.1992713780e+00
1.7238199707e+01   1.1987068062e+00
1.7248199707e+01   1.1930662735e+00
1.7326401075e+01   1.1493471254e+00
1.7404602444e+01   1.1065171240e+00
1.7482803812e+01   1.0648145071e+00
1.7561005181e+01   1.0244319304e+00
1.7639206549e+01   9.8552154449e-01
1.7717407918e+01   9.4820002878e-01
1.7795609286e+01   9.1255343780e-01
1.7873810655e+01   8.7864176214e-01
1.7952012023e+01   8.4650314560e-01
1.8030213392e+01   8.1615772941e-01
1.8108414761e+01   7.8761111574e-01
1.8186616129e+01   7.6085745898e-01
1.8264817498e+01   7.3588220368e-01
1.8343018866e+01   7.1266449533e-01
1.8421220235e+01   6.9117929440e-01
1.8499421603e+01   6.7139922646e-01
1.8577622972e+01   6.5329620187e-01
1.8655824340e+01   6.3684283889e-01
1.8734025709e+01   6.2201372285e-01
1.8812227077e+01   6.0878653325e-01
1.8890428446e+01   5.9714306833e-01
1.8968629814e+01   5.8706854464e-01
1.8968729814e+01   5.8705666284e-01
1.8969729814e+01   5.8693798525e-01
1.8979729814e+01   5.8576525064e-01
1.9057931183e+01   5.7747420515e-01
1.9136132551e+01   5.7074427524e-01
1.9214333920e+01   5.6558244020e-01
1.9292535288e+01   5.6200364773e-01
1.9370736657e+01   5.6003145646e-01
1.9448938025e+01   5.5969864459e-01
1.9527139394e+01   5.6104777490e-01
1.9605340762e+01   5.6413169668e-01
1.9683542131e+01   5.6901395423e-01
1.9761743500e+01   5.7576905735e-01
1.9839944868e+01   5.8448255215e-01
1.9918146237e+01   5.9525080963e-01
1.9996347605e+01   6.0818042556e-01
2.0074548974e+01   6.2338709745e-01
2.0152750342e+01   6.4099381499e-01
2.0230951711e+01   6.6112817096e-01
2.0309153079e+01   6.8391857395e-01
2.0387354448e+01   7.0948912869e-01
2.0465555816e+01   7.3795294544e-01
2.0543757185e+01   7.6940370325e-01
2.0621958553e+01   8.0390531897e-01
2.0700159922e+01   8.4147975320e-01
2.0778361290e+01   8.8209316832e-01
2.0778461290e+01   8.8214701211e-01
2.0779461290e+01   8.8268571450e-01
2.0789461290e+01   8.8809912409e-01
2.0867662659e+01   9.3205013133e-01
2.0945864027e+01   9.7870991932e-01
2.1024065396e+01   1.0277721301e+00
2.1102266764e+01   1.0788169091e+00
2.1180468133e+01   1.1313044156e+00
2.1258669501e+01   1.1845750534e+00
2.1336870870e+01   1.2378581285e+00
2.1415072239e+01   1.2902900067e+00
2.1493273607e+01   1.3409418586e+00
2.1571474976e+01   1.3888558383e+00
2.1649676344e+01   1.4330872488e+00
2.1727877713e+01   1.4727491305e+00
2.1806079081e+01   1.5070549728e+00
2.1806179081e+01   1.5070951215e+00
