X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   1.0000150006e-05
1.1000000000e-03   1.1001815754e-04
1.1100000000e-02   1.1118559158e-03
8.9301368524e-02   9.0538600614e-03
1.6750273705e-01   1.7198585078e-02
2.4570410557e-01   2.5563814046e-02
3.2390547410e-01   3.4168212304e-02
4.0210684262e-01   4.3031260285e-02
4.8030821114e-01   5.2173152807e-02
5.5850957967e-01   6.1614658565e-02
6.3671094819e-01   7.1376933339e-02
7.1491231672e-01   8.1481280569e-02
7.9311368524e-01   9.1948853515e-02
8.7131505376e-01   1.0280029438e-01
9.4951642229e-01   1.1405530770e-01
1.0277177908e+00   1.2573216792e-01
1.1059191593e+00   1.3784716487e-01
1.1841205279e+00   1.5041399491e-01
1.2623218964e+00   1.6344311115e-01
1.3405232649e+00   1.7694105080e-01
1.4187246334e+00   1.9090976397e-01
1.4969260020e+00   2.0534597176e-01
1.5751273705e+00   2.2024058549e-01
1.6533287390e+00   2.3557821933e-01
1.7315301075e+00   2.5133693004e-01
1.8097314761e+00   2.6748802251e-01
1.8879328446e+00   2.8399594497e-01
1.9661342131e+00   3.0081856218e-01
2.0443355816e+00   3.1790756966e-01
2.0444355816e+00   3.1792957031e-01
2.0454355816e+00   3.1814959596e-01
2.0554355816e+00   3.2035174070e-01
2.1336369501e+00   3.3767879097e-01
2.2118383187e+00   3.5515108392e-01
2.2900396872e+00   3.7270569762e-01
2.3682410557e+00   3.9027708029e-01
2.4464424242e+00   4.0779816844e-01
2.5246437928e+00   4.2520152029e-01
2.6028451613e+00   4.4242042156e-01
2.6810465298e+00   4.5938992590e-01
2.7592478983e+00   4.7604779844e-01
2.8374492669e+00   4.9233533899e-01
2.9156506354e+00   5.0819806933e-01
2.9938520039e+00   5.2358627706e-01
3.0720533724e+00   5.3845541521e-01
3.1502547410e+00   5.5276636281e-01
3.2284561095e+00   5.6648555623e-01
3.3066574780e+00   5.7958500407e-01
3.3848588465e+00   5.9204220070e-01
3.4630602151e+00   6.0383995425e-01
3.5412615836e+00   6.1496614519e-01
3.6194629521e+00   6.2541343088e-01
3.6976643206e+00   6.3517891047e-01
3.7758656891e+00   6.4426376343e-01
3.8540670577e+00   6.5267287295e-01
3.9322684262e+00   6.6041444418e-01
4.0104697947e+00   6.6749962532e-01
4.0886711632e+00   6.7394213784e-01
4.1668725318e+00   6.7975792086e-01
4.2450739003e+00   6.8496479312e-01
4.3232752688e+00   6.8958213506e-01
4.4014766373e+00   6.9363059328e-01
4.4796780059e+00   6.9713180871e-01
4.5578793744e+00   7.0010817038e-01
4.6360807429e+00   7.0258259604e-01
4.7142821114e+00   7.0457834059e-01
4.7924834800e+00   7.0611907478e-01
4.8706848485e+00   7.0722857630e-01
4.9488862170e+00   7.0793033008e-01
5.0270875855e+00   7.0824762806e-01
5.1052889541e+00   7.0820347995e-01
5.1834903226e+00   7.0782054049e-01
5.2616916911e+00   7.0712105185e-01
5.3398930596e+00   7.0612679964e-01
5.4180944282e+00   7.0485908150e-01
5.4962957967e+00   7.0333868686e-01
5.5744971652e+00   7.0158588690e-01
5.6526985337e+00   6.9962043370e-01
5.7308999022e+00   6.9746156768e-01
5.8091012708e+00   6.9512803262e-01
5.8873026393e+00   6.9263809756e-01
5.9655040078e+00   6.9000958505e-01
6.0437053763e+00   6.8725990540e-01
6.1219067449e+00   6.8440609649e-01
6.1220067449e+00   6.8440238768e-01
6.1230067449e+00   6.8436529181e-01
6.1330067449e+00   6.8399355483e-01
6.2112081134e+00   6.8104125662e-01
6.2894094819e+00   6.7802028715e-01
6.3676108504e+00   6.7494683283e-01
6.4458122190e+00   6.7183692934e-01
6.5240135875e+00   6.6870652893e-01
6.6022149560e+00   6.6557157359e-01
6.6804163245e+00   6.6244807424e-01
6.7586176931e+00   6.5935219644e-01
6.8368190616e+00   6.5630035300e-01
6.9150204301e+00   6.5330930381e-01
6.9932217986e+00   6.5039626358e-01
7.0714231672e+00   6.4757901750e-01
7.1496245357e+00   6.4487604530e-01
7.2278259042e+00   6.4230665356e-01
7.3060272727e+00   6.3989111597e-01
7.3842286413e+00   6.3765082063e-01
7.4624300098e+00   6.3560842294e-01
7.5406313783e+00   6.3378800150e-01
7.6188327468e+00   6.3221521324e-01
7.6970341153e+00   6.3091744247e-01
7.7752354839e+00   6.2992393620e-01
7.8534368524e+00   6.2926591575e-01
7.9316382209e+00   6.2897665135e-01
8.0098395894e+00   6.2909148287e-01
8.0880409580e+00   6.2964776568e-01
8.1662423265e+00   6.3068471600e-01
8.2444436950e+00   6.3224312809e-01
8.3226450635e+00   6.3436493205e-01
8.4008464321e+00   6.3709255727e-01
8.4790478006e+00   6.4046807279e-01
8.5572491691e+00   6.4453208064e-01
8.5573491691e+00   6.4453773478e-01
8.5583491691e+00   6.4459434163e-01
8.5683491691e+00   6.4516696206e-01
8.6465505376e+00   6.5006314418e-01
8.7247519062e+00   6.5572317683e-01
8.8029532747e+00   6.6217305566e-01
8.8811546432e+00   6.6943023219e-01
8.9593560117e+00   6.7750159265e-01
9.0375573803e+00   6.8638154785e-01
9.1157587488e+00   6.9605039724e-01
9.1939601173e+00   7.0647313739e-01
9.2721614858e+00   7.1759887048e-01
9.3503628543e+00   7.2936093123e-01
9.4285642229e+00   7.4167779205e-01
9.5067655914e+00   7.5445473062e-01
9.5849669599e+00   7.6758617566e-01
9.5850669599e+00   7.6760314660e-01
9.5860669599e+00   7.6777287770e-01
9.5960669599e+00   7.6947230418e-01
9.6742683284e+00   7.8286938535e-01
9.7524696970e+00   7.9637209151e-01
9.8306710655e+00   8.0986065610e-01
9.9088724340e+00   8.2321746413e-01
9.9870738025e+00   8.3632991700e-01
