X    Y
0.0000000000e+00   nan
2.7397260274e-02   5.8807590579e-08
5.4794520548e-02   5.9520680093e-08
8.2191780822e-02   5.9809677985e-08
1.0958904110e-01   5.9618874749e-08
1.3698630137e-01   5.8899526924e-08
1.6438356164e-01   5.7567609537e-08
1.9178082192e-01   5.5307095472e-08
2.1917808219e-01   5.0895008139e-08
2.4657534247e-01   4.0306884216e-08
2.7397260274e-01   1.2139793917e-08
3.0136986301e-01   6.2214980313e-08
3.2876712329e-01   2.4774576566e-07
3.5616438356e-01   6.8036287064e-07
3.8356164384e-01   1.6250458380e-06
4.1095890411e-01   3.5681351018e-06
4.3835616438e-01   7.3564193287e-06
4.6575342466e-01   1.4397254945e-05
4.9315068493e-01   2.6934663265e-05
5.2054794521e-01   4.8415866736e-05
5.4794520548e-01   8.3960813299e-05
5.7534246575e-01   1.4094377994e-04
6.0273972603e-01   2.2969116831e-04
6.3013698630e-01   3.6429327741e-04
6.5753424658e-01   5.6352046179e-04
6.8493150685e-01   8.5182606207e-04
7.1232876712e-01   1.2604102931e-03
7.3972602740e-01   1.8283113842e-03
7.6712328767e-01   2.6034831614e-03
7.9452054795e-01   3.6438123708e-03
8.2191780822e-01   5.0180247381e-03
8.4931506849e-01   6.8064263054e-03
8.7671232877e-01   9.1014261988e-03
9.0410958904e-01   1.2007788737e-02
9.3150684932e-01   1.5642566717e-02
9.5890410959e-01   2.0134673737e-02
9.8630136986e-01   2.5624061364e-02
1.0136986301e+00   3.2260476659e-02
1.0410958904e+00   4.0201786678e-02
1.0684931507e+00   4.9611868835e-02
1.0958904110e+00   6.0658079002e-02
1.1232876712e+00   7.3508322599e-02
1.1506849315e+00   8.8327767281e-02
1.1780821918e+00   1.0527524871e-01
1.2054794521e+00   1.2449943302e-01
1.2328767123e+00   1.4613481047e-01
1.2602739726e+00   1.7029760408e-01
1.2876712329e+00   1.9708168471e-01
1.3150684932e+00   2.2655458937e-01
1.3424657534e+00   2.5875374254e-01
1.3698630137e+00   2.9368298146e-01
1.3972602740e+00   3.3130948373e-01
1.4246575342e+00   3.7156119188e-01
1.4520547945e+00   4.1432482207e-01
1.4794520548e+00   4.5944453493e-01
1.5068493151e+00   5.0672133473e-01
1.5342465753e+00   5.5591324938e-01
1.5616438356e+00   6.0673632829e-01
1.5890410959e+00   6.5886647790e-01
1.6164383562e+00   7.1194213695e-01
1.6438356164e+00   7.6556777450e-01
1.6712328767e+00   8.1931817492e-01
1.6986301370e+00   8.7274345533e-01
1.7260273973e+00   9.2537474272e-01
1.7534246575e+00   9.7673042126e-01
1.7808219178e+00   1.0263228448e+00
1.8082191781e+00   1.0736653964e+00
1.8356164384e+00   1.1182797653e+00
1.8630136986e+00   1.1597033040e+00
1.8904109589e+00   1.1974963231e+00
1.9178082192e+00   1.2312491773e+00
1.9452054795e+00   1.2605890010e+00
1.9726027397e+00   1.2851859513e+00
2.0000000000e+00   1.3047588296e+00
2.0273972603e+00   1.3190799587e+00
2.0547945205e+00   1.3279792101e+00
2.0821917808e+00   1.3313470905e+00
2.1095890411e+00   1.3291368165e+00
2.1369863014e+00   1.3213653266e+00
