X    Y
0.0000000000e+00   4.0000000000e-01
2.7397260274e-02   4.0204699736e-01
5.4794520548e-02   4.0380187178e-01
8.2191780822e-02   4.0526103103e-01
1.0958904110e-01   4.0642119730e-01
1.3698630137e-01   4.0727939804e-01
1.6438356164e-01   4.0783295742e-01
1.9178082192e-01   4.0807948861e-01
2.1917808219e-01   4.0801688682e-01
2.4657534247e-01   4.0764332308e-01
2.7397260274e-01   4.0695723881e-01
3.0136986301e-01   4.0595734100e-01
3.2876712329e-01   4.0464259817e-01
3.5616438356e-01   4.0301223684e-01
3.8356164384e-01   4.0106573856e-01
4.1095890411e-01   3.9880283749e-01
4.3835616438e-01   3.9622351835e-01
4.6575342466e-01   3.9332801468e-01
4.9315068493e-01   3.9011680756e-01
5.2054794521e-01   3.8659062438e-01
5.4794520548e-01   3.8275043796e-01
5.7534246575e-01   3.7859746572e-01
6.0273972603e-01   3.7413316895e-01
6.3013698630e-01   3.6935925219e-01
6.5753424658e-01   3.6427766259e-01
6.8493150685e-01   3.5889058926e-01
7.1232876712e-01   3.5320046257e-01
7.3972602740e-01   3.4720995348e-01
7.6712328767e-01   3.4092197264e-01
7.9452054795e-01   3.3433966957e-01
8.2191780822e-01   3.2746643159e-01
8.4931506849e-01   3.2030588272e-01
8.7671232877e-01   3.1286188244e-01
9.0410958904e-01   3.0513852428e-01
9.3150684932e-01   2.9714013433e-01
9.5890410959e-01   2.8887126957e-01
9.8630136986e-01   2.8033671602e-01
1.0136986301e+00   2.7154148685e-01
1.0410958904e+00   2.6249082015e-01
1.0684931507e+00   2.5319017671e-01
1.0958904110e+00   2.4364523754e-01
1.1232876712e+00   2.3386190118e-01
1.1506849315e+00   2.2384628092e-01
1.1780821918e+00   2.1360470176e-01
1.2054794521e+00   2.0314369719e-01
1.2328767123e+00   1.9247000576e-01
1.2602739726e+00   1.8159056748e-01
1.2876712329e+00   1.7051251991e-01
1.3150684932e+00   1.5924319416e-01
1.3424657534e+00   1.4779011053e-01
1.3698630137e+00   1.3616097400e-01
1.3972602740e+00   1.2436366945e-01
1.4246575342e+00   1.1240625667e-01
1.4520547945e+00   1.0029696505e-01
1.4794520548e+00   8.8044188126e-02
1.5068493151e+00   7.5656477835e-02
1.5342465753e+00   6.3142538514e-02
1.5616438356e+00   5.0511220693e-02
1.5890410959e+00   3.7771514647e-02
1.6164383562e+00   2.4932543726e-02
1.6438356164e+00   1.2003557465e-02
1.6712328767e+00   -1.0060755034e-03
1.6986301370e+00   -1.4086874731e-02
1.7260273973e+00   -2.7229255411e-02
1.7534246575e+00   -4.0423536007e-02
1.7808219178e+00   -5.3659946018e-02
1.8082191781e+00   -6.6928633882e-02
1.8356164384e+00   -8.0219674986e-02
1.8630136986e+00   -9.3523079774e-02
1.8904109589e+00   -1.0682880193e-01
1.9178082192e+00   -1.2012674660e-01
1.9452054795e+00   -1.3340677868e-01
1.9726027397e+00   -1.4665873108e-01
2.0000000000e+00   -1.5987241303e-01
2.0273972603e+00   -1.7303761834e-01
2.0547945205e+00   -1.8614413359e-01
2.0821917808e+00   -1.9918174636e-01
2.1095890411e+00   -2.1214025330e-01
2.1369863014e+00   -2.2500946815e-01
2.1643835616e+00   -2.3777922971e-01
2.1917808219e+00   -2.5043940963e-01
2.2191780822e+00   -2.6297992019e-01
2.2465753425e+00   -2.7539072186e-01
2.2739726027e+00   -2.8766183084e-01
2.3013698630e+00   -2.9978332641e-01
2.3287671233e+00   -3.1174535822e-01
2.3561643836e+00   -3.2353815342e-01
2.3835616438e+00   -3.3515202372e-01
2.4109589041e+00   -3.4657737230e-01
2.4383561644e+00   -3.5780470063e-01
2.4657534247e+00   -3.6882461526e-01
2.4931506849e+00   -3.7962783445e-01
2.5205479452e+00   -3.9020519476e-01
2.5479452055e+00   -4.0054765757e-01
2.5753424658e+00   -4.1064631558e-01
2.6027397260e+00   -4.2049239922e-01
2.6301369863e+00   -4.3007728303e-01
2.6575342466e+00   -4.3939249210e-01
2.6849315068e+00   -4.4842970836e-01
2.7123287671e+00   -4.5718077693e-01
