X    Y
0.0000000000e+00   0.0000000000e+00
2.7397260274e-02   1.0511739817e-03
5.4794520548e-02   1.9349821267e-03
8.2191780822e-02   2.6705735526e-03
1.0958904110e-01   3.2757922401e-03
1.3698630137e-01   3.7671303414e-03
1.6438356164e-01   4.1597069241e-03
1.9178082192e-01   4.4672705005e-03
2.1917808219e-01   4.7022229995e-03
2.4657534247e-01   4.8756623607e-03
2.7397260274e-01   4.9974406327e-03
3.0136986301e-01   5.0762343354e-03
3.2876712329e-01   5.1196238778e-03
3.5616438356e-01   5.1341789657e-03
3.8356164384e-01   5.1255471864e-03
4.1095890411e-01   5.0985432661e-03
4.3835616438e-01   5.0572368535e-03
4.6575342466e-01   5.0050370613e-03
4.9315068493e-01   4.9447723767e-03
5.2054794521e-01   4.8787649156e-03
5.4794520548e-01   4.8088983373e-03
5.7534246575e-01   4.7366790430e-03
6.0273972603e-01   4.6632905457e-03
6.3013698630e-01   4.5896411271e-03
6.5753424658e-01   4.5164050767e-03
6.8493150685e-01   4.4440579513e-03
7.1232876712e-01   4.3729063942e-03
7.3972602740e-01   4.3031131206e-03
7.6712328767e-01   4.2347177117e-03
7.9452054795e-01   4.1676538691e-03
8.2191780822e-01   4.1017637684e-03
8.4931506849e-01   4.0368101176e-03
8.7671232877e-01   3.9724864843e-03
9.0410958904e-01   3.9084263966e-03
9.3150684932e-01   3.8442116625e-03
9.5890410959e-01   3.7793802844e-03
9.8630136986e-01   3.7134342782e-03
1.0136986301e+00   3.6458476373e-03
1.0410958904e+00   3.5760746168e-03
1.0684931507e+00   3.5035584490e-03
1.0958904110e+00   3.4277405439e-03
1.1232876712e+00   3.3480701751e-03
1.1506849315e+00   3.2640146011e-03
1.1780821918e+00   3.1750695349e-03
1.2054794521e+00   3.0807698334e-03
1.2328767123e+00   2.9807002542e-03
1.2602739726e+00   2.8745061012e-03
1.2876712329e+00   2.7619035645e-03
1.3150684932e+00   2.6426895515e-03
1.3424657534e+00   2.5167508000e-03
1.3698630137e+00   2.3840720658e-03
1.3972602740e+00   2.2447431873e-03
1.4246575342e+00   2.0989648368e-03
1.4520547945e+00   1.9470527920e-03
1.4794520548e+00   1.7894405751e-03
1.5068493151e+00   1.6266803410e-03
1.5342465753e+00   1.4594419169e-03
1.5616438356e+00   1.2885099328e-03
1.5890410959e+00   1.1147790140e-03
1.6164383562e+00   9.3924704263e-04
1.6438356164e+00   7.6300653097e-04
1.6712328767e+00   5.8723418645e-04
1.6986301370e+00   4.1317878386e-04
1.7260273973e+00   2.4214749454e-04
1.7534246575e+00   7.5490855358e-05
1.7808219178e+00   -8.5413410122e-05
1.8082191781e+00   -2.3917747886e-04
1.8356164384e+00   -3.8442116204e-04
1.8630136986e+00   -5.1979000476e-04
1.8904109589e+00   -6.4397345784e-04
1.9178082192e+00   -7.5572281939e-04
1.9452054795e+00   -8.5386864121e-04
1.9726027397e+00   -9.3733729776e-04
2.0000000000e+00   -1.0051664242e-03
2.0273972603e+00   -1.0565189442e-03
2.0547945205e+00   -1.0906954278e-03
2.0821917808e+00   -1.1071445460e-03
2.1095890411e+00   -1.1054714160e-03
2.1369863014e+00   -1.0854436686e-03
2.1643835616e+00   -1.0469951048e-03
2.1917808219e+00   -9.9022685167e-04
2.2191780822e+00   -9.1540596944e-04
2.2465753425e+00   -8.2296150876e-04
2.2739726027e+00   -7.1347806122e-04
2.3013698630e+00   -5.8768689289e-04
2.3287671233e+00   -4.4645479451e-04
2.3561643836e+00   -2.9077082447e-04
2.3835616438e+00   -1.2173116026e-04
2.4109589041e+00   5.9477690531e-05
2.4383561644e+00   2.5159703727e-04
2.4657534247e+00   4.5331520346e-04
2.4931506849e+00   6.6328744598e-04
2.5205479452e+00   8.8015625522e-04
2.5479452055e+00   1.1025716878e-03
2.5753424658e+00   1.3292113846e-03
2.6027397260e+00   1.5587999333e-03
2.6301369863e+00   1.7901272515e-03
2.6575342466e+00   2.0220656841e-03
2.6849315068e+00   2.2535855429e-03
2.7123287671e+00   2.4837688436e-03
2.7397260274e+00   2.7118210417e-03
2.7671232877e+00   2.9370806098e-03
2.7945205479e+00   3.1590263473e-03
2.8219178082e+00   3.3772823672e-03
2.8493150685e+00   3.5916207559e-03
2.8767123288e+00   3.8019619568e-03
2.9041095890e+00   4.0083729809e-03
2.9315068493e+00   4.2110636009e-03
2.9589041096e+00   4.4103807339e-03
2.9863013699e+00   4.6068012604e-03
3.0136986301e+00   4.8009235702e-03
3.0410958904e+00   4.9934581570e-03
3.0684931507e+00   5.1852176101e-03
3.0958904110e+00   5.3771063696e-03
3.1232876712e+00   5.5701106230e-03
3.1506849315e+00   5.7652887164e-03
3.1780821918e+00   5.9637624514e-03
3.2054794521e+00   6.1667096124e-03
3.2328767123e+00   6.3753580462e-03
3.2602739726e+00   6.5909815751e-03
3.2876712329e+00   6.8148979784e-03
3.3150684932e+00   7.0484692232e-03
3.3424657534e+00   7.2931040620e-03
3.3698630137e+00   7.5502630476e-03
3.3972602740e+00   7.8214659418e-03
3.4246575342e+00   8.1083014186e-03
3.4520547945e+00   8.4124388823e-03
3.4794520548e+00   8.7356421446e-03
3.5068493151e+00   9.0797846252e-03
3.5342465753e+00   9.4468656677e-03
3.5616438356e+00   9.8390274918e-03
3.5890410959e+00   1.0258572243e-02
3.6164383562e+00   1.0707978544e-02
3.6438356164e+00   1.1189916913e-02
3.6712328767e+00   1.1707263374e-02
3.6986301370e+00   1.2263110574e-02
3.7260273973e+00   1.2860775711e-02
3.7534246575e+00   1.3503804589e-02
3.7808219178e+00   1.4195971134e-02
3.8082191781e+00   1.4941271760e-02
3.8356164384e+00   1.5743914014e-02
3.8630136986e+00   1.6608299016e-02
3.8904109589e+00   1.7538997283e-02
3.9178082192e+00   1.8540717635e-02
3.9452054795e+00   1.9618269003e-02
3.9726027397e+00   2.0776515057e-02
4.0000000000e+00   2.2020321734e-02
4.0273972603e+00   2.3354497887e-02
4.0547945205e+00   2.4783729389e-02
4.0821917808e+00   2.6312507217e-02
4.1095890411e+00   2.7945050174e-02
4.1369863014e+00   2.9685223033e-02
4.1643835616e+00   3.1536451073e-02
4.1917808219e+00   3.3501632054e-02
4.2191780822e+00   3.5583046840e-02
4.2465753425e+00   3.7782269975e-02
4.2739726027e+00   4.0100081584e-02
4.3013698630e+00   4.2536382071e-02
4.3287671233e+00   4.5090111122e-02
4.3561643836e+00   4.7759172528e-02
4.3835616438e+00   5.0540366384e-02
4.4109589041e+00   5.3429330144e-02
4.4383561644e+00   5.6420490010e-02
4.4657534247e+00   5.9507024007e-02
4.4931506849e+00   6.2680838022e-02
4.5205479452e+00   6.5932555945e-02
4.5479452055e+00   6.9251524878e-02
4.5753424658e+00   7.2625836221e-02
4.6027397260e+00   7.6042363223e-02
4.6301369863e+00   7.9486815375e-02
4.6575342466e+00   8.2943809786e-02
4.6849315068e+00   8.6396959432e-02
4.7123287671e+00   8.9828977919e-02
4.7397260274e+00   9.3221800120e-02
4.7671232877e+00   9.6556717814e-02
4.7945205479e+00   9.9814529174e-02
4.8219178082e+00   1.0297570071e-01
4.8493150685e+00   1.0602054005e-01
4.8767123288e+00   1.0892937766e-01
4.9041095890e+00   1.1168275554e-01
4.9315068493e+00   1.1426162060e-01
4.9589041096e+00   1.1664752039e-01
4.9863013699e+00   1.1882279864e-01
5.0136986301e+00   1.2077078823e-01
5.0410958904e+00   1.2247599872e-01
5.0684931507e+00   1.2392429615e-01
5.0958904110e+00   1.2510307230e-01
5.1232876712e+00   1.2600140105e-01
5.1506849315e+00   1.2661017955e-01
5.1780821918e+00   1.2692225178e-01
5.2054794521e+00   1.2693251282e-01
5.2328767123e+00   1.2663799168e-01
5.2602739726e+00   1.2603791158e-01
5.2876712329e+00   1.2513372615e-01
5.3150684932e+00   1.2392913083e-01
5.3424657534e+00   1.2243004892e-01
5.3698630137e+00   1.2064459199e-01
5.3972602740e+00   1.1858299492e-01
5.4246575342e+00   1.1625752606e-01
5.4520547945e+00   1.1368237341e-01
5.4794520548e+00   1.1087350811e-01
5.5068493151e+00   1.0784852685e-01
5.5342465753e+00   1.0462647514e-01
5.5616438356e+00   1.0122765365e-01
5.5890410959e+00   9.7673410117e-02
5.6164383562e+00   9.3985919624e-02
5.6438356164e+00   9.0187956126e-02
5.6712328767e+00   8.6302658294e-02
5.6986301370e+00   8.2353292888e-02
5.7260273973e+00   7.8363018875e-02
5.7534246575e+00   7.4354655524e-02
5.7808219178e+00   7.0350457647e-02
5.8082191781e+00   6.6371901078e-02
5.8356164384e+00   6.2439481296e-02
5.8630136986e+00   5.8572527911e-02
5.8904109589e+00   5.4789037491e-02
5.9178082192e+00   5.1105526885e-02
5.9452054795e+00   4.7536908919e-02
5.9726027397e+00   4.4096391922e-02
6.0000000000e+00   4.0795404212e-02
6.0273972603e+00   3.7643544204e-02
6.0547945205e+00   3.4648556440e-02
6.0821917808e+00   3.1816333359e-02
6.1095890411e+00   2.9150942260e-02
6.1369863014e+00   2.6654676426e-02
6.1643835616e+00   2.4328129049e-02
6.1917808219e+00   2.2170288166e-02
6.2191780822e+00   2.0178650491e-02
6.2465753425e+00   1.8349351741e-02
6.2739726027e+00   1.6677310748e-02
6.3013698630e+00   1.5156384460e-02
6.3287671233e+00   1.3779530783e-02
6.3561643836e+00   1.2538976067e-02
6.3835616438e+00   1.1426384025e-02
6.4109589041e+00   1.0433022881e-02
6.4383561644e+00   9.5499275977e-03
6.4657534247e+00   8.7680541775e-03
6.4931506849e+00   8.0784232247e-03
6.5205479452e+00   7.4722501848e-03
6.5479452055e+00   6.9410599825e-03
6.5753424658e+00   6.4767841147e-03
6.6027397260e+00   6.0718386348e-03
6.6301369863e+00   5.7191818744e-03
6.6575342466e+00   5.4123511866e-03
6.6849315068e+00   5.1454784479e-03
6.7123287671e+00   4.9132845159e-03
6.7397260274e+00   4.7110533031e-03
6.7671232877e+00   4.5345865758e-03
6.7945205479e+00   4.3801410225e-03
6.8219178082e+00   4.2443495375e-03
6.8493150685e+00   4.1241290393e-03
6.8767123288e+00   4.0165774646e-03
6.9041095890e+00   3.9188628566e-03
6.9315068493e+00   3.8281076825e-03
6.9589041096e+00   3.7412716704e-03
6.9863013699e+00   3.6550365466e-03
7.0136986301e+00   3.5656960697e-03
7.0410958904e+00   3.4690547103e-03
7.0684931507e+00   3.3603382004e-03
7.0958904110e+00   3.2341189801e-03
7.1232876712e+00   3.0842593137e-03
7.1506849315e+00   2.9038745163e-03
7.1780821918e+00   2.6853183503e-03
7.2054794521e+00   2.4201922154e-03
7.2328767123e+00   2.0993792715e-03
7.2602739726e+00   1.7131041190e-03
7.2876712329e+00   1.2510181147e-03
7.3150684932e+00   7.0230984369e-04
7.3424657534e+00   5.5839696156e-05
7.3698630137e+00   -6.9970305580e-04
7.3972602740e+00   -1.5756228365e-03
7.4246575342e+00   -2.5830226677e-03
7.4520547945e+00   -3.7325945373e-03
7.4794520548e+00   -5.0343988113e-03
7.5068493151e+00   -6.4976366285e-03
7.5342465753e+00   -8.1304195249e-03
7.5616438356e+00   -9.9395407545e-03
7.5890410959e+00   -1.1930252923e-02
7.6164383562e+00   -1.4106056605e-02
7.6438356164e+00   -1.6468504583e-02
7.6712328767e+00   -1.9017026228e-02
7.6986301370e+00   -2.1748776321e-02
7.7260273973e+00   -2.4658512305e-02
7.7534246575e+00   -2.7738503587e-02
7.7808219178e+00   -3.0978476010e-02
7.8082191781e+00   -3.4365594087e-02
7.8356164384e+00   -3.7884482982e-02
7.8630136986e+00   -4.1517291535e-02
7.8904109589e+00   -4.5243796953e-02
7.9178082192e+00   -4.9041551011e-02
7.9452054795e+00   -5.2886066885e-02
7.9726027397e+00   -5.6751044950e-02
8.0000000000e+00   -6.0608635127e-02
8.0273972603e+00   -6.4429732665e-02
8.0547945205e+00   -6.8184303522e-02
8.0821917808e+00   -7.1841734883e-02
8.1095890411e+00   -7.5371205814e-02
8.1369863014e+00   -7.8742072524e-02
8.1643835616e+00   -8.1924262334e-02
8.1917808219e+00   -8.4888670148e-02
8.2191780822e+00   -8.7607551027e-02
8.2465753425e+00   -9.0054902389e-02
8.2739726027e+00   -9.2206829401e-02
8.3013698630e+00   -9.4041887288e-02
8.3287671233e+00   -9.5541394548e-02
8.3561643836e+00   -9.6689711475e-02
8.3835616438e+00   -9.7474478872e-02
8.4109589041e+00   -9.7886812462e-02
8.4383561644e+00   -9.7921449190e-02
8.4657534247e+00   -9.7576842398e-02
8.4931506849e+00   -9.6855203700e-02
8.5205479452e+00   -9.5762490297e-02
8.5479452055e+00   -9.4308337408e-02
8.5753424658e+00   -9.2505936453e-02
8.6027397260e+00   -9.0371860602e-02
8.6301369863e+00   -8.7925840233e-02
8.6575342466e+00   -8.5190491775e-02
8.6849315068e+00   -8.2191004269e-02
