X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   -4.0000608228e-05
1.1000000000e-03   -4.4007346774e-04
1.1100000000e-02   -4.4473512796e-03
8.9301368524e-02   -3.6132529862e-02
1.6750273705e-01   -6.8236491549e-02
2.4570410557e-01   -1.0049916546e-01
3.2390547410e-01   -1.3268001077e-01
4.0210684262e-01   -1.6455293336e-01
4.8030821114e-01   -1.9590216470e-01
5.5850957967e-01   -2.2651935825e-01
6.3671094819e-01   -2.5620187846e-01
7.1491231672e-01   -2.8475209041e-01
7.9311368524e-01   -3.1197739647e-01
8.7131505376e-01   -3.3769077791e-01
9.4951642229e-01   -3.6171164684e-01
1.0277177908e+00   -3.8386687023e-01
1.1059191593e+00   -4.0399187680e-01
1.1841205279e+00   -4.2193179290e-01
1.2623218964e+00   -4.3754257577e-01
1.3405232649e+00   -4.5069212391e-01
1.4187246334e+00   -4.6126134866e-01
1.4969260020e+00   -4.6914519157e-01
1.5751273705e+00   -4.7425357075e-01
1.6533287390e+00   -4.7651951198e-01
1.7315301075e+00   -4.7588701276e-01
1.8097314761e+00   -4.7231102830e-01
1.8879328446e+00   -4.6576652737e-01
1.9661342131e+00   -4.5624732681e-01
2.0443355816e+00   -4.4376583115e-01
2.1225369501e+00   -4.2835304029e-01
2.2007383187e+00   -4.1005858433e-01
2.2789396872e+00   -3.8895069694e-01
2.2790396872e+00   -3.8892193916e-01
2.2800396872e+00   -3.8863411607e-01
2.2900396872e+00   -3.8573139406e-01
2.3682410557e+00   -3.6151784633e-01
2.4464424242e+00   -3.3469891715e-01
2.5246437928e+00   -3.0540000268e-01
2.6028451613e+00   -2.7376389683e-01
2.6810465298e+00   -2.3995021853e-01
2.7592478983e+00   -2.0413473440e-01
2.8374492669e+00   -1.6650858106e-01
2.9156506354e+00   -1.2727739294e-01
2.9938520039e+00   -8.6660343102e-02
3.0720533724e+00   -4.4889105397e-02
3.1502547410e+00   -2.2067480283e-03
3.2284561095e+00   4.1133431436e-02
3.3066574780e+00   8.4869119776e-02
3.3848588465e+00   1.2873024287e-01
3.4630602151e+00   1.7243961127e-01
3.5412615836e+00   2.1571425256e-01
3.6194629521e+00   2.5826699431e-01
3.6976643206e+00   2.9980680627e-01
3.7758656891e+00   3.4003934533e-01
3.8540670577e+00   3.7866709377e-01
3.8541670577e+00   3.7871533357e-01
3.8551670577e+00   3.7919756004e-01
3.8651670577e+00   3.8400254224e-01
3.9433684262e+00   4.2042911453e-01
4.0215697947e+00   4.5459961553e-01
4.0997711632e+00   4.8619974313e-01
4.1779725318e+00   5.1490400993e-01
4.2561739003e+00   5.4037038846e-01
4.3343752688e+00   5.6223317405e-01
4.4125766373e+00   5.8009425914e-01
4.4907780059e+00   5.9351376318e-01
4.5689793744e+00   6.0200233675e-01
4.6471807429e+00   6.0501965158e-01
4.7253821114e+00   6.0198659531e-01
4.8035834800e+00   5.9232199903e-01
4.8817848485e+00   5.7551689799e-01
4.9599862170e+00   5.5127493765e-01
5.0381875855e+00   5.1967180799e-01
5.1163889541e+00   4.8128900108e-01
5.1945903226e+00   4.3730825924e-01
5.1946903226e+00   4.3724912362e-01
5.1956903226e+00   4.3665741710e-01
5.2056903226e+00   4.3070614980e-01
5.2838916911e+00   3.8245615616e-01
5.3620930596e+00   3.3263572945e-01
5.4402944282e+00   2.8317205245e-01
5.5184957967e+00   2.3555914987e-01
5.5966971652e+00   1.9068046300e-01
5.6748985337e+00   1.4881603271e-01
5.7530999022e+00   1.0978656014e-01
5.8313012708e+00   7.3153837207e-02
5.9095026393e+00   3.8409951334e-02
5.9877040078e+00   5.0333013255e-03
6.0659053763e+00   -2.7419016459e-02
6.1441067449e+00   -5.9207446058e-02
6.2223081134e+00   -9.0472010735e-02
6.3005094819e+00   -1.2125138109e-01
6.3787108504e+00   -1.5150644479e-01
6.4569122190e+00   -1.8114276299e-01
6.5351135875e+00   -2.1002928511e-01
6.5352135875e+00   -2.1006568029e-01
6.5362135875e+00   -2.1042955083e-01
6.5462135875e+00   -2.1406005331e-01
6.6244149560e+00   -2.4190151824e-01
6.7026163245e+00   -2.6864942566e-01
6.7808176931e+00   -2.9413338856e-01
6.8590190616e+00   -3.1818338312e-01
6.9372204301e+00   -3.4063293872e-01
7.0154217986e+00   -3.6132140818e-01
7.0936231672e+00   -3.8009568813e-01
7.1718245357e+00   -3.9681161649e-01
7.2500259042e+00   -4.1133517636e-01
7.3282272727e+00   -4.2354357420e-01
7.4064286413e+00   -4.3332622496e-01
7.4846300098e+00   -4.4058565717e-01
7.5628313783e+00   -4.4523834148e-01
7.6410327468e+00   -4.4721544096e-01
7.7192341153e+00   -4.4646348023e-01
7.7974354839e+00   -4.4294492895e-01
7.8756368524e+00   -4.3663869595e-01
7.9538382209e+00   -4.2754052979e-01
8.0320395894e+00   -4.1566332226e-01
8.1102409580e+00   -4.0103731169e-01
8.1884423265e+00   -3.8371017990e-01
8.2666436950e+00   -3.6374705626e-01
8.3448450635e+00   -3.4123040328e-01
8.4230464321e+00   -3.1625979516e-01
8.5012478006e+00   -2.8895159672e-01
8.5794491691e+00   -2.5943853692e-01
8.6576505376e+00   -2.2786917922e-01
8.6577505376e+00   -2.2782756184e-01
