X    Y
0.0000000000e+00   nan
7.8201368524e-02   2.7989982120e-02
1.5640273705e-01   1.2038291331e-02
2.3460410557e-01   6.4761807894e-03
3.1280547410e-01   3.6272330347e-03
3.9100684262e-01   1.9593982785e-03
4.6920821114e-01   9.4838199267e-04
5.4740957967e-01   4.0647476973e-04
6.2561094819e-01   4.1457511038e-04
7.0381231672e-01   4.2347622774e-04
7.8201368524e-01   4.3343173614e-04
8.6021505376e-01   6.8490583269e-04
9.3841642229e-01   1.7976570643e-03
1.0166177908e+00   3.7664617738e-03
1.0948191593e+00   6.9309207451e-03
1.1730205279e+00   1.1626688565e-02
1.2512218964e+00   1.8109071546e-02
1.3294232649e+00   2.6468437709e-02
1.4076246334e+00   3.6554889640e-02
1.4858260020e+00   4.7931769905e-02
1.5640273705e+00   5.9874944837e-02
1.6422287390e+00   7.1427345180e-02
1.7204301075e+00   8.1507158584e-02
1.7986314761e+00   8.9055726491e-02
1.8768328446e+00   9.3200548265e-02
1.9550342131e+00   9.3402651971e-02
2.0332355816e+00   8.9557891148e-02
2.1114369501e+00   8.2028977390e-02
2.1896383187e+00   7.1598110266e-02
2.2678396872e+00   5.9346278691e-02
2.3460410557e+00   2.7536732172e-02
2.4242424242e+00   1.0856090981e-02
2.5024437928e+00   4.1908092466e-03
2.5806451613e+00   1.4541606725e-03
2.6588465298e+00   1.1681174215e-03
2.7370478983e+00   1.2346344389e-03
2.8152492669e+00   1.7116448559e-03
2.8934506354e+00   1.9031983436e-03
2.9716520039e+00   2.2532122506e-03
3.0498533724e+00   3.1179850919e-03
3.1280547410e+00   9.1111129327e-03
3.2062561095e+00   2.8916551857e-03
3.2844574780e+00   1.5691196971e-03
3.3626588465e+00   1.7018148733e-03
3.4408602151e+00   1.8057439600e-03
3.5190615836e+00   1.9963185941e-03
3.5972629521e+00   2.2258875130e-03
3.6754643206e+00   3.0999624249e-03
3.7536656891e+00   3.4495274149e-03
3.8318670577e+00   3.8215151566e-03
3.9100684262e+00   4.2108591088e-03
3.9882697947e+00   4.6069898413e-03
4.0664711632e+00   4.9916451506e-03
4.1446725318e+00   5.3344171624e-03
4.2228739003e+00   5.5853752966e-03
4.3010752688e+00   5.6678710769e-03
4.3792766373e+00   5.6437272997e-03
4.4574780059e+00   5.4477061145e-03
4.5356793744e+00   4.9692446296e-03
4.6138807429e+00   4.1509343025e-03
4.6920821114e+00   2.9495341769e-03
4.7702834800e+00   1.7837818076e-03
4.8484848485e+00   1.8395913630e-03
4.9266862170e+00   3.2228612270e-03
5.0048875855e+00   5.3287208341e-03
5.0830889541e+00   7.3659061778e-03
5.1612903226e+00   7.9769939594e-03
5.2394916911e+00   8.2958821173e-03
5.3176930596e+00   7.6868629380e-03
5.3958944282e+00   6.1683653234e-03
5.4740957967e+00   3.8870728232e-03
5.5522971652e+00   3.3197929793e-03
5.6304985337e+00   4.1529790269e-03
5.7086999022e+00   5.3059640150e-03
5.7869012708e+00   8.5056292580e-03
5.8651026393e+00   1.1530910454e-02
5.9433040078e+00   1.5895539197e-02
6.0215053763e+00   3.5245103071e-02
6.0997067449e+00   1.1066279528e-02
6.1779081134e+00   1.1134360698e-02
6.2561094819e+00   1.0336231522e-02
6.3343108504e+00   8.7505876109e-03
6.4125122190e+00   6.7266519885e-03
6.4907135875e+00   4.7461042850e-03
6.5689149560e+00   3.2080029298e-03
6.6471163245e+00   2.2480509480e-03
6.7253176931e+00   1.3190229669e-03
6.8035190616e+00   1.3438052073e-03
6.8817204301e+00   1.4461813964e-03
6.9599217986e+00   2.0150959196e-03
7.0381231672e+00   2.1755707562e-03
7.1163245357e+00   2.3764980300e-03
7.1945259042e+00   2.6389599479e-03
7.2727272727e+00   3.0014216862e-03
7.3509286413e+00   3.5424078389e-03
7.4291300098e+00   4.4511765659e-03
7.5073313783e+00   6.3295457884e-03
7.5855327468e+00   1.2663945224e-02
7.6637341153e+00   5.7298409712e-02
7.7419354839e+00   7.1774324555e-03
7.8201368524e+00   3.3282938220e-03
7.8983382209e+00   1.8989191638e-03
7.9765395894e+00   1.4263318779e-03
8.0547409580e+00   1.4978304824e-03
8.1329423265e+00   1.5756011856e-03
8.2111436950e+00   1.6615913811e-03
8.2893450635e+00   1.7584092842e-03
8.3675464321e+00   1.8696693228e-03
8.4457478006e+00   2.0005699914e-03
8.5239491691e+00   2.1589121871e-03
8.6021505376e+00   2.3570094569e-03
8.6803519062e+00   2.6155598293e-03
8.7585532747e+00   2.9723183405e-03
8.8367546432e+00   3.5043272051e-03
8.9149560117e+00   4.3971493030e-03
8.9931573803e+00   6.2401581310e-03
9.0713587488e+00   1.2437138064e-02
9.1495601173e+00   5.7432148769e-02
9.2277614858e+00   7.0704517270e-03
9.3059628543e+00   3.1668517189e-03
9.3841642229e+00   1.8948544953e-03
9.4623655914e+00   1.2259425089e-03
9.5405669599e+00   9.6167979254e-04
9.6187683284e+00   1.0189965226e-03
9.6969696970e+00   1.0798694438e-03
9.7751710655e+00   1.1723094894e-03
9.8533724340e+00   1.4285695142e-03
9.9315738025e+00   1.6164225726e-03
1.0009775171e+01   2.0010900182e-03
1.0087976540e+01   2.4331570184e-03
