X    Y    Z
0.0000000000e+00   4.0000000000e-01   0.0000000000e+00
-4.0000608228e-05   4.0000799808e-01   4.1654168367e-06
-4.4007346774e-04   4.0008776764e-01   4.5682309480e-05
-4.4473512796e-03   4.0086429882e-01   4.4732996020e-04
-3.6132529862e-02   4.0559094658e-01   2.8394681728e-03
-6.8236491549e-02   4.0787655481e-01   4.1987760261e-03
-1.0049916546e-01   4.0766000635e-01   4.8710024458e-03
-1.3268001077e-01   4.0489891529e-01   5.1142147516e-03
-1.6455293336e-01   3.9956858749e-01   5.1090311785e-03
-1.9590216470e-01   3.9166133039e-01   4.9739528264e-03
-2.2651935825e-01   3.8118602952e-01   4.7816794121e-03
-2.5620187846e-01   3.6816789937e-01   4.5736137381e-03
-2.8475209041e-01   3.5264832442e-01   4.3712323750e-03
-3.1197739647e-01   3.3468472247e-01   4.1841500795e-03
-3.3769077791e-01   3.1435038173e-01   4.0153750166e-03
-3.6171164684e-01   2.9173423924e-01   3.8644983979e-03
-3.8386687023e-01   2.6694058133e-01   3.7295330895e-03
-4.0399187680e-01   2.4008865473e-01   3.6079570367e-03
-4.2193179290e-01   2.1131218309e-01   3.4973311751e-03
-4.3754257577e-01   1.8075878619e-01   3.3957015117e-03
-4.5069212391e-01   1.4858930150e-01   3.3018796987e-03
-4.6126134866e-01   1.1497700891e-01   3.2156252035e-03
-4.6914519157e-01   8.0106760897e-02   3.1377173507e-03
-4.7425357075e-01   4.4174021395e-02   3.0698979556e-03
-4.7651223885e-01   7.3838183046e-03   3.0146763590e-03
-4.7586353566e-01   -3.0050384083e-02   2.9750103969e-03
-4.7226702093e-01   -6.7907885132e-02   2.9539016826e-03
-4.6569997785e-01   -1.0596201167e-01   2.9539647512e-03
-4.5615778293e-01   -1.4398143614e-01   2.9770416508e-03
-4.4365414511e-01   -1.8173153951e-01   3.0239329520e-03
-4.2822122218e-01   -2.1897580967e-01   3.0943019060e-03
-4.0990962723e-01   -2.5547726650e-01   3.1867823131e-03
-3.8878833913e-01   -2.9099990622e-01   3.2992867632e-03
-3.6494834486e-01   -3.2531026771e-01   3.5084559088e-03
-3.3849385995e-01   -3.5817901978e-01   3.6621524272e-03
-3.0954412958e-01   -3.8938192263e-01   3.8057567797e-03
-2.7823804206e-01   -4.1870138903e-01   3.9584370906e-03
-2.4473224522e-01   -4.4592805572e-01   4.1296466199e-03
-2.0919997147e-01   -4.7086226420e-01   4.3254573378e-03
-2.0915331628e-01   -4.7089259941e-01   4.3257257192e-03
-2.0868659915e-01   -4.7119572823e-01   4.3284122164e-03
-2.0400298284e-01   -4.7420460813e-01   4.3555476787e-03
-1.6638841562e-01   -4.9629109827e-01   4.5858610679e-03
-1.2716977702e-01   -5.1569666441e-01   4.8523825576e-03
-8.6566158741e-02   -5.3226114566e-01   5.1617222169e-03
-4.4809159967e-02   -5.4583962315e-01   5.5219451757e-03
-2.1417815433e-03   -5.5630360296e-01   5.9430690186e-03
4.1182727022e-02   -5.6354212857e-01   6.4376693636e-03
8.4902051047e-02   -5.6746281874e-01   7.0216539250e-03
1.2874600357e-01   -5.6799282784e-01   7.7152533497e-03
1.7243770330e-01   -5.6507972782e-01   8.5442564497e-03
2.1569462835e-01   -5.5869231461e-01   9.5440097279e-03
2.5822960249e-01   -5.4882134965e-01   1.0757812068e-02
2.5828340801e-01   -5.4880650028e-01   1.0759524568e-02
2.5882137206e-01   -5.4865769430e-01   1.0776673957e-02
2.6419176713e-01   -5.4713842007e-01   1.0950635226e-02
3.0554628226e-01   -5.3330717392e-01   1.2481356407e-02
3.4555159194e-01   -5.1604958558e-01   1.4374432547e-02
3.8390978035e-01   -4.9542967171e-01   1.6736762105e-02
4.2031920126e-01   -4.7153607951e-01   1.9711198635e-02
4.5447315632e-01   -4.4448281487e-01   2.3488979140e-02
4.8605752366e-01   -4.1441012576e-01   2.8325822994e-02
5.1474705303e-01   -3.8148563690e-01   3.4561909968e-02
5.4020007051e-01   -3.4590585540e-01   4.2644928697e-02
5.6205148007e-01   -3.0789818463e-01   5.3153384952e-02
5.7990373548e-01   -2.6772359556e-01   6.6831147165e-02
5.9331739631e-01   -2.2568010142e-01   8.4558400933e-02
6.0180411373e-01   -1.8210693127e-01   1.0733127524e-01
6.0482518672e-01   -1.3738915795e-01   1.3613602441e-01
6.0180468232e-01   -9.1962000793e-02   1.7170484755e-01
6.0179670262e-01   -9.1903659380e-02   1.7175479619e-01
6.0171630981e-01   -9.1320225173e-02   1.7225490622e-01
6.0085256251e-01   -8.5484094808e-02   1.7731819216e-01
5.9023356278e-01   -3.9846412499e-02   2.2063643937e-01
5.7244458145e-01   5.3944847834e-03   2.6934875842e-01
5.4723031894e-01   4.9655239857e-02   3.2022131355e-01
5.1471727343e-01   9.2337091928e-02   3.6792187761e-01
4.7556352019e-01   1.3286189185e-01   4.0554086218e-01
4.7550967547e-01   1.3291210325e-01   4.0557940927e-01
4.7497074079e-01   1.3341397614e-01   4.0596332783e-01
4.6953331098e-01   1.3840839847e-01   4.0964455393e-01
4.2436494227e-01   1.7584995457e-01   4.2732795513e-01
3.7586018265e-01   2.1017749522e-01   4.2274036376e-01
3.2605082859e-01   2.4115862960e-01   3.9572401590e-01
2.7681510297e-01   2.6871378364e-01   3.5056110879e-01
2.2956692018e-01   2.9289352554e-01   2.9451222135e-01
1.8510387721e-01   3.1383679240e-01   2.3548860049e-01
1.4363562425e-01   3.3172377896e-01   1.8002440936e-01
1.0493722441e-01   3.4673572248e-01   1.3225600191e-01
6.8543675740e-02   3.5902829635e-01   9.3909050602e-02
3.3920494185e-02   3.6871928804e-01   6.4882359012e-02
3.3877135062e-02   3.6873005242e-01   6.4850772156e-02
3.3443658173e-02   3.6883746956e-01   6.4535637779e-02
2.9120137775e-02   3.6988900497e-01   6.1457049857e-02
-4.0713234089e-03   3.7670349532e-01   4.1592913073e-02
-3.6401429174e-02   3.8104518462e-01   2.7994030760e-02
-6.8102907046e-02   3.8293300701e-01   1.9032601422e-02
-9.9290485937e-02   3.8237260613e-01   1.3317259269e-02
-1.2998222801e-01   3.7936462841e-01   9.7658017483e-03
-1.6012358682e-01   3.7391131573e-01   7.5955334308e-03
-1.8960937321e-01   3.6602136675e-01   6.2738596472e-03
-2.1830158762e-01   3.5571329961e-01   5.4573827629e-03
-2.4604280684e-01   3.4301763863e-01   4.9354133407e-03
-2.7266554680e-01   3.2797824163e-01   4.5803278443e-03
-2.9799882491e-01   3.1065303350e-01   4.3242768362e-03
-3.2187267715e-01   2.9111431047e-01   4.1280594120e-03
-3.4412106418e-01   2.6944876660e-01   3.9704657647e-03
-3.4414840464e-01   2.6941974181e-01   3.9702826720e-03
-3.4442164857e-01   2.6912931167e-01   3.9684541761e-03
-3.4713795074e-01   2.6620683081e-01   3.9504089290e-03
-3.6733497387e-01   2.4223681533e-01   3.8228419221e-03
-3.8557350854e-01   2.1637312097e-01   3.7156309764e-03
-4.0171191520e-01   1.8874588998e-01   3.6253304959e-03
-4.1561902423e-01   1.5949807526e-01   3.5498175540e-03
-4.2717518951e-01   1.2878477509e-01   3.4876899362e-03
-4.3627325269e-01   9.6772477858e-02   3.4379711988e-03
-4.4281942855e-01   6.3638222076e-02   3.3999663445e-03
-4.4673411352e-01   2.9568676389e-02   3.3731901179e-03
-4.4795261512e-01   -5.2408555777e-03   3.3573305214e-03
-4.4642579875e-01   -4.0587500315e-02   3.3522301095e-03
-4.4212064760e-01   -7.6261943906e-02   3.3578776245e-03
-4.3502073155e-01   -1.1204961989e-01   3.3744055956e-03
-4.2512658107e-01   -1.4773194909e-01   3.4020935137e-03
-4.1245596282e-01   -1.8308762462e-01   3.4413755729e-03
-3.9704405403e-01   -2.1789393490e-01   3.4928532397e-03
-3.7894351330e-01   -2.5192811724e-01   3.5573131323e-03
-3.5822444633e-01   -2.8496873415e-01   3.6357510247e-03
-3.3497426544e-01   -3.1679706455e-01   3.7294031472e-03
-3.0929744283e-01   -3.4719850165e-01   3.8397863778e-03
-2.8131515809e-01   -3.7596394916e-01   3.9687494559e-03
-2.5116484134e-01   -4.0289120778e-01   4.1185380456e-03
-2.1899961442e-01   -4.2778634335e-01   4.2918773916e-03
-1.8498763326e-01   -4.5046502870e-01   4.4920775073e-03
-1.4931133607e-01   -4.7075385108e-01   4.7231674542e-03
-1.1216660267e-01   -4.8849157741e-01   4.9900674293e-03
-7.3761832151e-02   -5.0353036990e-01   5.2988102792e-03
-3.4316947377e-02   -5.1573694529e-01   5.6568279682e-03
5.9376631805e-03   -5.2499367128e-01   6.0733237790e-03
4.6762253316e-02   -5.3119959486e-01   6.5597581036e-03
4.6814717563e-02   -5.3120554006e-01   6.5604307028e-03
4.7339388934e-02   -5.3126471005e-01   6.5671642556e-03
5.2588885189e-02   -5.3182817425e-01   6.6352627897e-03
9.3760681282e-02   -5.3444942504e-01   7.2193490225e-03
1.3496276764e-01   -5.3386410242e-01   7.9087709523e-03
1.7593345921e-01   -5.3002952461e-01   8.7272781256e-03
2.1640641370e-01   -5.2292315205e-01   9.7051875284e-03
2.5611164316e-01   -5.1254323149e-01   1.0881412042e-02
2.9477639070e-01   -4.9890937551e-01   1.2306129205e-02
3.3212581165e-01   -4.8206308922e-01   1.4044236201e-02
3.6788339034e-01   -4.6206826158e-01   1.6179682787e-02
4.0177102242e-01   -4.3901164428e-01   1.8820623760e-02
4.3350837233e-01   -4.1300335469e-01   2.2115503925e-02
4.6281174985e-01   -3.8417746812e-01   2.6245715164e-02
4.8939263149e-01   -3.5269270664e-01   3.1448577755e-02
4.8942475344e-01   -3.5265081921e-01   3.1456039004e-02
4.8974570135e-01   -3.5223172220e-01   3.1530774635e-02
4.9292789853e-01   -3.4801856976e-01   3.2290588512e-02
5.1603714639e-01   -3.1372438060e-01   3.9090669118e-02
5.3577615902e-01   -2.7719861830e-01   4.7696639119e-02
5.5182105088e-01   -2.3868435453e-01   5.8567062408e-02
5.6382971542e-01   -1.9845472024e-01   7.2221048899e-02
5.7144092537e-01   -1.5681487334e-01   8.9196328934e-02
5.7427847899e-01   -1.1410389264e-01   1.0996312584e-01
5.7196449433e-01   -7.0696046300e-02   1.3477719424e-01
5.6414692238e-01   -2.7000508061e-02   1.6346464022e-01
5.5054593693e-01   1.6541816411e-02   1.9515758574e-01
5.3102048314e-01   5.9465976108e-02   2.2804919698e-01
5.0564845632e-01   1.0129663722e-01   2.5929369925e-01
4.7480244619e-01   1.4156826889e-01   2.8521201902e-01
4.3919180672e-01   1.7985050803e-01   3.0190753457e-01
3.9984004662e-01   2.1577487319e-01   3.0621935153e-01
3.5798199302e-01   2.4905697722e-01   2.9670182670e-01
3.1489638604e-01   2.7950822798e-01   2.7419044761e-01
2.7172095001e-01   3.0703345088e-01   2.4164968866e-01
2.2930779899e-01   3.3161513116e-01   2.0335320025e-01
1.8815899832e-01   3.5328900742e-01   1.6377322295e-01
1.8810729329e-01   3.5331488677e-01   1.6372350195e-01
1.8759037412e-01   3.5357342442e-01   1.6322652262e-01
1.8243430192e-01   3.5613324233e-01   1.5828111431e-01
1.4292493882e-01   3.7456355137e-01   1.2171643148e-01
1.0475207156e-01   3.9022416310e-01   9.0281959850e-02
6.7683691945e-02   4.0316815186e-01   6.4934521964e-02
3.1452016417e-02   4.1342919889e-01   4.5604765914e-02
-4.1793654714e-03   4.2102130179e-01   3.1575960945e-02
-3.9377604470e-02   4.2594260821e-01   2.1833834270e-02
-7.4227175242e-02   4.2818128916e-01   1.5327744486e-02
-1.0873309089e-01   4.2772185248e-01   1.1121936452e-02
-1.4283313989e-01   4.2455090705e-01   8.4684204212e-03
-1.4287644140e-01   4.2454511253e-01   8.4657650591e-03
-1.4330940997e-01   4.2448692280e-01   8.4392998863e-03
-1.4763438455e-01   4.2388057155e-01   8.1833010811e-03
-1.8112952428e-01   4.1760577522e-01   6.6372188790e-03
-2.1393135371e-01   4.0861826380e-01   5.6680987236e-03
-2.4586372144e-01   3.9693673465e-01   5.0439822087e-03
-2.7673810641e-01   3.8259460325e-01   4.6227309051e-03
-3.0636056700e-01   3.6564092152e-01   4.3210304150e-03
-3.3453664642e-01   3.4614084741e-01   4.0917643506e-03
-3.6107483673e-01   3.2417579549e-01   3.9089209388e-03
-3.8578910224e-01   2.9984335688e-01   3.7582515436e-03
-4.0850081612e-01   2.7325704374e-01   3.6316557014e-03
-4.2904035965e-01   2.4454589198e-01   3.5246380751e-03
-4.4724851342e-01   2.1385394000e-01   3.4343096394e-03
-4.6297770403e-01   1.8133959589e-01   3.3587510580e-03
-4.7609315782e-01   1.4717490012e-01   3.2966092033e-03
-4.8647397037e-01   1.1154468904e-01   3.2468964512e-03
-4.9401409558e-01   7.4645664041e-02   3.2088886703e-03
-4.9862325240e-01   3.6685371334e-02   3.1820712331e-03
-5.0022774539e-01   -2.1189024773e-03   3.1661091203e-03
-4.9877119405e-01   -4.1541313351e-02   3.1608263566e-03
-4.9421516558e-01   -8.1348715129e-02   3.1662011654e-03
-4.8653970654e-01   -1.2130198058e-01   3.1823707227e-03
-4.7574376943e-01   -1.6115738108e-01   3.2096282829e-03
-4.6184552944e-01   -2.0066801730e-01   3.2484328576e-03
-4.4488258847e-01   -2.3958529314e-01   3.2994239563e-03
-4.2491206399e-01   -2.7766042428e-01   3.3634424246e-03
-4.0201056063e-01   -3.1464597308e-01   3.4415586231e-03
-3.7627402366e-01   -3.5029740071e-01   3.5351092355e-03
-3.4781747391e-01   -3.8437462753e-01   3.6457468795e-03
-3.1677462511e-01   -4.1664359263e-01   3.7755011522e-03
-2.8329738504e-01   -4.4687780309e-01   3.9268597910e-03
-2.8325308810e-01   -4.4691506854e-01   3.9270684064e-03
-2.8280991488e-01   -4.4728752034e-01   3.9291567740e-03
-2.7835788474e-01   -4.5099167541e-01   3.9502632625e-03
-2.4230898180e-01   -4.7863703970e-01   4.1300613071e-03
-2.0420929848e-01   -5.0379505043e-01   4.3388587772e-03
-1.6426342386e-01   -5.2627280424e-01   4.5814164399e-03
-1.2269092160e-01   -5.4589107696e-01   4.8636355788e-03
-7.9725307744e-02   -5.6248567977e-01   5.1928727770e-03
-3.5612953214e-02   -5.7590875326e-01   5.5783564958e-03
9.3880746236e-03   -5.8602999276e-01   6.0317369238e-03
5.5009214078e-02   -5.9273779993e-01   6.5678025863e-03
1.0097261908e-01   -5.9594035705e-01   7.2058714356e-03
1.4699236342e-01   -5.9556662338e-01   7.9704642232e-03
1.9277560288e-01   -5.9156725301e-01   8.8938340526e-03
1.9283386979e-01   -5.9155980381e-01   8.8951334830e-03
1.9341649059e-01   -5.9148498311e-01   8.9081458136e-03
1.9923774642e-01   -5.9070390317e-01   9.0400926156e-03
2.4438526797e-01   -5.8253282663e-01   1.0197694751e-02
2.8865029394e-01   -5.7070726779e-01   1.1622603872e-02
3.3172397922e-01   -5.5525128618e-01   1.3393841715e-02
3.7329312073e-01   -5.3621383240e-01   1.5618234675e-02
4.1303956251e-01   -5.1366950221e-01   1.8441133853e-02
4.5063867182e-01   -4.8771938388e-01   2.2061236922e-02
4.8575650958e-01   -4.5849208732e-01   2.6751399243e-02
5.1804522910e-01   -4.2614507928e-01   3.2885373194e-02
5.1808455246e-01   -4.2610179526e-01   3.2894342222e-02
5.1847749850e-01   -4.2566869125e-01   3.2984207200e-02
5.2237804163e-01   -4.2131135761e-01   3.3900580318e-02
5.5098357506e-01   -3.8563378180e-01   4.2317556820e-02
5.7593211041e-01   -3.4728018478e-01   5.3494375505e-02
5.9677303334e-01   -3.0651397246e-01   6.8382908663e-02
6.1299320047e-01   -2.6364056042e-01   8.8201899896e-02
6.2399944818e-01   -2.1901365822e-01   1.1443006218e-01
6.2910548647e-01   -1.7304290860e-01   1.4870325401e-01
6.2753386210e-01   -1.2620218027e-01   1.9253160006e-01
6.1845103424e-01   -7.9036680429e-02   2.4673590308e-01
6.0106000330e-01   -3.2165321207e-02   3.1054970194e-01
5.7477304720e-01   1.3727217378e-02   3.8050901048e-01
5.3946429066e-01   5.7915441258e-02   4.4960331299e-01
4.9574877076e-01   9.9679917802e-02   5.0753420742e-01
4.4516594688e-01   1.3837412022e-01   5.4286538332e-01
3.9011699699e-01   1.7349799657e-01   5.4686164561e-01
3.3348401037e-01   2.0475521068e-01   5.1724521582e-01
2.7803634462e-01   2.3207159239e-01   4.5946022862e-01
2.7796719420e-01   2.3210403432e-01   4.5937266019e-01
2.7727599379e-01   2.3242810909e-01   4.5849542655e-01
2.7039506157e-01   2.3563448974e-01   4.4957362329e-01
2.1881654340e-01   2.5860546981e-01   3.7318605939e-01
1.7175456354e-01   2.7804742218e-01   2.9358531801e-01
1.2932795476e-01   2.9427041614e-01   2.2027583007e-01
9.1045799619e-02   3.0757268374e-01   1.5867391530e-01
