X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   4.1654168367e-06
1.1000000000e-03   4.5682309480e-05
1.1100000000e-02   4.4732996020e-04
8.9301368524e-02   2.8394681728e-03
1.6750273705e-01   4.1987760261e-03
2.4570410557e-01   4.8710024458e-03
3.2390547410e-01   5.1142147516e-03
4.0210684262e-01   5.1090311785e-03
4.8030821114e-01   4.9739528264e-03
5.5850957967e-01   4.7816794121e-03
6.3671094819e-01   4.5736137381e-03
7.1491231672e-01   4.3712323750e-03
7.9311368524e-01   4.1841500795e-03
8.7131505376e-01   4.0153750166e-03
9.4951642229e-01   3.8644983979e-03
1.0277177908e+00   3.7295330895e-03
1.1059191593e+00   3.6079570367e-03
1.1841205279e+00   3.4973311751e-03
1.2623218964e+00   3.3957015117e-03
1.3405232649e+00   3.3018796987e-03
1.4187246334e+00   3.2156252035e-03
1.4969260020e+00   3.1377173507e-03
1.5751273705e+00   3.0698979556e-03
1.6533287390e+00   3.0146763590e-03
1.7315301075e+00   2.9750103969e-03
1.8097314761e+00   2.9539016826e-03
1.8879328446e+00   2.9539647512e-03
1.9661342131e+00   2.9770416508e-03
2.0443355816e+00   3.0239329520e-03
2.1225369501e+00   3.0943019060e-03
2.2007383187e+00   3.1867823131e-03
2.2789396872e+00   3.2992867632e-03
2.3571410557e+00   3.5084559088e-03
2.4353424242e+00   3.6621524272e-03
2.5135437928e+00   3.8057567797e-03
2.5917451613e+00   3.9584370906e-03
2.6699465298e+00   4.1296466199e-03
2.7481478983e+00   4.3254573378e-03
2.7482478983e+00   4.3257257192e-03
2.7492478983e+00   4.3284122164e-03
2.7592478983e+00   4.3555476787e-03
2.8374492669e+00   4.5858610679e-03
2.9156506354e+00   4.8523825576e-03
2.9938520039e+00   5.1617222169e-03
3.0720533724e+00   5.5219451757e-03
3.1502547410e+00   5.9430690186e-03
3.2284561095e+00   6.4376693636e-03
3.3066574780e+00   7.0216539250e-03
3.3848588465e+00   7.7152533497e-03
3.4630602151e+00   8.5442564497e-03
3.5412615836e+00   9.5440097279e-03
3.6194629521e+00   1.0757812068e-02
3.6195629521e+00   1.0759524568e-02
3.6205629521e+00   1.0776673957e-02
3.6305629521e+00   1.0950635226e-02
3.7087643206e+00   1.2481356407e-02
3.7869656891e+00   1.4374432547e-02
3.8651670577e+00   1.6736762105e-02
3.9433684262e+00   1.9711198635e-02
4.0215697947e+00   2.3488979140e-02
4.0997711632e+00   2.8325822994e-02
4.1779725318e+00   3.4561909968e-02
4.2561739003e+00   4.2644928697e-02
4.3343752688e+00   5.3153384952e-02
4.4125766373e+00   6.6831147165e-02
4.4907780059e+00   8.4558400933e-02
4.5689793744e+00   1.0733127524e-01
4.6471807429e+00   1.3613602441e-01
4.7253821114e+00   1.7170484755e-01
4.7254821114e+00   1.7175479619e-01
4.7264821114e+00   1.7225490622e-01
4.7364821114e+00   1.7731819216e-01
4.8146834800e+00   2.2063643937e-01
4.8928848485e+00   2.6934875842e-01
4.9710862170e+00   3.2022131355e-01
5.0492875855e+00   3.6792187761e-01
5.1274889541e+00   4.0554086218e-01
5.1275889541e+00   4.0557940927e-01
5.1285889541e+00   4.0596332783e-01
5.1385889541e+00   4.0964455393e-01
5.2167903226e+00   4.2732795513e-01
5.2949916911e+00   4.2274036376e-01
5.3731930596e+00   3.9572401590e-01
5.4513944282e+00   3.5056110879e-01
5.5295957967e+00   2.9451222135e-01
5.6077971652e+00   2.3548860049e-01
5.6859985337e+00   1.8002440936e-01
5.7641999022e+00   1.3225600191e-01
5.8424012708e+00   9.3909050602e-02
5.9206026393e+00   6.4882359012e-02
5.9207026393e+00   6.4850772156e-02
5.9217026393e+00   6.4535637779e-02
5.9317026393e+00   6.1457049857e-02
6.0099040078e+00   4.1592913073e-02
6.0881053763e+00   2.7994030760e-02
6.1663067449e+00   1.9032601422e-02
6.2445081134e+00   1.3317259269e-02
6.3227094819e+00   9.7658017483e-03
6.4009108504e+00   7.5955334308e-03
6.4791122190e+00   6.2738596472e-03
6.5573135875e+00   5.4573827629e-03
6.6355149560e+00   4.9354133407e-03
6.7137163245e+00   4.5803278443e-03
6.7919176931e+00   4.3242768362e-03
6.8701190616e+00   4.1280594120e-03
6.9483204301e+00   3.9704657647e-03
6.9484204301e+00   3.9702826720e-03
6.9494204301e+00   3.9684541761e-03
6.9594204301e+00   3.9504089290e-03
7.0376217986e+00   3.8228419221e-03
7.1158231672e+00   3.7156309764e-03
7.1940245357e+00   3.6253304959e-03
7.2722259042e+00   3.5498175540e-03
7.3504272727e+00   3.4876899362e-03
7.4286286413e+00   3.4379711988e-03
7.5068300098e+00   3.3999663445e-03
7.5850313783e+00   3.3731901179e-03
7.6632327468e+00   3.3573305214e-03
7.7414341153e+00   3.3522301095e-03
7.8196354839e+00   3.3578776245e-03
7.8978368524e+00   3.3744055956e-03
7.9760382209e+00   3.4020935137e-03
8.0542395894e+00   3.4413755729e-03
8.1324409580e+00   3.4928532397e-03
8.2106423265e+00   3.5573131323e-03
8.2888436950e+00   3.6357510247e-03
8.3670450635e+00   3.7294031472e-03
8.4452464321e+00   3.8397863778e-03
8.5234478006e+00   3.9687494559e-03
8.6016491691e+00   4.1185380456e-03
8.6798505376e+00   4.2918773916e-03
8.7580519062e+00   4.4920775073e-03
