X    Y
0.0000000000e+00   4.0000000000e-01
1.0000000000e-04   4.0000799808e-01
1.1000000000e-03   4.0008776764e-01
1.1100000000e-02   4.0086429882e-01
8.9301368524e-02   4.0559094658e-01
1.6750273705e-01   4.0787655481e-01
2.4570410557e-01   4.0766000635e-01
3.2390547410e-01   4.0489891529e-01
4.0210684262e-01   3.9956858749e-01
4.8030821114e-01   3.9166133039e-01
5.5850957967e-01   3.8118602952e-01
6.3671094819e-01   3.6816789937e-01
7.1491231672e-01   3.5264832442e-01
7.9311368524e-01   3.3468472247e-01
8.7131505376e-01   3.1435038173e-01
9.4951642229e-01   2.9173423924e-01
1.0277177908e+00   2.6694056808e-01
1.1059191593e+00   2.4008854932e-01
1.1841205279e+00   2.1131181978e-01
1.2623218964e+00   1.8075788958e-01
1.3405232649e+00   1.4858745555e-01
1.4187246334e+00   1.1497362400e-01
1.4969260020e+00   8.0101044833e-02
1.5751273705e+00   4.4164960005e-02
1.6533287390e+00   7.3701709555e-03
1.7315301075e+00   -3.0070070182e-02
1.8097314761e+00   -6.7935239809e-02
1.8879328446e+00   -1.0599878641e-01
1.8880328446e+00   -1.0604748882e-01
1.8890328446e+00   -1.0653450984e-01
1.8990328446e+00   -1.1140431667e-01
1.9772342131e+00   -1.4941133579e-01
2.0554355816e+00   -1.8711730058e-01
2.1336369501e+00   -2.2428541206e-01
2.2118383187e+00   -2.6067852639e-01
2.2900396872e+00   -2.9606061522e-01
2.3682410557e+00   -3.3019824357e-01
2.4464424242e+00   -3.6286205650e-01
2.5246437928e+00   -3.9382826589e-01
2.6028451613e+00   -4.2288012852e-01
2.6810465298e+00   -4.4980940658e-01
2.7592478983e+00   -4.7441780205e-01
2.8374492669e+00   -4.9651835629e-01
2.9156506354e+00   -5.1593680659e-01
2.9938520039e+00   -5.3251289201e-01
3.0720533724e+00   -5.4610160107e-01
3.1502547410e+00   -5.5657435481e-01
3.2284561095e+00   -5.6382011974e-01
3.2285561095e+00   -5.6382727784e-01
3.2295561095e+00   -5.6389856013e-01
3.2395561095e+00   -5.6458147580e-01
3.3177574780e+00   -5.6803026405e-01
3.3959588465e+00   -5.6807799724e-01
3.4741602151e+00   -5.6467516624e-01
3.5523615836e+00   -5.5779360671e-01
3.6305629521e+00   -5.4742722764e-01
3.7087643206e+00   -5.3359268283e-01
3.7869656891e+00   -5.1633000327e-01
3.8651670577e+00   -4.9570321791e-01
3.9433684262e+00   -4.7180100181e-01
3.9434684262e+00   -4.7176838589e-01
3.9444684262e+00   -4.7144194227e-01
3.9544684262e+00   -4.6814911451e-01
4.0326697947e+00   -4.4064753920e-01
4.1108711632e+00   -4.1014700581e-01
4.1890725318e+00   -3.7681923315e-01
4.2672739003e+00   -3.4086511040e-01
4.3454752688e+00   -3.0251681346e-01
