X    Y
0.0000000000e+00   0.0000000000e+00
7.8163165608e-03   0.0000000000e+00
1.5632633122e-02   1.3879486250e-16
2.3448949682e-02   1.3881612663e-16
3.1265266243e-02   1.3884593880e-16
3.9081582804e-02   1.3888432747e-16
4.6897899365e-02   1.3893132381e-16
5.4714215926e-02   1.3898696179e-16
6.2530532487e-02   1.3905127816e-16
7.0346849047e-02   1.3912431251e-16
7.8163165608e-02   1.3920610729e-16
8.5979482169e-02   1.3929670789e-16
9.3795798730e-02   1.3939616265e-16
1.0161211529e-01   1.3950452289e-16
1.0942843185e-01   0.0000000000e+00
1.1724474841e-01   0.0000000000e+00
1.2506106497e-01   1.3988359601e-16
1.3287738153e-01   2.8005630678e-16
1.4069369809e-01   4.2054575933e-16
1.4851001466e-01   5.6137986254e-16
1.5632633122e-01   7.0258682416e-16
1.6414264778e-01   8.4419516825e-16
1.7195896434e-01   9.8623375299e-16
1.7977528090e-01   1.2698232627e-15
1.8759159746e-01   1.4130209539e-15
1.9540791402e-01   1.6982699207e-15
2.0322423058e-01   2.1262914523e-15
2.1104054714e-01   2.5558740991e-15
2.1885686370e-01   3.1293531130e-15
2.2667318026e-01   3.7050994491e-15
2.3448949682e-01   4.5687879281e-15
2.4230581339e-01   5.4361216677e-15
2.5012212995e-01   6.5939885859e-15
2.5793844651e-01   7.7570990455e-15
2.6575476307e-01   9.0696801500e-15
2.7357107963e-01   1.0532972705e-14
2.8138739619e-01   1.2148288635e-14
2.8920371275e-01   1.4061981535e-14
2.9702002931e-01   1.6276583941e-14
3.0483634587e-01   1.8649077970e-14
3.1265266243e-01   2.1327224725e-14
3.2046897899e-01   2.4313968565e-14
3.2828529555e-01   2.7759284427e-14
3.3610161212e-01   3.1520392431e-14
3.4391792868e-01   3.5453033830e-14
3.5173424524e-01   3.9707677621e-14
3.5955056180e-01   4.4436709852e-14
3.6736687836e-01   4.9496395422e-14
3.7518319492e-01   5.5040471649e-14
3.8299951148e-01   6.1074783048e-14
3.9081582804e-01   6.7304314531e-14
3.9863214460e-01   7.4034525818e-14
4.0644846116e-01   8.1272037420e-14
4.1426477772e-01   8.8871595567e-14
4.2208109428e-01   9.6991483960e-14
4.2989741085e-01   1.0548589503e-13
4.3771372741e-01   1.1451480865e-13
4.4553004397e-01   1.2377731343e-13
4.5334636053e-01   1.3358846066e-13
4.6116267709e-01   1.4364542621e-13
4.6897899365e-01   1.5395340469e-13
4.7679531021e-01   1.6467491356e-13
4.8461162677e-01   1.7565978885e-13
4.9242794333e-01   1.8691387120e-13
5.0024425989e-01   1.9828395231e-13
5.0806057645e-01   2.0961406177e-13
5.1587689301e-01   2.2106684162e-13
5.2369320957e-01   2.3232340295e-13
5.3150952614e-01   2.4338328576e-13
5.3932584270e-01   2.5424592768e-13
5.4714215926e-01   2.6474662973e-13
5.5495847582e-01   2.7471712497e-13
5.6277479238e-01   2.8398536153e-13
5.7059110894e-01   2.9254196557e-13
5.7840742550e-01   3.0004179181e-13
5.8622374206e-01   3.0646866582e-13
5.9404005862e-01   3.1163600619e-13
6.0185637518e-01   3.1535233571e-13
6.0967269174e-01   3.1724941684e-13
6.1748900830e-01   3.1729458479e-13
6.2530532487e-01   3.1510611320e-13
6.3312164143e-01   3.1064134613e-13
6.4093795799e-01   3.0350361178e-13
6.4875427455e-01   2.9346183560e-13
6.5657059111e-01   2.8009921380e-13
6.6438690767e-01   2.6334522968e-13
6.7220322423e-01   2.4276434349e-13
6.8001954079e-01   2.1772505007e-13
6.8783585735e-01   1.8830926742e-13
6.9565217391e-01   1.5404512848e-13
7.0346849047e-01   1.1444460089e-13
7.1128480703e-01   6.9190018060e-14
7.1910112360e-01   1.7951354080e-14
7.2691744016e-01   3.9995409637e-14
7.3473375672e-01   1.0482444407e-13
7.4255007328e-01   1.7710591235e-13
7.5036638984e-01   2.5723708024e-13
7.5818270640e-01   3.4563224425e-13
7.6599902296e-01   4.4272376479e-13
7.7381533952e-01   5.4896317152e-13
7.8163165608e-01   6.6502442045e-13
7.8944797264e-01   7.9140654855e-13
7.9726428920e-01   9.2842606657e-13
8.0508060576e-01   1.0768319821e-12
8.1289692233e-01   1.2371975765e-12
8.2071323889e-01   1.4097005349e-12
8.2852955545e-01   1.5951733187e-12
8.3634587201e-01   1.7942721260e-12
8.4416218857e-01   2.0072500290e-12
8.5197850513e-01   2.2348188708e-12
8.5979482169e-01   2.4773934416e-12
8.6761113825e-01   2.7356394836e-12
8.7542745481e-01   3.0101459773e-12
8.8324377137e-01   3.3013059517e-12
8.9106008793e-01   3.6097721598e-12
8.9887640449e-01   3.9360005698e-12
9.0669272106e-01   4.2805973672e-12
9.1450903762e-01   4.6438447553e-12
9.2232535418e-01   5.0264158094e-12
9.3014167074e-01   5.4287795202e-12
9.3795798730e-01   5.8514392556e-12
9.4577430386e-01   6.2948080287e-12
9.5359062042e-01   6.7593317500e-12
9.6140693698e-01   7.2453608962e-12
9.6922325354e-01   7.7532767358e-12
9.7703957010e-01   8.2834937453e-12
9.8485588666e-01   8.8363256253e-12
9.9267220322e-01   9.4121166259e-12
1.0004885198e+00   1.0010962305e-11
1.0083048363e+00   1.0633119304e-11
1.0161211529e+00   1.1278872870e-11
1.0239374695e+00   1.1948391462e-11
1.0317537860e+00   1.2641716955e-11
1.0395701026e+00   1.3358906552e-11
1.0473864191e+00   1.4100033972e-11
1.0552027357e+00   1.4865032313e-11
1.0630190523e+00   1.5653842223e-11
1.0708353688e+00   1.6466083338e-11
1.0786516854e+00   1.7301693390e-11
1.0864680020e+00   1.8160446232e-11
1.0942843185e+00   1.9041760076e-11
1.1021006351e+00   1.9945194220e-11
1.1099169516e+00   2.0870099148e-11
1.1177332682e+00   2.1815964857e-11
1.1255495848e+00   2.2782054893e-11
1.1333659013e+00   2.3767573722e-11
1.1411822179e+00   2.4771259069e-11
1.1489985344e+00   2.5792140974e-11
1.1568148510e+00   2.6828737895e-11
1.1646311676e+00   2.7879849272e-11
1.1724474841e+00   2.8943706260e-11
1.1802638007e+00   3.0018230966e-11
1.1880801172e+00   3.1101457296e-11
1.1958964338e+00   3.2190820563e-11
1.2037127504e+00   3.3283683183e-11
1.2115290669e+00   3.4376933376e-11
1.2193453835e+00   3.5467166959e-11
1.2271617000e+00   3.6550218671e-11
1.2349780166e+00   3.7621445751e-11
1.2427943332e+00   3.8675334605e-11
1.2506106497e+00   3.9706090036e-11
1.2584269663e+00   4.0706285605e-11
1.2662432829e+00   4.1667670170e-11
1.2740595994e+00   4.2580092564e-11
1.2818759160e+00   4.3431580975e-11
1.2896922325e+00   4.4208249069e-11
1.2975085491e+00   4.4892543656e-11
1.3053248657e+00   4.5463463627e-11
1.3131411822e+00   4.5894459451e-11
1.3209574988e+00   4.6152445648e-11
1.3287738153e+00   4.6194960794e-11
1.3365901319e+00   4.5966728069e-11
1.3444064485e+00   4.5394359267e-11
1.3522227650e+00   4.4378524936e-11
1.3600390816e+00   4.2780573864e-11
1.3678553981e+00   4.0401336000e-11
1.3756717147e+00   3.6943559308e-11
1.3834880313e+00   3.1943009031e-11
1.3913043478e+00   2.4631405065e-11
1.3991206644e+00   1.3639503389e-11
1.4069369809e+00   3.7362426351e-12
1.4147532975e+00   3.3681385506e-11
1.4225696141e+00   9.4135380584e-11
1.4303859306e+00   2.6798192162e-10
1.4382022472e+00   3.7989583728e-09
1.4460185638e+00   5.6451741598e-10
1.4538348803e+00   3.2540125251e-10
1.4616511969e+00   2.5304777464e-10
1.4694675134e+00   2.1902829321e-10
1.4772838300e+00   1.9985869537e-10
1.4851001466e+00   1.8798940973e-10
1.4929164631e+00   1.8025032619e-10
1.5007327797e+00   1.7507766559e-10
1.5085490962e+00   1.7161100112e-10
1.5163654128e+00   1.6933785497e-10
1.5241817294e+00   1.6793401751e-10
1.5319980459e+00   1.6718441109e-10
1.5398143625e+00   1.6694098093e-10
1.5476306790e+00   1.6709845016e-10
1.5554469956e+00   1.6757996032e-10
