X    Y
0.0000000000e+00   nan
7.8163165608e-03   1.3337874955e-04
1.5632633122e-02   6.4917662303e-05
2.3448949682e-02   4.2096178618e-05
3.1265266243e-02   3.0684598138e-05
3.9081582804e-02   2.3836980541e-05
4.6897899365e-02   1.9271345508e-05
5.4714215926e-02   1.6009701292e-05
6.2530532487e-02   1.3563051858e-05
7.0346849047e-02   1.1659732601e-05
7.8163165608e-02   1.0136744625e-05
8.5979482169e-02   8.8903612443e-06
9.3795798730e-02   7.8514312234e-06
1.0161211529e-01   6.9720805297e-06
1.0942843185e-01   6.2181133308e-06
1.1724474841e-01   5.5644525940e-06
1.2506106497e-01   4.9922904613e-06
1.3287738153e-01   4.4872443743e-06
1.4069369809e-01   4.0381278237e-06
1.4851001466e-01   3.8557318811e-06
1.5632633122e-01   3.8647067876e-06
1.6414264778e-01   3.8737272716e-06
1.7195896434e-01   3.8827948795e-06
1.7977528090e-01   3.8919111840e-06
1.8759159746e-01   3.9010777846e-06
1.9540791402e-01   3.9102963086e-06
2.0322423058e-01   3.9195684123e-06
2.1104054714e-01   3.9288957825e-06
2.1885686370e-01   3.9382801367e-06
2.2667318026e-01   3.9477232250e-06
2.3448949682e-01   3.9572268309e-06
2.4230581339e-01   3.9667927729e-06
2.5012212995e-01   3.9764229058e-06
2.5793844651e-01   3.9861191217e-06
2.6575476307e-01   3.9958833512e-06
2.7357107963e-01   4.0057175661e-06
2.8138739619e-01   4.0156237794e-06
2.8920371275e-01   4.0256040475e-06
2.9702002931e-01   4.0356604721e-06
3.0483634587e-01   4.0457952017e-06
3.1265266243e-01   4.0560104327e-06
3.2046897899e-01   4.0663084125e-06
3.2828529555e-01   4.0766914404e-06
3.3610161212e-01   4.0871618697e-06
3.4391792868e-01   4.0977221105e-06
3.5173424524e-01   4.1083746309e-06
3.5955056180e-01   4.1191219596e-06
3.6736687836e-01   4.1299666886e-06
3.7518319492e-01   4.1409114751e-06
3.8299951148e-01   4.1519590443e-06
3.9081582804e-01   4.1631121922e-06
3.9863214460e-01   4.1743737879e-06
4.0644846116e-01   4.1857467774e-06
4.1426477772e-01   4.1972341851e-06
4.2208109428e-01   4.2088391186e-06
4.2989741085e-01   4.2205647713e-06
4.3771372741e-01   4.2324144258e-06
4.4553004397e-01   4.2443914572e-06
4.5334636053e-01   4.2564993377e-06
4.6116267709e-01   4.2687416404e-06
4.6897899365e-01   4.2811220427e-06
4.7679531021e-01   4.2936443318e-06
4.8461162677e-01   4.3063124083e-06
4.9242794333e-01   4.3191302914e-06
5.0024425989e-01   4.3321021245e-06
5.0806057645e-01   4.3452321796e-06
5.1587689301e-01   4.3585248629e-06
5.2369320957e-01   4.3719847222e-06
5.3150952614e-01   4.3856164504e-06
5.3932584270e-01   4.3994248944e-06
