X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   -2.0000287969e-05
1.1000000000e-03   -2.2003480731e-04
8.9163165608e-03   -1.7855312385e-03
1.6732633122e-02   -3.3544465576e-03
2.4548949682e-02   -4.9266925982e-03
3.2365266243e-02   -6.5021808463e-03
4.0181582804e-02   -8.0808224449e-03
4.7997899365e-02   -9.6625281991e-03
5.5814215926e-02   -1.1247208581e-02
6.3630532487e-02   -1.2834773735e-02
7.1446849047e-02   -1.4425133482e-02
7.9263165608e-02   -1.6018197325e-02
8.7079482169e-02   -1.7613874453e-02
9.4895798730e-02   -1.9212073749e-02
1.0271211529e-01   -2.0812703791e-02
1.1052843185e-01   -2.2415672858e-02
1.1834474841e-01   -2.4020888937e-02
1.2616106497e-01   -2.5628259726e-02
1.3397738153e-01   -2.7237692640e-02
1.4179369809e-01   -2.8849094813e-02
1.4961001466e-01   -3.0462373108e-02
1.5742633122e-01   -3.2077434118e-02
1.6524264778e-01   -3.3694184171e-02
1.7305896434e-01   -3.5312529337e-02
1.8087528090e-01   -3.6932375433e-02
1.8869159746e-01   -3.8553628023e-02
1.9650791402e-01   -4.0176192429e-02
2.0432423058e-01   -4.1799973733e-02
2.1214054714e-01   -4.3424876782e-02
2.1995686370e-01   -4.5050806193e-02
2.2777318026e-01   -4.6677666356e-02
2.3558949682e-01   -4.8305361443e-02
2.4340581339e-01   -4.9933795409e-02
2.5122212995e-01   -5.1562871998e-02
2.5903844651e-01   -5.3192494747e-02
2.6685476307e-01   -5.4822566995e-02
2.7467107963e-01   -5.6452991880e-02
2.8248739619e-01   -5.8083672350e-02
2.9030371275e-01   -5.9714511165e-02
2.9812002931e-01   -6.1345410905e-02
3.0593634587e-01   -6.2976273968e-02
3.1375266243e-01   -6.4607002581e-02
3.2156897899e-01   -6.6237498803e-02
3.2938529555e-01   -6.7867664528e-02
3.3720161212e-01   -6.9497401491e-02
3.4501792868e-01   -7.1126611271e-02
3.5283424524e-01   -7.2755195299e-02
3.6065056180e-01   -7.4383054860e-02
3.6846687836e-01   -7.6010091097e-02
3.7628319492e-01   -7.7636205017e-02
3.8409951148e-01   -7.9261297496e-02
3.9191582804e-01   -8.0885269282e-02
