X    Y
2.0000000000e-01   0.0000000000e+00
1.9999999900e-01   -2.0000287969e-05
1.9999987899e-01   -2.2003480731e-04
1.9999204317e-01   -1.7855312385e-03
1.9997195752e-01   -3.3544465576e-03
1.9993959566e-01   -4.9266925982e-03
1.9989493190e-01   -6.5021808463e-03
1.9983794124e-01   -8.0808224449e-03
1.9976859938e-01   -9.6625281991e-03
1.9968688273e-01   -1.1247208581e-02
1.9959276838e-01   -1.2834773735e-02
1.9948623414e-01   -1.4425133482e-02
1.9936725852e-01   -1.6018197325e-02
1.9923582073e-01   -1.7613874453e-02
1.9909190071e-01   -1.9212073749e-02
1.9893547910e-01   -2.0812703791e-02
1.9876653725e-01   -2.2415672858e-02
1.9858505725e-01   -2.4020888937e-02
1.9839102189e-01   -2.5628259726e-02
1.9818441470e-01   -2.7237692640e-02
1.9796521991e-01   -2.8849094813e-02
1.9773342249e-01   -3.0462373108e-02
1.9748900816e-01   -3.2077434118e-02
1.9723196333e-01   -3.3694184171e-02
1.9696227518e-01   -3.5312529337e-02
1.9667993161e-01   -3.6932375433e-02
1.9638492124e-01   -3.8553628023e-02
1.9607723347e-01   -4.0176192429e-02
1.9575685840e-01   -4.1799973733e-02
1.9542378689e-01   -4.3424876782e-02
1.9507801056e-01   -4.5050806193e-02
1.9471952174e-01   -4.6677666356e-02
1.9434831355e-01   -4.8305361443e-02
1.9396437982e-01   -4.9933795409e-02
1.9356771517e-01   -5.1562871998e-02
1.9315831494e-01   -5.3192494747e-02
1.9273617524e-01   -5.4822566995e-02
1.9230129294e-01   -5.6452991880e-02
1.9185366567e-01   -5.8083672350e-02
1.9139329179e-01   -5.9714511165e-02
1.9092017046e-01   -6.1345410905e-02
1.9043430158e-01   -6.2976273968e-02
1.8993568583e-01   -6.4607002581e-02
1.8942432462e-01   -6.6237498803e-02
1.8890022017e-01   -6.7867664528e-02
1.8836337544e-01   -6.9497401491e-02
1.8781379416e-01   -7.1126611271e-02
1.8725148085e-01   -7.2755195299e-02
1.8667644077e-01   -7.4383054860e-02
1.8608867999e-01   -7.6010091097e-02
1.8548820531e-01   -7.7636205017e-02
1.8487502434e-01   -7.9261297496e-02
1.8424914544e-01   -8.0885269282e-02
1.8361057778e-01   -8.2508021001e-02
1.8295933126e-01   -8.4129453159e-02
1.8229541660e-01   -8.5749466150e-02
1.8161884527e-01   -8.7367960258e-02
1.8092962955e-01   -8.8984835663e-02
1.8022778246e-01   -9.0599992443e-02
1.7951331784e-01   -9.2213330583e-02
1.7878625030e-01   -9.3824749973e-02
1.7804659521e-01   -9.5434150419e-02
1.7729436876e-01   -9.7041431644e-02
1.7652958789e-01   -9.8646493290e-02
1.7575227036e-01   -1.0024923493e-01
1.7496243469e-01   -1.0184955606e-01
1.7416010019e-01   -1.0344735613e-01
1.7334528695e-01   -1.0504253450e-01
1.7251801588e-01   -1.0663499050e-01
1.7167830863e-01   -1.0822462339e-01
1.7082618766e-01   -1.0981133239e-01
1.6996167623e-01   -1.1139501669e-01
1.6908479838e-01   -1.1297557541e-01
1.6819557892e-01   -1.1455290767e-01
1.6729404347e-01   -1.1612691254e-01
1.6638021843e-01   -1.1769748906e-01
1.6545413100e-01   -1.1926453627e-01
1.6451580915e-01   -1.2082795317e-01
1.6356528166e-01   -1.2238763876e-01
1.6260257808e-01   -1.2394349203e-01
1.6162772877e-01   -1.2549541196e-01
1.6064076486e-01   -1.2704329754e-01
1.5964171828e-01   -1.2858704776e-01
1.5863062175e-01   -1.3012656161e-01
1.5760750878e-01   -1.3166173811e-01
1.5657241367e-01   -1.3319247628e-01
1.5552537149e-01   -1.3471867518e-01
1.5446641813e-01   -1.3624023388e-01
1.5339559025e-01   -1.3775705149e-01
1.5231292530e-01   -1.3926902716e-01
1.5121846153e-01   -1.4077606006e-01
1.5011223795e-01   -1.4227804941e-01
1.4899429438e-01   -1.4377489450e-01
1.4786467143e-01   -1.4526649465e-01
1.4672341049e-01   -1.4675274923e-01
1.4557055373e-01   -1.4823355770e-01
1.4440614412e-01   -1.4970881955e-01
1.4323022540e-01   -1.5117843438e-01
1.4204284209e-01   -1.5264230182e-01
1.4084403953e-01   -1.5410032162e-01
1.3963386380e-01   -1.5555239358e-01
1.3841236179e-01   -1.5699841761e-01
1.3717958115e-01   -1.5843829371e-01
1.3593557035e-01   -1.5987192196e-01
1.3468037859e-01   -1.6129920255e-01
1.3341405589e-01   -1.6272003580e-01
1.3213665303e-01   -1.6413432209e-01
1.3084822157e-01   -1.6554196196e-01
1.2954881384e-01   -1.6694285605e-01
1.2823848298e-01   -1.6833690513e-01
1.2691728286e-01   -1.6972401009e-01
1.2558526815e-01   -1.7110407196e-01
1.2424249428e-01   -1.7247699190e-01
1.2288901748e-01   -1.7384267123e-01
1.2152489471e-01   -1.7520101141e-01
1.2015018372e-01   -1.7655191403e-01
1.1876494304e-01   -1.7789528088e-01
1.1736923195e-01   -1.7923101388e-01
1.1596311050e-01   -1.8055901511e-01
1.1454663951e-01   -1.8187918686e-01
1.1311988055e-01   -1.8319143157e-01
1.1168289598e-01   -1.8449565185e-01
1.1023574888e-01   -1.8579175052e-01
1.0877850312e-01   -1.8707963059e-01
1.0731122331e-01   -1.8835919524e-01
1.0583397484e-01   -1.8963034790e-01
1.0434682382e-01   -1.9089299215e-01
1.0284983715e-01   -1.9214703183e-01
1.0134308244e-01   -1.9339237096e-01
9.9826628080e-02   -1.9462891382e-01
9.8300543200e-02   -1.9585656487e-01
9.6764897672e-02   -1.9707522885e-01
9.5219762113e-02   -1.9828481072e-01
9.3665207882e-02   -1.9948521566e-01
9.2101307079e-02   -2.0067634915e-01
9.0528132542e-02   -2.0185811687e-01
8.8945757843e-02   -2.0303042479e-01
8.7354257290e-02   -2.0419317915e-01
8.5753705922e-02   -2.0534628644e-01
8.4144179509e-02   -2.0648965345e-01
8.2525754546e-02   -2.0762318724e-01
8.0898508256e-02   -2.0874679515e-01
7.9262518584e-02   -2.0986038483e-01
7.7617864195e-02   -2.1096386422e-01
7.5964624474e-02   -2.1205714157e-01
7.4302879519e-02   -2.1314012544e-01
7.2632710146e-02   -2.1421272471e-01
7.0954197877e-02   -2.1527484857e-01
6.9267424946e-02   -2.1632640657e-01
6.7572474292e-02   -2.1736730856e-01
6.5869429556e-02   -2.1839746476e-01
6.4158375081e-02   -2.1941678572e-01
6.2439395907e-02   -2.2042518235e-01
6.0712577769e-02   -2.2142256592e-01
5.8978007093e-02   -2.2240884808e-01
5.7235770997e-02   -2.2338394083e-01
5.5485957283e-02   -2.2434775656e-01
5.3728654436e-02   -2.2530020806e-01
5.1963951623e-02   -2.2624120849e-01
5.0191938687e-02   -2.2717067142e-01
4.8412706145e-02   -2.2808851083e-01
4.6626345185e-02   -2.2899464110e-01
4.4832947663e-02   -2.2988897706e-01
4.3032606099e-02   -2.3077143392e-01
4.1225413672e-02   -2.3164192736e-01
3.9411464221e-02   -2.3250037348e-01
3.7590852239e-02   -2.3334668885e-01
