X    Y
0.0000000000e+00   0.0000000000e+00
4.8851978505e-03   -7.3192461032e-06
9.7703957010e-03   -2.4882912388e-05
1.4655593552e-02   -4.7383622299e-05
1.9540791402e-02   -7.0815430434e-05
2.4425989253e-02   -9.2069534732e-05
2.9311187103e-02   -1.0862836190e-04
3.4196384954e-02   -1.1832935492e-04
3.9081582804e-02   -1.1917698840e-04
4.3966780655e-02   -1.0918670450e-04
4.8851978505e-02   -8.6248118747e-05
5.3737176356e-02   -4.7997367524e-05
5.8622374206e-02   8.3098713156e-06
6.3507572057e-02   8.5932165193e-05
6.8392769907e-02   1.8878995155e-04
7.3277967758e-02   3.2163403289e-04
7.8163165608e-02   4.9024237461e-04
8.3048363459e-02   7.0165341113e-04
8.7933561309e-02   9.6444521003e-04
9.2818759160e-02   1.2890713733e-03
9.7703957010e-02   1.6882665030e-03
1.0258915486e-01   2.1775364704e-03
1.0747435271e-01   2.7757516610e-03
1.1235955056e-01   3.5058648925e-03
1.1724474841e-01   4.3957798845e-03
1.2212994626e-01   5.4794010817e-03
1.2701514411e-01   6.7979013426e-03
1.3190034196e-01   8.4012505528e-03
1.3678553981e-01   1.0350055572e-02
1.4167073766e-01   1.2717769979e-02
1.4655593552e-01   1.5593340579e-02
1.5144113337e-01   1.9084366048e-02
1.5632633122e-01   2.3320850651e-02
1.6121152907e-01   2.8459641072e-02
1.6609672692e-01   3.4689635089e-02
1.7098192477e-01   4.2237843434e-02
1.7586712262e-01   5.1376365927e-02
1.8075232047e-01   6.2430302387e-02
1.8563751832e-01   7.5786547765e-02
1.9052271617e-01   9.1903305204e-02
1.9540791402e-01   1.1131997171e-01
2.0029311187e-01   1.3466678522e-01
2.0517830972e-01   1.6267324119e-01
2.1006350757e-01   1.9617376254e-01
2.1494870542e-01   2.3610841470e-01
2.1983390327e-01   2.8351559294e-01
2.2471910112e-01   3.3951260835e-01
2.2960429897e-01   4.0525907556e-01
2.3448949682e-01   4.8189719943e-01
2.3937469468e-01   5.7046289137e-01
2.4425989253e-01   6.7176276299e-01
2.4914509038e-01   7.8621529741e-01
2.5403028823e-01   9.1366079001e-01
2.5891548608e-01   1.0531545683e+00
2.6380068393e-01   1.2027711610e+00
2.6868588178e-01   1.3594613037e+00
2.7357107963e-01   1.5190143234e+00
2.7845627748e-01   1.6761787636e+00
2.8334147533e-01   1.8249772100e+00
2.8822667318e-01   1.9592140824e+00
2.9311187103e-01   2.0731229337e+00
2.9799706888e-01   2.1620479629e+00
3.0288226673e-01   2.2230245222e+00
3.0776746458e-01   2.2551328490e+00
3.1265266243e-01   2.2595503747e+00
3.1753786028e-01   2.2393038678e+00
3.2242305813e-01   2.1987947291e+00
3.2730825598e-01   2.1432133621e+00
3.3219345383e-01   2.0779614613e+00
3.3707865169e-01   2.0081716629e+00
