X    Y
0.0000000000e+00   2.0000000000e-01
1.5640273705e-02   2.0130526136e-01
3.1280547410e-02   2.0516944197e-01
4.6920821114e-02   2.1154162471e-01
6.2561094819e-02   2.2040752971e-01
7.8201368524e-02   2.3178930176e-01
9.3841642229e-02   2.4574320583e-01
1.0948191593e-01   2.6235515990e-01
1.2512218964e-01   2.8173374213e-01
1.4076246334e-01   3.0400000017e-01
1.5640273705e-01   3.2927307636e-01
1.7204301075e-01   3.5765037424e-01
1.8768328446e-01   3.8918079925e-01
2.0332355816e-01   4.2382964070e-01
2.1896383187e-01   4.6143413975e-01
2.3460410557e-01   5.0165002270e-01
2.5024437928e-01   5.4389165077e-01
2.6588465298e-01   5.8727226639e-01
2.8152492669e-01   6.3055607413e-01
2.9716520039e-01   6.7213973791e-01
3.1280547410e-01   7.1008513066e-01
3.2844574780e-01   7.4222420720e-01
3.4408602151e-01   7.6634659723e-01
3.5972629521e-01   7.8045903648e-01
3.7536656891e-01   7.8307692457e-01
3.9100684262e-01   7.7348336922e-01
4.0664711632e-01   7.5188489740e-01
4.2228739003e-01   7.1941464916e-01
4.3792766373e-01   6.7797789223e-01
4.5356793744e-01   6.2998183498e-01
4.6920821114e-01   5.7802050478e-01
4.8484848485e-01   5.2458579402e-01
5.0048875855e-01   4.7185327541e-01
5.1612903226e-01   4.2156067418e-01
5.3176930596e-01   3.7497132599e-01
5.4740957967e-01   3.3290078849e-01
5.6304985337e-01   2.9578143899e-01
5.7869012708e-01   2.6374342856e-01
5.9433040078e-01   2.3669663868e-01
6.0997067449e-01   2.1440451127e-01
6.2561094819e-01   1.9654550093e-01
6.4125122190e-01   1.8276116587e-01
6.5689149560e-01   1.7269180788e-01
6.7253176931e-01   1.6600148071e-01
6.8817204301e-01   1.6239446710e-01
7.0381231672e-01   1.6162524552e-01
7.1945259042e-01   1.6350370866e-01
7.3509286413e-01   1.6789706231e-01
7.5073313783e-01   1.7472948683e-01
7.6637341153e-01   1.8398030895e-01
7.8201368524e-01   1.9568111743e-01
7.9765395894e-01   2.0991195467e-01
8.1329423265e-01   2.2679641625e-01
8.2893450635e-01   2.4649517125e-01
8.4457478006e-01   2.6919706194e-01
8.6021505376e-01   2.9510653721e-01
8.7585532747e-01   3.2442572455e-01
8.9149560117e-01   3.5732898662e-01
9.0713587488e-01   3.9392744543e-01
9.2277614858e-01   4.3422090399e-01
9.3841642229e-01   4.7803523540e-01
9.5405669599e-01   5.2494523131e-01
9.6969696970e-01   5.7418686261e-01
9.8533724340e-01   6.2456958064e-01
1.0009775171e+00   6.7440866601e-01
1.0166177908e+00   7.2150796407e-01
1.0322580645e+00   7.6323000716e-01
1.0478983382e+00   7.9668592913e-01
1.0635386119e+00   8.1905401235e-01
1.0791788856e+00   8.2799199417e-01
1.0948191593e+00   8.2205719459e-01
1.1104594330e+00   8.0101689520e-01
1.1260997067e+00   7.6594570177e-01
1.1417399804e+00   7.1907076308e-01
1.1573802542e+00   6.6341114257e-01
1.1730205279e+00   6.0232034189e-01
1.1886608016e+00   5.3905280003e-01
1.2043010753e+00   4.7644072654e-01
1.2199413490e+00   4.1671410267e-01
1.2355816227e+00   3.6145138585e-01
1.2512218964e+00   3.1162429931e-01
1.2668621701e+00   2.6769571965e-01
1.2825024438e+00   2.2973705253e-01
1.2981427175e+00   1.9754272745e-01
1.3137829912e+00   1.7072971554e-01
1.3294232649e+00   1.4881741916e-01
1.3450635386e+00   1.3128784384e-01
1.3607038123e+00   1.1762831428e-01
1.3763440860e+00   1.0735990868e-01
1.3919843597e+00   1.0005487543e-01
1.4076246334e+00   9.5345977001e-02
1.4232649071e+00   9.2930225436e-02
1.4389051808e+00   9.2568968494e-02
1.4545454545e+00   9.4085819597e-02
1.4701857283e+00   9.7363526445e-02
1.4858260020e+00   1.0234054607e-01
1.5014662757e+00   1.0900783262e-01
1.5171065494e+00   1.1740613576e-01
1.5327468231e+00   1.2762393785e-01
1.5483870968e+00   1.3979600866e-01
1.5640273705e+00   1.5410240942e-01
1.5796676442e+00   1.7076761024e-01
1.5953079179e+00   1.9005917004e-01
