X    Y
0.0000000000e+00   5.0000000000e-01
7.8201368524e-02   5.2017465905e-01
1.5640273705e-01   5.4164902027e-01
2.3460410557e-01   5.6449901271e-01
3.1280547410e-01   5.8879835303e-01
3.9100684262e-01   6.1461658268e-01
4.6920821114e-01   6.4201668797e-01
5.4740957967e-01   6.7105227344e-01
6.2561094819e-01   7.0176427456e-01
7.0381231672e-01   7.3417722042e-01
7.8201368524e-01   7.6829508927e-01
8.6021505376e-01   8.0409684207e-01
9.3841642229e-01   8.4153177000e-01
1.0166177908e+00   8.8051484872e-01
1.0948191593e+00   9.2092235248e-01
1.1730205279e+00   9.6258803718e-01
1.2512218964e+00   1.0053002463e+00
1.3294232649e+00   1.0488003173e+00
1.4076246334e+00   1.0927826584e+00
1.4858260020e+00   1.1368968182e+00
1.5640273705e+00   1.1807517812e+00
1.6422287390e+00   1.2239225842e+00
1.7204301075e+00   1.2659591809e+00
1.7986314761e+00   1.3063972905e+00
1.8768328446e+00   1.3447707751e+00
1.9550342131e+00   1.3806249297e+00
2.0332355816e+00   1.4135299535e+00
2.1114369501e+00   1.4430938235e+00
2.1896383187e+00   1.4689738249e+00
2.2678396872e+00   1.4908860914e+00
2.3460410557e+00   1.5086126733e+00
2.4242424242e+00   1.5220058518e+00
2.5024437928e+00   1.5309896267e+00
2.5806451613e+00   1.5355585065e+00
2.6588465298e+00   1.5357738936e+00
2.7370478983e+00   1.5317584772e+00
2.8152492669e+00   1.5236891154e+00
2.8934506354e+00   1.5117887084e+00
2.9716520039e+00   1.4963175451e+00
3.0498533724e+00   1.4775645509e+00
3.1280547410e+00   1.4558387996e+00
3.2062561095e+00   1.4314615686e+00
3.2844574780e+00   1.4047591386e+00
3.3626588465e+00   1.3760564671e+00
3.4408602151e+00   1.3456717974e+00
3.5190615836e+00   1.3139122155e+00
3.5972629521e+00   1.2810701254e+00
3.6754643206e+00   1.2474205836e+00
3.7536656891e+00   1.2132194136e+00
3.8318670577e+00   1.1787020131e+00
3.9100684262e+00   1.1440827573e+00
3.9882697947e+00   1.1095549054e+00
4.0664711632e+00   1.0752909209e+00
4.1446725318e+00   1.0414431213e+00
4.2228739003e+00   1.0081445837e+00
4.3010752688e+00   9.7551023668e-01
4.3792766373e+00   9.4363808452e-01
4.4574780059e+00   9.1261051157e-01
4.5356793744e+00   8.8249562813e-01
4.6138807429e+00   8.5334862393e-01
4.6920821114e+00   8.2521310316e-01
4.7702834800e+00   7.9812238084e-01
4.8484848485e+00   7.7210072560e-01
4.9266862170e+00   7.4716453837e-01
5.0048875855e+00   7.2332346029e-01
5.0830889541e+00   7.0058140626e-01
5.1612903226e+00   6.7893752304e-01
5.2394916911e+00   6.5838707302e-01
5.3176930596e+00   6.3892224613e-01
5.3958944282e+00   6.2053290381e-01
5.4740957967e+00   6.0320725971e-01
5.5522971652e+00   5.8693250263e-01
5.6304985337e+00   5.7169536754e-01
5.7086999022e+00   5.5748266091e-01
5.7869012708e+00   5.4428174659e-01
5.8651026393e+00   5.3208099901e-01
5.9433040078e+00   5.2087022980e-01
6.0215053763e+00   5.1064109468e-01
6.0997067449e+00   5.0138748679e-01
6.1779081134e+00   4.9310592289e-01
6.2561094819e+00   4.8579592868e-01
6.3343108504e+00   4.7946042934e-01
6.4125122190e+00   4.7410615117e-01
6.4907135875e+00   4.6974404004e-01
6.5689149560e+00   4.6638970196e-01
6.6471163245e+00   4.6406387051e-01
6.7253176931e+00   4.6279290522e-01
6.8035190616e+00   4.6260932370e-01
6.8817204301e+00   4.6355236878e-01
6.9599217986e+00   4.6566860984e-01
7.0381231672e+00   4.6901257383e-01
7.1163245357e+00   4.7364739768e-01
7.1945259042e+00   4.7964548741e-01
