X    Y
0.0000000000e+00   5.0000000000e-01
3.8095238095e-02   5.0952170618e-01
7.6190476190e-02   5.1903055028e-01
1.1428571429e-01   5.2851300186e-01
1.5238095238e-01   5.3795479791e-01
1.9047619048e-01   5.4734094258e-01
2.2857142857e-01   5.5665571132e-01
2.6666666667e-01   5.6588265995e-01
3.0476190476e-01   5.7500463904e-01
3.4285714286e-01   5.8400381431e-01
3.8095238095e-01   5.9286169343e-01
4.1904761905e-01   6.0155915985e-01
4.5714285714e-01   6.1007651403e-01
4.9523809524e-01   6.1839352276e-01
5.3333333333e-01   6.2648947681e-01
5.7142857143e-01   6.3434325749e-01
6.0952380952e-01   6.4193341226e-01
6.4761904762e-01   6.4923823989e-01
6.8571428571e-01   6.5623588503e-01
7.2380952381e-01   6.6290444249e-01
7.6190476190e-01   6.6922207100e-01
8.0000000000e-01   6.7516711613e-01
8.3809523810e-01   6.8071824213e-01
8.7619047619e-01   6.8585457191e-01
9.1428571429e-01   6.9055583443e-01
9.5238095238e-01   6.9480251843e-01
9.9047619048e-01   6.9857603126e-01
1.0285714286e+00   7.0185886133e-01
1.0666666667e+00   7.0463474253e-01
1.1047619048e+00   7.0688881855e-01
1.1428571429e+00   7.0860780527e-01
1.1809523810e+00   7.0978014865e-01
1.2190476190e+00   7.1039617589e-01
1.2571428571e+00   7.1044823725e-01
1.2952380952e+00   7.0993083608e-01
1.3333333333e+00   7.0884074430e-01
1.3714285714e+00   7.0717710101e-01
1.4095238095e+00   7.0494149184e-01
1.4476190476e+00   7.0213800670e-01
1.4857142857e+00   6.9877327429e-01
1.5238095238e+00   6.9485647156e-01
1.5619047619e+00   6.9039930714e-01
1.6000000000e+00   6.8541597781e-01
1.6380952381e+00   6.7992309801e-01
1.6761904762e+00   6.7393960246e-01
1.7142857143e+00   6.6748662284e-01
1.7523809524e+00   6.6058733985e-01
1.7904761905e+00   6.5326681254e-01
1.8285714286e+00   6.4555178721e-01
1.8666666667e+00   6.3747048881e-01
1.9047619048e+00   6.2905239781e-01
1.9428571429e+00   6.2032801614e-01
1.9809523810e+00   6.1132862578e-01
2.0190476190e+00   6.0208604375e-01
2.0571428571e+00   5.9263237728e-01
2.0952380952e+00   5.8299978275e-01
2.1333333333e+00   5.7322023204e-01
2.1714285714e+00   5.6332528935e-01
2.2095238095e+00   5.5334590150e-01
2.2476190476e+00   5.4331220417e-01
2.2857142857e+00   5.3325334618e-01
2.3238095238e+00   5.2319733333e-01
2.3619047619e+00   5.1317089314e-01
2.4000000000e+00   5.0319936087e-01
