X    Y    Z
5.0000000000e-01   5.0000000000e-01   0.0000000000e+00
5.0952170618e-01   5.0967040985e-01   3.8316080122e-03
5.1903055028e-01   5.1963992910e-01   7.7086640608e-03
5.2851300186e-01   5.2991741985e-01   1.1633127142e-02
5.3795479791e-01   5.4051171327e-01   1.5607008555e-02
5.4734094258e-01   5.5143156907e-01   1.9632371117e-02
5.5665571132e-01   5.6268563014e-01   2.3711328062e-02
5.6588265995e-01   5.7428237220e-01   2.7846041583e-02
5.7500463904e-01   5.8623004817e-01   3.2038720983e-02
5.8400381431e-01   5.9853662694e-01   3.6291620399e-02
5.9286169343e-01   6.1120972636e-01   4.0607036054e-02
6.0155915985e-01   6.2425654027e-01   4.4987302997e-02
6.1007651403e-01   6.3768375943e-01   4.9434791300e-02
6.1839352276e-01   6.5149748615e-01   5.3951901645e-02
6.2648947681e-01   6.6570314285e-01   5.8541060291e-02
6.3434325749e-01   6.8030537434e-01   6.3204713342e-02
6.4193341226e-01   6.9530794422e-01   6.7945320313e-02
6.4923823989e-01   7.1071362557e-01   7.2765346922e-02
6.5623588503e-01   7.2652408631e-01   7.7667257095e-02
6.6290444249e-01   7.4273976998e-01   8.2653504142e-02
6.6922207100e-01   7.5935977238e-01   8.7726521075e-02
6.7516711613e-01   7.7638171517e-01   9.2888710055e-02
6.8071824213e-01   7.9380161738e-01   9.8142430952e-02
6.8585457191e-01   8.1161376617e-01   1.0348998901e-01
6.9055583443e-01   8.2981058818e-01   1.0893362162e-01
6.9480251843e-01   8.4838252316e-01   1.1447548424e-01
6.9857603126e-01   8.6731790177e-01   1.2011763548e-01
7.0185886133e-01   8.8660282945e-01   1.2586202135e-01
7.0463474253e-01   9.0622107861e-01   1.3171045883e-01
7.0688881855e-01   9.2615399147e-01   1.3766461878e-01
7.0860780527e-01   9.4638039585e-01   1.4372600824e-01
7.0978014865e-01   9.6687653659e-01   1.4989595234e-01
7.1039617589e-01   9.8761602496e-01   1.5617557587e-01
7.1044823725e-01   1.0085698086e+00   1.6256578468e-01
7.0993083608e-01   1.0297061645e+00   1.6906724709e-01
7.0884074430e-01   1.0509907170e+00   1.7568037545e-01
7.0717710101e-01   1.0723864828e+00   1.8240530813e-01
7.0494149184e-01   1.0938539455e+00   1.8924189206e-01
7.0213800670e-01   1.1153511594e+00   1.9618966609e-01
6.9877327429e-01   1.1368338852e+00   2.0324784539e-01
6.9485647156e-01   1.1582557568e+00   2.1041530712e-01
6.9039930714e-01   1.1795684792e+00   2.1769057755e-01
6.8541597781e-01   1.2007220575e+00   2.2507182097e-01
6.7992309801e-01   1.2216650547e+00   2.3255683049e-01
6.7393960246e-01   1.2423448766e+00   2.4014302098e-01
6.6748662284e-01   1.2627080813e+00   2.4782742429e-01
6.6058733985e-01   1.2827007098e+00   2.5560668701e-01
6.5326681254e-01   1.3022686346e+00   2.6347707075e-01
6.4555178721e-01   1.3213579208e+00   2.7143445517e-01
6.3747048881e-01   1.3399151959e+00   2.7947434373e-01
6.2905239781e-01   1.3578880241e+00   2.8759187224e-01
6.2032801614e-01   1.3752252775e+00   2.9578182017e-01
6.1132862578e-01   1.3918775025e+00   3.0403862470e-01
6.0208604375e-01   1.4077972726e+00   3.1235639733e-01
5.9263237728e-01   1.4229395258e+00   3.2072894308e-01
5.8299978275e-01   1.4372618804e+00   3.2914978195e-01
5.7322023204e-01   1.4507249243e+00   3.3761217257e-01
5.6332528935e-01   1.4632924765e+00   3.4610913769e-01
5.5334590150e-01   1.4749318149e+00   3.5463349143e-01
5.4331220417e-01   1.4856138699e+00   3.6317786786e-01
5.3325334618e-01   1.4953133813e+00   3.7173475068e-01
5.2319733333e-01   1.5040090168e+00   3.8029650380e-01
5.1317089314e-01   1.5116834526e+00   3.8885540235e-01
5.0319936087e-01   1.5183234157e+00   3.9740366400e-01
