X    Y
0.0000000000e+00   0.0000000000e+00
3.8095238095e-02   3.8316080122e-03
7.6190476190e-02   7.7086640608e-03
1.1428571429e-01   1.1633127142e-02
1.5238095238e-01   1.5607008555e-02
1.9047619048e-01   1.9632371117e-02
2.2857142857e-01   2.3711328062e-02
2.6666666667e-01   2.7846041583e-02
3.0476190476e-01   3.2038720983e-02
3.4285714286e-01   3.6291620399e-02
3.8095238095e-01   4.0607036054e-02
4.1904761905e-01   4.4987302997e-02
4.5714285714e-01   4.9434791300e-02
4.9523809524e-01   5.3951901645e-02
5.3333333333e-01   5.8541060291e-02
5.7142857143e-01   6.3204713342e-02
6.0952380952e-01   6.7945320313e-02
6.4761904762e-01   7.2765346922e-02
6.8571428571e-01   7.7667257095e-02
7.2380952381e-01   8.2653504142e-02
7.6190476190e-01   8.7726521075e-02
8.0000000000e-01   9.2888710055e-02
8.3809523810e-01   9.8142430952e-02
8.7619047619e-01   1.0348998901e-01
9.1428571429e-01   1.0893362162e-01
9.5238095238e-01   1.1447548424e-01
9.9047619048e-01   1.2011763548e-01
1.0285714286e+00   1.2586202135e-01
1.0666666667e+00   1.3171045883e-01
1.1047619048e+00   1.3766461878e-01
1.1428571429e+00   1.4372600824e-01
1.1809523810e+00   1.4989595234e-01
1.2190476190e+00   1.5617557587e-01
1.2571428571e+00   1.6256578468e-01
1.2952380952e+00   1.6906724709e-01
1.3333333333e+00   1.7568037545e-01
1.3714285714e+00   1.8240530813e-01
1.4095238095e+00   1.8924189206e-01
1.4476190476e+00   1.9618966609e-01
1.4857142857e+00   2.0324784539e-01
1.5238095238e+00   2.1041530712e-01
1.5619047619e+00   2.1769057755e-01
1.6000000000e+00   2.2507182097e-01
1.6380952381e+00   2.3255683049e-01
1.6761904762e+00   2.4014302098e-01
1.7142857143e+00   2.4782742429e-01
1.7523809524e+00   2.5560668701e-01
1.7904761905e+00   2.6347707075e-01
1.8285714286e+00   2.7143445517e-01
1.8666666667e+00   2.7947434373e-01
1.9047619048e+00   2.8759187224e-01
1.9428571429e+00   2.9578182017e-01
1.9809523810e+00   3.0403862470e-01
2.0190476190e+00   3.1235639733e-01
2.0571428571e+00   3.2072894308e-01
2.0952380952e+00   3.2914978195e-01
2.1333333333e+00   3.3761217257e-01
2.1714285714e+00   3.4610913769e-01
2.2095238095e+00   3.5463349143e-01
2.2476190476e+00   3.6317786786e-01
2.2857142857e+00   3.7173475068e-01
2.3238095238e+00   3.8029650380e-01
2.3619047619e+00   3.8885540235e-01
2.4000000000e+00   3.9740366400e-01
