X    Y
0.0000000000e+00   0.0000000000e+00
7.8201368524e-02   2.5719128803e-03
1.5640273705e-01   4.0546451701e-03
2.3460410557e-01   4.8067149425e-03
3.1280547410e-01   5.0981851986e-03
3.9100684262e-01   5.1197986661e-03
4.6920821114e-01   4.9978659026e-03
5.4740957967e-01   4.8106625636e-03
6.2561094819e-01   4.6033347819e-03
7.0381231672e-01   4.3997957048e-03
7.8201368524e-01   4.2112987096e-03
8.6021505376e-01   4.0420996176e-03
9.3841642229e-01   3.8929121347e-03
1.0166177908e+00   3.7628629134e-03
1.0948191593e+00   3.6505151246e-03
1.1730205279e+00   3.5543589730e-03
1.2512218964e+00   3.4730201231e-03
1.3294232649e+00   3.4053306668e-03
1.4076246334e+00   3.3503395675e-03
1.4858260020e+00   3.3073004530e-03
1.5640273705e+00   3.2756539233e-03
1.6422287390e+00   3.2550114046e-03
1.7204301075e+00   3.2451430199e-03
1.7986314761e+00   3.2459701059e-03
1.8768328446e+00   3.2575624010e-03
1.9550342131e+00   3.2801398474e-03
2.0332355816e+00   3.3140790752e-03
2.1114369501e+00   3.3599248481e-03
2.1896383187e+00   3.4184070106e-03
2.2678396872e+00   3.4904637770e-03
2.3460410557e+00   3.5772725756e-03
2.4242424242e+00   3.6802901156e-03
2.5024437928e+00   3.8013039381e-03
2.5806451613e+00   3.9424984827e-03
2.6588465298e+00   4.1065397316e-03
2.7370478983e+00   4.2966838767e-03
2.8152492669e+00   4.5169173348e-03
2.8934506354e+00   4.7721380052e-03
2.9716520039e+00   5.0683911999e-03
3.0498533724e+00   5.4131785604e-03
3.1280547410e+00   5.8158650601e-03
3.2062561095e+00   6.2882186291e-03
3.2844574780e+00   6.8451300992e-03
3.3626588465e+00   7.5055795042e-03
3.4408602151e+00   8.2939402446e-03
3.5190615836e+00   9.2417477950e-03
3.5972629521e+00   1.0390107615e-02
3.6754643206e+00   1.1792981175e-02
3.7536656891e+00   1.3521672386e-02
3.8318670577e+00   1.5670939341e-02
3.9100684262e+00   1.8367270927e-02
3.9882697947e+00   2.1779970376e-02
4.0664711632e+00   2.6135719767e-02
4.1446725318e+00   3.1737136900e-02
4.2228739003e+00   3.8985240153e-02
4.3010752688e+00   4.8404285453e-02
4.3792766373e+00   6.0664457513e-02
4.4574780059e+00   7.6592462033e-02
4.5356793744e+00   9.7151276048e-02
4.6138807429e+00   1.2335822621e-01
4.6920821114e+00   1.5609838039e-01
4.7702834800e+00   1.9578804755e-01
4.8484848485e+00   2.4187157572e-01
4.9266862170e+00   2.9222122998e-01
5.0048875855e+00   3.4266513369e-01
5.0830889541e+00   3.8703296793e-01
5.1612903226e+00   4.1811322142e-01
5.2394916911e+00   4.2955978335e-01
5.3176930596e+00   4.1811165380e-01
5.3958944282e+00   3.8498825443e-01
5.4740957967e+00   3.3559494908e-01
5.5522971652e+00   2.7767399245e-01
5.6304985337e+00   2.1893580087e-01
5.7086999022e+00   1.6528056649e-01
5.7869012708e+00   1.2010257365e-01
5.8651026393e+00   8.4508325516e-02
5.9433040078e+00   5.7992572882e-02
6.0215053763e+00   3.9173443251e-02
6.0997067449e+00   2.6372732287e-02
6.1779081134e+00   1.7984470543e-02
6.2561094819e+00   1.2659539733e-02
6.3343108504e+00   9.3619147624e-03
6.4125122190e+00   7.3500188022e-03
6.4907135875e+00   6.1236696853e-03
