X    Y
0.0000000000e+00   9.8000000000e-01
1.9550342131e-02   9.8017479624e-01
3.9100684262e-02   9.8035009529e-01
5.8651026393e-02   9.8052589904e-01
7.8201368524e-02   9.8070220937e-01
9.7751710655e-02   9.8087902818e-01
1.1730205279e-01   9.8105635737e-01
1.3685239492e-01   9.8123419886e-01
1.5640273705e-01   9.8141255457e-01
1.7595307918e-01   9.8159142642e-01
1.9550342131e-01   9.8177081637e-01
2.1505376344e-01   9.8195072636e-01
2.3460410557e-01   9.8213115834e-01
2.5415444770e-01   9.8231211428e-01
2.7370478983e-01   9.8249359617e-01
2.9325513196e-01   9.8267560597e-01
3.1280547410e-01   9.8285814569e-01
3.3235581623e-01   9.8304121732e-01
3.5190615836e-01   9.8322482289e-01
3.7145650049e-01   9.8340896440e-01
3.9100684262e-01   9.8359364390e-01
4.1055718475e-01   9.8377886341e-01
4.3010752688e-01   9.8396462499e-01
4.4965786901e-01   9.8415093069e-01
4.6920821114e-01   9.8433778259e-01
4.8875855327e-01   9.8452518276e-01
5.0830889541e-01   9.8471313328e-01
5.2785923754e-01   9.8490163625e-01
5.4740957967e-01   9.8509069378e-01
5.6695992180e-01   9.8528030798e-01
5.8651026393e-01   9.8547048097e-01
6.0606060606e-01   9.8566121490e-01
6.2561094819e-01   9.8585251190e-01
6.4516129032e-01   9.8604437413e-01
6.6471163245e-01   9.8623680376e-01
6.8426197458e-01   9.8642980295e-01
7.0381231672e-01   9.8662337389e-01
7.2336265885e-01   9.8681751878e-01
7.4291300098e-01   9.8701223981e-01
7.6246334311e-01   9.8720753921e-01
7.8201368524e-01   9.8740341920e-01
8.0156402737e-01   9.8759988201e-01
8.2111436950e-01   9.8779692989e-01
8.4066471163e-01   9.8799456509e-01
8.6021505376e-01   9.8819278988e-01
8.7976539589e-01   9.8839160654e-01
8.9931573803e-01   9.8859101734e-01
9.1886608016e-01   9.8879102460e-01
9.3841642229e-01   9.8899163061e-01
9.5796676442e-01   9.8919283770e-01
9.7751710655e-01   9.8939464819e-01
9.9706744868e-01   9.8959706442e-01
1.0166177908e+00   9.8980008876e-01
1.0361681329e+00   9.9000372354e-01
1.0557184751e+00   9.9020797116e-01
1.0752688172e+00   9.9041283400e-01
1.0948191593e+00   9.9061831444e-01
1.1143695015e+00   9.9082441489e-01
1.1339198436e+00   9.9103113778e-01
1.1534701857e+00   9.9123848552e-01
1.1730205279e+00   9.9144646057e-01
1.1925708700e+00   9.9165506536e-01
1.2121212121e+00   9.9186430237e-01
1.2316715543e+00   9.9207417406e-01
1.2512218964e+00   9.9228468292e-01
1.2707722385e+00   9.9249583144e-01
1.2903225806e+00   9.9270762215e-01
1.3098729228e+00   9.9292005754e-01
1.3294232649e+00   9.9313314017e-01
1.3489736070e+00   9.9334687256e-01
1.3685239492e+00   9.9356125728e-01
1.3880742913e+00   9.9377629689e-01
1.4076246334e+00   9.9399199398e-01
1.4271749756e+00   9.9420835112e-01
1.4467253177e+00   9.9442537093e-01
1.4662756598e+00   9.9464305602e-01
1.4858260020e+00   9.9486140902e-01
1.5053763441e+00   9.9508043257e-01
1.5249266862e+00   9.9530012932e-01
1.5444770283e+00   9.9552050193e-01
1.5640273705e+00   9.9574155309e-01
1.5835777126e+00   9.9596328547e-01
1.6031280547e+00   9.9618570179e-01
1.6226783969e+00   9.9640880475e-01
1.6422287390e+00   9.9663259709e-01
1.6617790811e+00   9.9685708155e-01
1.6813294233e+00   9.9708226087e-01
1.7008797654e+00   9.9730813782e-01
1.7204301075e+00   9.9753471518e-01
1.7399804497e+00   9.9776199575e-01
1.7595307918e+00   9.9798998232e-01
1.7790811339e+00   9.9821867772e-01
1.7986314761e+00   9.9844808477e-01
1.8181818182e+00   9.9867820633e-01
1.8377321603e+00   9.9890904524e-01
