X    Y
0.0000000000e+00   3.9724601277e-02
1.5873015873e-02   5.1148462278e-02
3.1746031746e-02   6.4814730135e-02
4.7619047619e-02   8.0843591735e-02
6.3492063492e-02   9.9268499245e-02
7.9365079365e-02   1.2001472858e-01
9.5238095238e-02   1.4288212933e-01
1.1111111111e-01   1.6753449571e-01
1.2698412698e-01   1.9349769470e-01
1.4285714286e-01   2.2016808292e-01
1.5873015873e-01   2.4683186559e-01
1.7460317460e-01   2.7269498322e-01
1.9047619048e-01   2.9692197440e-01
2.0634920635e-01   3.1868120223e-01
2.2222222222e-01   3.3719299016e-01
2.3809523810e-01   3.5177671463e-01
2.5396825397e-01   3.6189282633e-01
2.6984126984e-01   3.6717614523e-01
2.8571428571e-01   3.6745755756e-01
3.0158730159e-01   3.6277234349e-01
3.1746031746e-01   3.5335464560e-01
3.3333333333e-01   3.3961889258e-01
3.4920634921e-01   3.2213016407e-01
3.6507936508e-01   3.0156639015e-01
3.8095238095e-01   2.7867583195e-01
3.9682539683e-01   2.5423345148e-01
4.1269841270e-01   2.2899956162e-01
4.2857142857e-01   2.0368361359e-01
4.4444444444e-01   1.7891522108e-01
4.6031746032e-01   1.5522364780e-01
4.7619047619e-01   1.3302610854e-01
4.9206349206e-01   1.1262444747e-01
5.0793650794e-01   9.4209131765e-02
5.2380952381e-01   7.7869073766e-02
5.3968253968e-01   6.3605581232e-02
5.5555555556e-01   5.1348716013e-02
5.7142857143e-01   4.0974482475e-02
5.8730158730e-01   3.2321521542e-02
6.0317460317e-01   2.5206305270e-02
6.1904761905e-01   1.9436165001e-02
6.3492063492e-01   1.4819805920e-02
6.5079365079e-01   1.1175235990e-02
6.6666666667e-01   8.3352526301e-03
6.8253968254e-01   6.1507815194e-03
6.9841269841e-01   4.4924519537e-03
7.1428571429e-01   3.2508314357e-03
7.3015873016e-01   2.3357406172e-03
7.4603174603e-01   1.6750409535e-03
7.6190476190e-01   1.2132427003e-03
7.7777777778e-01   9.1022880361e-04
7.9365079365e-01   7.4033597817e-04
8.0952380952e-01   6.9197947170e-04
8.2539682540e-01   7.6795099508e-04
8.4126984127e-01   9.8645594034e-04
8.5714285714e-01   1.3828809721e-03
8.7301587302e-01   2.0121914928e-03
8.8888888889e-01   2.9517478936e-03
9.0476190476e-01   4.3042019026e-03
9.2063492063e-01   6.1999979017e-03
9.3650793651e-01   8.7988741693e-03
9.5238095238e-01   1.2289657975e-02
9.6825396825e-01   1.6887603802e-02
9.8412698413e-01   2.2828564667e-02
1.0000000000e+00   3.0359437656e-02
