X    Y
0.0000000000e+00   5.9491087519e-03
1.5873015873e-02   1.4074685017e-02
3.1746031746e-02   2.2007828475e-02
4.7619047619e-02   2.7079278208e-02
6.3492063492e-02   2.6132444016e-02
7.9365079365e-02   1.7400680995e-02
9.5238095238e-02   2.0898128181e-03
1.1111111111e-01   1.5455692321e-02
1.2698412698e-01   2.9377906586e-02
1.4285714286e-01   3.4910168263e-02
1.5873015873e-01   3.0466237793e-02
1.7460317460e-01   1.8125251929e-02
1.9047619048e-01   2.4664176402e-03
2.0634920635e-01   1.1507815282e-02
2.2222222222e-01   2.0408186997e-02
2.3809523810e-01   2.3584656649e-02
2.5396825397e-01   2.2754534465e-02
2.6984126984e-01   2.0263120937e-02
2.8571428571e-01   1.7097177903e-02
3.0158730159e-01   1.2177841330e-02
3.1746031746e-01   3.6177183293e-03
3.3333333333e-01   8.9552134067e-03
3.4920634921e-01   2.2863825960e-02
3.6507936508e-01   3.2969478450e-02
3.8095238095e-01   3.4170559363e-02
3.9682539683e-01   2.4298067443e-02
4.1269841270e-01   5.6973997804e-03
4.2857142857e-01   1.5387885823e-02
4.4444444444e-01   3.1339899011e-02
4.6031746032e-01   3.6416129666e-02
4.7619047619e-01   2.9237265126e-02
4.9206349206e-01   1.3351190522e-02
5.0793650794e-01   4.4423335653e-03
5.2380952381e-01   1.7255519070e-02
5.3968253968e-01   2.1220191117e-02
5.5555555556e-01   1.6954103044e-02
5.7142857143e-01   8.6467386397e-03
5.8730158730e-01   1.3491512607e-03
6.0317460317e-01   1.9199001891e-03
6.1904761905e-01   1.5623193696e-03
6.3492063492e-01   5.4493798808e-04
6.5079365079e-01   1.9552133918e-03
6.6666666667e-01   6.5887697262e-03
6.8253968254e-01   1.2131185882e-02
6.9841269841e-01   1.4474377433e-02
7.1428571429e-01   1.0373040368e-02
7.3015873016e-01   1.8643333959e-04
7.4603174603e-01   1.3383549436e-02
7.6190476190e-01   2.3189260925e-02
7.7777777778e-01   2.4398404365e-02
7.9365079365e-01   1.5432674216e-02
8.0952380952e-01   6.2105076515e-04
8.2539682540e-01   1.7325468480e-02
8.4126984127e-01   2.7887891650e-02
8.5714285714e-01   2.8278330795e-02
8.7301587302e-01   1.8888370967e-02
8.8888888889e-01   3.9847829637e-03
9.0476190476e-01   1.0590988592e-02
9.2063492063e-01   2.0160161283e-02
9.3650793651e-01   2.2965963501e-02
9.5238095238e-01   2.0186236722e-02
9.6825396825e-01   1.4445975335e-02
9.8412698413e-01   7.9210278953e-03
1.0000000000e+00   1.2816917607e-03
