X    Y
0.0000000000e+00   3.9711555954e-02
1.5873015873e-02   5.1134724045e-02
3.1746031746e-02   6.4800369431e-02
4.7619047619e-02   8.0828698866e-02
6.3492063492e-02   9.9253208538e-02
7.9365079365e-02   1.1999924279e-01
9.5238095238e-02   1.4286673429e-01
1.1111111111e-01   1.6751955469e-01
1.2698412698e-01   1.9348361806e-01
1.4285714286e-01   2.2015527798e-01
1.5873015873e-01   2.4682067881e-01
1.7460317460e-01   2.7268564791e-01
1.9047619048e-01   2.9691457425e-01
2.0634920635e-01   3.1867565520e-01
2.2222222222e-01   3.3718905229e-01
2.3809523810e-01   3.5177400045e-01
2.5396825397e-01   3.6189084251e-01
2.6984126984e-01   3.6717433372e-01
2.8571428571e-01   3.6745534514e-01
3.0158730159e-01   3.6276919372e-01
3.1746031746e-01   3.5335010833e-01
3.3333333333e-01   3.3961264591e-01
3.4920634921e-01   3.2212204368e-01
3.6507936508e-01   3.0155640122e-01
3.8095238095e-01   2.7866413934e-01
3.9682539683e-01   2.5422034556e-01
4.1269841270e-01   2.2898540233e-01
4.2857142857e-01   2.0366876231e-01
4.4444444444e-01   1.7889997615e-01
4.6031746032e-01   1.5520820164e-01
4.7619047619e-01   1.3301053981e-01
4.9206349206e-01   1.1260875224e-01
5.0793650794e-01   9.4193285373e-02
5.2380952381e-01   7.7853104939e-02
5.3968253968e-01   6.3589634303e-02
5.5555555556e-01   5.1333079577e-02
5.7142857143e-01   4.0959572670e-02
5.8730158730e-01   3.2307822745e-02
6.0317460317e-01   2.5194285242e-02
6.1904761905e-01   1.9426189935e-02
6.3492063492e-01   1.4812080758e-02
6.5079365079e-01   1.1169786831e-02
6.6666666667e-01   8.3319539616e-03
6.8253968254e-01   6.1494158881e-03
6.9841269841e-01   4.4927785108e-03
7.1428571429e-01   3.2526369512e-03
7.3015873016e-01   2.3388543017e-03
7.4603174603e-01   1.6793102355e-03
7.6190476190e-01   1.2184841324e-03
7.7777777778e-01   9.1617816066e-04
7.9365079365e-01   7.4661988254e-04
8.0952380952e-01   6.9812029758e-04
8.2539682540e-01   7.7340447270e-04
8.4126984127e-01   9.9067245380e-04
8.5714285714e-01   1.3853776553e-03
8.7301587302e-01   2.0126199607e-03
8.8888888889e-01   2.9499407385e-03
9.0476190476e-01   4.3001830221e-03
9.2063492063e-01   6.1939508148e-03
9.3650793651e-01   8.7910775883e-03
9.5238095238e-01   1.2280411478e-02
9.6825396825e-01   1.6877169348e-02
9.8412698413e-01   2.2817139357e-02
1.0000000000e+00   3.0347156386e-02
