X    Y
0.0000000000e+00   3.5926622558e-03
1.5873015873e-02   4.9192546740e-03
3.1746031746e-02   6.7537019556e-03
4.7619047619e-02   9.2176318251e-03
6.3492063492e-02   1.2453363175e-02
7.9365079365e-02   1.6621254347e-02
9.5238095238e-02   2.1895154608e-02
1.1111111111e-01   2.8455679099e-02
1.2698412698e-01   3.6481179896e-02
1.4285714286e-01   4.6136495315e-02
1.5873015873e-01   5.7559814638e-02
1.7460317460e-01   7.0848275222e-02
1.9047619048e-01   8.6043184173e-02
2.0634920635e-01   1.0311599238e-01
2.2222222222e-01   1.2195630743e-01
2.3809523810e-01   1.4236328037e-01
2.5396825397e-01   1.6404161413e-01
2.6984126984e-01   1.8660320774e-01
2.8571428571e-01   2.0957507747e-01
3.0158730159e-01   2.3241370797e-01
3.1746031746e-01   2.5452542822e-01
3.3333333333e-01   2.7529183423e-01
3.4920634921e-01   2.9409875695e-01
3.6507936508e-01   3.1036686217e-01
3.8095238095e-01   3.2358172118e-01
3.9682539683e-01   3.3332114227e-01
4.1269841270e-01   3.3927771508e-01
4.2857142857e-01   3.4127488084e-01
4.4444444444e-01   3.3927536401e-01
4.6031746032e-01   3.3338143068e-01
4.7619047619e-01   3.2382710852e-01
4.9206349206e-01   3.1096314219e-01
5.0793650794e-01   2.9523600323e-01
5.2380952381e-01   2.7716267311e-01
5.3968253968e-01   2.5730314150e-01
5.5555555556e-01   2.3623259856e-01
5.7142857143e-01   2.1451516094e-01
5.8730158730e-01   1.9268068644e-01
6.0317460317e-01   1.7120584228e-01
6.1904761905e-01   1.5050014725e-01
6.3492063492e-01   1.3089725529e-01
6.5079365079e-01   1.1265133215e-01
6.6666666667e-01   9.5938030665e-02
6.8253968254e-01   8.0859315670e-02
6.9841269841e-01   6.7451235380e-02
7.1428571429e-01   5.5693680494e-02
7.3015873016e-01   4.5521202487e-02
7.4603174603e-01   3.6834061244e-02
7.6190476190e-01   2.9508817531e-02
7.7777777778e-01   2.3407956424e-02
7.9365079365e-01   1.8388204118e-02
8.0952380952e-01   1.4307366641e-02
8.2539682540e-01   1.1029663669e-02
8.4126984127e-01   8.4296469145e-03
8.5714285714e-01   6.3948780028e-03
8.7301587302e-01   4.8275956829e-03
8.8888888889e-01   3.6456296116e-03
9.0476190476e-01   2.7828214391e-03
9.2063492063e-01   2.1891976862e-03
9.3650793651e-01   1.8311063999e-03
9.5238095238e-01   1.6914835698e-03
9.6825396825e-01   1.7703576698e-03
9.8412698413e-01   2.0856328871e-03
1.0000000000e+00   2.6741151400e-03
