X    Y
0.0000000000e+00   4.7960853080e-02
1.5873015873e-02   5.4893950900e-02
3.1746031746e-02   6.2624824167e-02
4.7619047619e-02   7.1133349570e-02
6.3492063492e-02   8.0385281284e-02
7.9365079365e-02   9.0330586300e-02
9.5238095238e-02   1.0090220991e-01
1.1111111111e-01   1.1201536759e-01
1.2698412698e-01   1.2356744375e-01
1.4285714286e-01   1.3543855647e-01
1.5873015873e-01   1.4749282146e-01
1.7460317460e-01   1.5958031827e-01
1.9047619048e-01   1.7153973006e-01
2.0634920635e-01   1.8320159465e-01
2.2222222222e-01   1.9439207324e-01
2.3809523810e-01   2.0493711412e-01
2.5396825397e-01   2.1466686471e-01
2.6984126984e-01   2.2342016786e-01
2.8571428571e-01   2.3104896850e-01
3.0158730159e-01   2.3742245527e-01
3.1746031746e-01   2.4243076967e-01
3.3333333333e-01   2.4598813120e-01
3.4920634921e-01   2.4803525110e-01
3.6507936508e-01   2.4854093783e-01
3.8095238095e-01   2.4750283286e-01
3.9682539683e-01   2.4494725385e-01
4.1269841270e-01   2.4092816094e-01
4.2857142857e-01   2.3552529994e-01
4.4444444444e-01   2.2884161018e-01
4.6031746032e-01   2.2100001365e-01
4.7619047619e-01   2.1213972484e-01
4.9206349206e-01   2.0241223505e-01
5.0793650794e-01   1.9197713238e-01
5.2380952381e-01   1.8099791716e-01
5.3968253968e-01   1.6963796447e-01
5.5555555556e-01   1.5805677030e-01
5.7142857143e-01   1.4640659794e-01
5.8730158730e-01   1.3482961699e-01
6.0317460317e-01   1.2345560109e-01
6.1904761905e-01   1.1240022360e-01
6.3492063492e-01   1.0176396369e-01
6.5079365079e-01   9.1631610903e-02
6.6666666667e-01   8.2072334279e-02
6.8253968254e-01   7.3140264035e-02
6.9841269841e-01   6.4875519214e-02
7.1428571429e-01   5.7305604490e-02
7.3015873016e-01   5.0447092769e-02
7.4603174603e-01   4.4307507358e-02
7.6190476190e-01   3.8887317612e-02
7.7777777778e-01   3.4181964732e-02
7.9365079365e-01   3.0183839045e-02
8.0952380952e-01   2.6884136311e-02
8.2539682540e-01   2.4274527763e-02
8.4126984127e-01   2.2348586503e-02
8.5714285714e-01   2.1102921277e-02
8.7301587302e-01   2.0537977542e-02
8.8888888889e-01   2.0658475056e-02
9.0476190476e-01   2.1473461246e-02
9.2063492063e-01   2.2995970279e-02
9.3650793651e-01   2.5242289444e-02
9.5238095238e-01   2.8230847028e-02
9.6825396825e-01   3.1980749352e-02
9.8412698413e-01   3.6510008908e-02
1.0000000000e+00   4.1833520053e-02
