X    Y
0.0000000000e+00   -2.0952093967e+00
1.5873015873e-02   -1.9239907082e+00
3.1746031746e-02   -2.0296237644e+00
4.7619047619e-02   -2.7250872208e+00
6.3492063492e-02   -2.1610482044e+00
7.9365079365e-02   -1.8794406707e+00
9.5238095238e-02   -1.8354228805e+00
1.1111111111e-01   -1.9564822655e+00
1.2698412698e-01   -2.3324273106e+00
1.4285714286e-01   -2.8623286131e+00
1.5873015873e-01   -2.3828647341e+00
1.7460317460e-01   -2.6315595634e+00
1.9047619048e-01   -2.4778152862e+00
2.0634920635e-01   -1.9785872859e+00
2.2222222222e-01   -1.7880838700e+00
2.3809523810e-01   -1.7332680333e+00
2.5396825397e-01   -1.7821206273e+00
2.6984126984e-01   -1.9336497248e+00
2.8571428571e-01   -2.1972495609e+00
3.0158730159e-01   -2.5023359252e+00
3.1746031746e-01   -2.4516925877e+00
3.3333333333e-01   -2.1324001696e+00
3.4920634921e-01   -1.8865411220e+00
3.6507936508e-01   -1.7469840223e+00
3.8095238095e-01   -1.7003890553e+00
3.9682539683e-01   -1.7418414327e+00
4.1269841270e-01   -1.8777877271e+00
4.2857142857e-01   -2.1226265261e+00
4.4444444444e-01   -2.4434983438e+00
4.6031746032e-01   -2.4952945165e+00
4.7619047619e-01   -2.1902457480e+00
4.9206349206e-01   -1.9242743340e+00
5.0793650794e-01   -1.7641337824e+00
5.2380952381e-01   -1.6963583038e+00
5.3968253968e-01   -1.7148152425e+00
5.5555555556e-01   -1.8291831908e+00
5.7142857143e-01   -2.0739614825e+00
5.8730158730e-01   -2.5304622483e+00
6.0317460317e-01   -2.9393841515e+00
6.1904761905e-01   -2.3603992842e+00
6.3492063492e-01   -1.9399482979e+00
6.5079365079e-01   -1.7158177010e+00
6.6666666667e-01   -1.6253639907e+00
6.8253968254e-01   -1.6517356633e+00
6.9841269841e-01   -1.8148644137e+00
7.1428571429e-01   -2.2362571078e+00
7.3015873016e-01   -2.7265669968e+00
7.4603174603e-01   -2.3730921507e+00
7.6190476190e-01   -3.4461681235e+00
7.7777777778e-01   -2.1135489334e+00
7.9365079365e-01   -1.7969807786e+00
8.0952380952e-01   -1.6904291357e+00
8.2539682540e-01   -1.7282153436e+00
8.4126984127e-01   -1.9511410062e+00
8.5714285714e-01   -3.1472827134e+00
8.7301587302e-01   -2.0707964136e+00
8.8888888889e-01   -1.9028265200e+00
9.0476190476e-01   -2.0228400510e+00
9.2063492063e-01   -3.1343821404e+00
9.3650793651e-01   -2.0132437716e+00
9.5238095238e-01   -1.7734493271e+00
9.6825396825e-01   -1.7619216615e+00
9.8412698413e-01   -1.9612236579e+00
1.0000000000e+00   -3.0429248693e+00
