X    Y
0.0000000000e+00   4.3779948167e-01
1.5873015873e-02   4.2225330899e-01
3.1746031746e-02   3.9934314368e-01
4.7619047619e-02   3.7016271432e-01
6.3492063492e-02   3.3623569195e-01
7.9365079365e-02   2.9941102196e-01
9.5238095238e-02   2.6153499221e-01
1.1111111111e-01   2.2413259946e-01
1.2698412698e-01   1.8831552160e-01
1.4285714286e-01   1.5490263421e-01
1.5873015873e-01   1.2455251882e-01
1.7460317460e-01   9.7757454658e-02
1.9047619048e-01   7.4744013969e-02
2.0634920635e-01   5.5431787662e-02
2.2222222222e-01   3.9523893478e-02
2.3809523810e-01   2.6657123941e-02
2.5396825397e-01   1.6486854764e-02
2.6984126984e-01   8.6639057534e-03
2.8571428571e-01   2.7827168202e-03
3.0158730159e-01   -1.5919618272e-03
3.1746031746e-01   -4.8184881381e-03
3.3333333333e-01   -7.1107253022e-03
3.4920634921e-01   -8.6036861764e-03
3.6507936508e-01   -9.4868097368e-03
3.8095238095e-01   -1.0040530666e-02
3.9682539683e-01   -1.0513257706e-02
4.1269841270e-01   -1.0967603498e-02
4.2857142857e-01   -1.1278595412e-02
4.4444444444e-01   -1.1313737274e-02
4.6031746032e-01   -1.1126793903e-02
4.7619047619e-01   -1.0962007141e-02
4.9206349206e-01   -1.1041666573e-02
5.0793650794e-01   -1.1339013107e-02
5.2380952381e-01   -1.1584468785e-02
5.3968253968e-01   -1.1532271104e-02
5.5555555556e-01   -1.1227991032e-02
5.7142857143e-01   -1.0982730779e-02
5.8730158730e-01   -1.1050098965e-02
6.0317460317e-01   -1.1321469745e-02
6.1904761905e-01   -1.1353600565e-02
6.3492063492e-01   -1.0711533803e-02
6.5079365079e-01   -9.2873777211e-03
6.6666666667e-01   -7.2659160301e-03
6.8253968254e-01   -4.7453179219e-03
6.9841269841e-01   -1.3668673961e-03
7.1428571429e-01   3.6780436486e-03
7.3015873016e-01   1.1250954665e-02
7.4603174603e-01   2.1856083482e-02
7.6190476190e-01   3.5611647490e-02
7.7777777778e-01   5.2605181469e-02
7.9365079365e-01   7.3233217497e-02
8.0952380952e-01   9.8133197354e-02
8.2539682540e-01   1.2771886254e-01
8.4126984127e-01   1.6171613437e-01
8.5714285714e-01   1.9909389181e-01
8.7301587302e-01   2.3841476442e-01
8.8888888889e-01   2.7825539139e-01
9.0476190476e-01   3.1731759140e-01
9.2063492063e-01   3.5419449502e-01
9.3650793651e-01   3.8712820663e-01
9.5238095238e-01   4.1411728511e-01
9.6825396825e-01   4.3338060373e-01
9.8412698413e-01   4.4382856776e-01
1.0000000000e+00   4.4519359540e-01
