X    Y
0.0000000000e+00   -2.1351249770e+00
1.5873015873e-02   -2.1735091783e+00
3.1746031746e-02   -2.1825080670e+00
4.7619047619e-02   -2.1438131265e+00
6.3492063492e-02   -2.0952291446e+00
7.9365079365e-02   -2.0775218603e+00
9.5238095238e-02   -2.0979445966e+00
1.1111111111e-01   -2.1286131546e+00
1.2698412698e-01   -2.1273215769e+00
1.4285714286e-01   -2.0876997739e+00
1.5873015873e-01   -2.0474924621e+00
1.7460317460e-01   -2.0392060769e+00
1.9047619048e-01   -2.0635715975e+00
2.0634920635e-01   -2.0905735686e+00
2.2222222222e-01   -2.0844823696e+00
2.3809523810e-01   -2.0484364702e+00
2.5396825397e-01   -2.0199916974e+00
2.6984126984e-01   -2.0264613724e+00
2.8571428571e-01   -2.0649160528e+00
3.0158730159e-01   -2.1035858231e+00
3.1746031746e-01   -2.1079354505e+00
3.3333333333e-01   -2.0847436315e+00
3.4920634921e-01   -2.0730982241e+00
3.6507936508e-01   -2.0982969771e+00
3.8095238095e-01   -2.1507744512e+00
3.9682539683e-01   -2.1871215087e+00
4.1269841270e-01   -2.1708306105e+00
4.2857142857e-01   -2.1250211663e+00
4.4444444444e-01   -2.0978820567e+00
4.6031746032e-01   -2.1089858917e+00
4.7619047619e-01   -2.1392884576e+00
4.9206349206e-01   -2.1456743348e+00
5.0793650794e-01   -2.1090005646e+00
5.2380952381e-01   -2.0611326159e+00
5.3968253968e-01   -2.0406729004e+00
5.5555555556e-01   -2.0571470270e+00
5.7142857143e-01   -2.0876076980e+00
5.8730158730e-01   -2.0933789171e+00
6.0317460317e-01   -2.0636741056e+00
6.1904761905e-01   -2.0302903098e+00
6.3492063492e-01   -2.0261330956e+00
6.5079365079e-01   -2.0560295917e+00
6.6666666667e-01   -2.0936282367e+00
6.8253968254e-01   -2.1009362825e+00
6.9841269841e-01   -2.0740651511e+00
7.1428571429e-01   -2.0492834395e+00
7.3015873016e-01   -2.0577410973e+00
7.4603174603e-01   -2.0995075929e+00
7.6190476190e-01   -2.1417447827e+00
7.7777777778e-01   -2.1445653140e+00
7.9365079365e-01   -2.1130603332e+00
8.0952380952e-01   -2.0908142892e+00
8.2539682540e-01   -2.1072702809e+00
8.4126984127e-01   -2.1557440730e+00
8.5714285714e-01   -2.1946956065e+00
8.7301587302e-01   -2.1844677582e+00
8.8888888889e-01   -2.1431458642e+00
9.0476190476e-01   -2.1201239611e+00
9.2063492063e-01   -2.1398698015e+00
9.3650793651e-01   -2.1869623037e+00
9.5238095238e-01   -2.2132284582e+00
9.6825396825e-01   -2.1865120925e+00
9.8412698413e-01   -2.1378166582e+00
1.0000000000e+00   -2.1153795939e+00
