X    Y
0.0000000000e+00   -9.0386290291e+00
1.5873015873e-02   -9.1095494667e+00
3.1746031746e-02   -8.8309451156e+00
4.7619047619e-02   -9.7396218103e+00
6.3492063492e-02   -8.8480348932e+00
7.9365079365e-02   -8.9390979759e+00
9.5238095238e-02   -9.1525846933e+00
1.1111111111e-01   -8.7737800064e+00
1.2698412698e-01   -9.3847613619e+00
1.4285714286e-01   -8.8291333666e+00
1.5873015873e-01   -8.8383298054e+00
1.7460317460e-01   -9.2572045224e+00
1.9047619048e-01   -8.7189323388e+00
2.0634920635e-01   -9.1465945681e+00
2.2222222222e-01   -8.8864459871e+00
2.3809523810e-01   -8.5484381685e+00
2.5396825397e-01   -8.2715994363e+00
2.6984126984e-01   -7.6796227390e+00
2.8571428571e-01   -7.0198502104e+00
3.0158730159e-01   -6.4546695188e+00
3.1746031746e-01   -5.9319301565e+00
3.3333333333e-01   -5.4496335524e+00
3.4920634921e-01   -5.0118723960e+00
3.6507936508e-01   -4.6180827627e+00
3.8095238095e-01   -4.2679098824e+00
3.9682539683e-01   -3.9615114224e+00
4.1269841270e-01   -3.6989112482e+00
4.2857142857e-01   -3.4800688044e+00
4.4444444444e-01   -3.3049895914e+00
4.6031746032e-01   -3.1736853797e+00
4.7619047619e-01   -3.0861496629e+00
4.9206349206e-01   -3.0423789372e+00
5.0793650794e-01   -3.0423789373e+00
5.2380952381e-01   -3.0861496630e+00
5.3968253968e-01   -3.1736853798e+00
5.5555555556e-01   -3.3049895915e+00
5.7142857143e-01   -3.4800688046e+00
5.8730158730e-01   -3.6989112484e+00
6.0317460317e-01   -3.9615114227e+00
6.1904761905e-01   -4.2679098828e+00
6.3492063492e-01   -4.6180827631e+00
6.5079365079e-01   -5.0118723964e+00
6.6666666667e-01   -5.4496335529e+00
6.8253968254e-01   -5.9319301570e+00
6.9841269841e-01   -6.4546695191e+00
7.1428571429e-01   -7.0198502116e+00
7.3015873016e-01   -7.6796227380e+00
7.4603174603e-01   -8.2715994476e+00
7.6190476190e-01   -8.5484381600e+00
7.7777777778e-01   -8.8864459365e+00
7.9365079365e-01   -9.1465945303e+00
8.0952380952e-01   -8.7189323290e+00
8.2539682540e-01   -9.2572044937e+00
8.4126984127e-01   -8.8383297851e+00
8.5714285714e-01   -8.8291333971e+00
8.7301587302e-01   -9.3847614071e+00
8.8888888889e-01   -8.7737800134e+00
9.0476190476e-01   -9.1525846498e+00
9.2063492063e-01   -8.9390979566e+00
9.3650793651e-01   -8.8480348966e+00
9.5238095238e-01   -9.7396217832e+00
9.6825396825e-01   -8.8309451154e+00
9.8412698413e-01   -9.1095494663e+00
1.0000000000e+00   -9.0386289890e+00
