X    Y
0.0000000000e+00   2.5595306745e-02
1.5873015873e-02   2.7105831380e-02
3.1746031746e-02   2.8469255821e-02
4.7619047619e-02   2.9501159574e-02
6.3492063492e-02   3.0946418488e-02
7.9365079365e-02   3.3851601590e-02
9.5238095238e-02   3.8636141579e-02
1.1111111111e-01   4.4838237588e-02
1.2698412698e-01   5.1795770330e-02
1.4285714286e-01   5.9531874521e-02
1.5873015873e-01   6.8897229607e-02
1.7460317460e-01   8.0806893519e-02
1.9047619048e-01   9.5367716507e-02
2.0634920635e-01   1.1180957885e-01
2.2222222222e-01   1.2928512834e-01
2.3809523810e-01   1.4768440321e-01
2.5396825397e-01   1.6759340750e-01
2.6984126984e-01   1.8942909816e-01
2.8571428571e-01   2.1265448592e-01
3.0158730159e-01   2.3589749953e-01
3.1746031746e-01   2.5785150996e-01
3.3333333333e-01   2.7802272257e-01
3.4920634921e-01   2.9656550561e-01
3.6507936508e-01   3.1342077624e-01
3.8095238095e-01   3.2771287721e-01
3.9682539683e-01   3.3808504928e-01
4.1269841270e-01   3.4365548104e-01
4.2857142857e-01   3.4461156185e-01
4.4444444444e-01   3.4183266879e-01
4.6031746032e-01   3.3594798935e-01
4.7619047619e-01   3.2682115320e-01
4.9206349206e-01   3.1398986205e-01
5.0793650794e-01   2.9756901100e-01
5.2380952381e-01   2.7863078224e-01
5.3968253968e-01   2.5862847882e-01
5.5555555556e-01   2.3844521744e-01
5.7142857143e-01   2.1804887975e-01
5.8730158730e-01   1.9709623168e-01
6.0317460317e-01   1.7582712349e-01
6.1904761905e-01   1.5528519678e-01
6.3492063492e-01   1.3661805954e-01
6.5079365079e-01   1.2018947395e-01
6.6666666667e-01   1.0544082156e-01
6.8253968254e-01   9.1650820164e-02
6.9841269841e-01   7.8794812930e-02
7.1428571429e-01   6.7601024961e-02
7.3015873016e-01   5.8751780564e-02
7.4603174603e-01   5.2083886284e-02
7.6190476190e-01   4.6645675604e-02
7.7777777778e-01   4.1563642718e-02
7.9365079365e-01   3.6814243998e-02
8.0952380952e-01   3.3093291137e-02
8.2539682540e-01   3.0926075748e-02
8.4126984127e-01   2.9962478477e-02
8.5714285714e-01   2.9205981867e-02
8.7301587302e-01   2.7939111981e-02
8.8888888889e-01   2.6371612815e-02
9.0476190476e-01   2.5328925263e-02
9.2063492063e-01   2.5310026348e-02
9.3650793651e-01   2.5908143200e-02
9.5238095238e-01   2.6204428039e-02
9.6825396825e-01   2.5718275765e-02
9.8412698413e-01   2.4911799202e-02
1.0000000000e+00   2.4718226575e-02
