X    Y
0.0000000000e+00   9.1489440337e-10
1.5873015873e-02   7.7705280653e-10
3.1746031746e-02   -1.4758930388e-09
4.7619047619e-02   1.8212861866e-10
6.3492063492e-02   1.4189435410e-09
7.9365079365e-02   -1.1505403718e-09
9.5238095238e-02   -7.0373909018e-10
1.1111111111e-01   1.6835997448e-09
1.2698412698e-01   -4.1150295280e-10
1.4285714286e-01   -1.4737249446e-09
1.5873015873e-01   1.5275635886e-09
1.7460317460e-01   1.1885833722e-09
1.9047619048e-01   2.8594761701e-09
2.0634920635e-01   3.3079506698e-08
2.2222222222e-01   1.9987387659e-07
2.3809523810e-01   1.0986899785e-06
2.5396825397e-01   5.5191151791e-06
2.6984126984e-01   2.5029803237e-05
2.8571428571e-01   1.0260703242e-04
3.0158730159e-01   3.8034103077e-04
3.1746031746e-01   1.2746745910e-03
3.3333333333e-01   3.8623690105e-03
3.4920634921e-01   1.0581329733e-02
3.6507936508e-01   2.6209471477e-02
3.8095238095e-01   5.8695861831e-02
3.9682539683e-01   1.1884695367e-01
4.1269841270e-01   2.1757049340e-01
4.2857142857e-01   3.6011670993e-01
4.4444444444e-01   5.3891204517e-01
4.6031746032e-01   7.2916171545e-01
4.7619047619e-01   8.9199243267e-01
4.9206349206e-01   9.8657435758e-01
5.0793650794e-01   9.8657435758e-01
5.2380952381e-01   8.9199243267e-01
5.3968253968e-01   7.2916171545e-01
5.5555555556e-01   5.3891204517e-01
5.7142857143e-01   3.6011670993e-01
5.8730158730e-01   2.1757049340e-01
6.0317460317e-01   1.1884695367e-01
6.1904761905e-01   5.8695861831e-02
6.3492063492e-01   2.6209471477e-02
6.5079365079e-01   1.0581329733e-02
6.6666666667e-01   3.8623690105e-03
6.8253968254e-01   1.2746745910e-03
6.9841269841e-01   3.8034103077e-04
7.1428571429e-01   1.0260703242e-04
7.3015873016e-01   2.5029803237e-05
7.4603174603e-01   5.5191151792e-06
7.6190476190e-01   1.0986899785e-06
7.7777777778e-01   1.9987387674e-07
7.9365079365e-01   3.3079506760e-08
8.0952380952e-01   2.8594761270e-09
8.2539682540e-01   1.1885834087e-09
8.4126984127e-01   1.5275636563e-09
8.5714285714e-01   -1.4737248405e-09
8.7301587302e-01   -4.1150290989e-10
8.8888888889e-01   1.6835997178e-09
9.0476190476e-01   -7.0373916074e-10
9.2063492063e-01   -1.1505404231e-09
9.3650793651e-01   1.4189435298e-09
9.5238095238e-01   1.8212863003e-10
9.6825396825e-01   -1.4758930394e-09
9.8412698413e-01   7.7705280718e-10
1.0000000000e+00   9.1489448773e-10
