X    Y
0.0000000000e+00   -9.8505831660e-30
1.0000000000e+00   1.1731132085e-30
2.0000000000e+00   8.4145191644e-15
3.0000000000e+00   -1.7763568394e-15
4.0000000000e+00   -7.1088968046e-15
5.0000000000e+00   1.5392033574e-14
6.0000000000e+00   2.8254153235e-15
7.0000000000e+00   -2.8254067161e-15
8.0000000000e+00   4.7640304022e-15
9.0000000000e+00   8.3366015110e-15
1.0000000000e+01   -8.9296856042e-15
1.1000000000e+01   5.2673105932e-15
1.2000000000e+01   -6.1033349811e-21
1.3000000000e+01   2.8420966837e-21
1.4000000000e+01   7.5779414623e-16
1.5000000000e+01   1.1850956411e-15
1.6000000000e+01   -1.2429089126e-14
1.7000000000e+01   5.7575491730e-15
1.8000000000e+01   4.7818697706e-15
1.9000000000e+01   3.2332135145e-15
2.0000000000e+01   -2.3995520417e-14
2.1000000000e+01   1.6001914639e-14
2.2000000000e+01   1.4957282930e-15
2.3000000000e+01   -7.0110131065e-15
2.4000000000e+01   -7.2674483663e-16
2.5000000000e+01   -2.9036248800e-15
2.6000000000e+01   -7.2196310894e-15
2.7000000000e+01   2.8424994378e-14
2.8000000000e+01   2.3773140400e-16
2.9000000000e+01   -2.3773141164e-16
3.0000000000e+01   4.9103270330e-15
3.1000000000e+01   6.6444165782e-15
3.2000000000e+01   -2.6573407912e-15
3.3000000000e+01   2.3574831277e-15
3.4000000000e+01   -2.0443105341e-15
3.5000000000e+01   1.8222659301e-15
3.6000000000e+01   8.3809544917e-16
3.7000000000e+01   3.7156090573e-15
3.8000000000e+01   1.7263077934e-15
3.9000000000e+01   -2.1444320565e-15
4.0000000000e+01   -6.2738585485e-15
4.1000000000e+01   7.6068088047e-16
4.2000000000e+01   -1.7434456102e-15
4.3000000000e+01   1.6859962395e-16
4.4000000000e+01   -1.1482733335e-14
4.5000000000e+01   -6.9264351156e-15
4.6000000000e+01   -4.2040318245e-15
4.7000000000e+01   1.9072612055e-15
4.8000000000e+01   3.9189711146e-16
4.9000000000e+01   -3.9189710983e-16
5.0000000000e+01   -5.6842494449e-15
5.1000000000e+01   2.4646026913e-15
5.2000000000e+01   -2.0433702335e-15
5.3000000000e+01   -1.7763568394e-15
5.4000000000e+01   -8.3960616237e-16
5.5000000000e+01   -1.9750717176e-15
5.6000000000e+01   -6.1859155955e-18
5.7000000000e+01   3.6060622688e-18
5.8000000000e+01   -2.9955306385e-17
5.9000000000e+01   1.3382204651e-17
6.0000000000e+01   -4.0703898729e-30
6.1000000000e+01   3.3463350778e-15
6.2000000000e+01   -2.8229846566e-15
6.3000000000e+01   -1.4136197435e-15
6.4000000000e+01   9.3681417316e-16
6.5000000000e+01   6.1608023091e-16
6.6000000000e+01   1.1102230246e-15
6.7000000000e+01   -1.7296819359e-15
6.8000000000e+01   -1.5400894578e-16
6.9000000000e+01   -7.3418252072e-16
7.0000000000e+01   2.4184037810e-16
7.1000000000e+01   8.1289544767e-16
7.2000000000e+01   4.2176779353e-16
7.3000000000e+01   -3.7361868281e-16
7.4000000000e+01   1.3184271479e-15
7.5000000000e+01   -1.3184091901e-15
7.6000000000e+01   1.0821669258e-17
7.7000000000e+01   -1.0615654897e-17
7.8000000000e+01   -5.2945694005e-16
7.9000000000e+01   3.5294138470e-16
8.0000000000e+01   7.0480625478e-16
8.1000000000e+01   -5.0185008059e-16
8.2000000000e+01   1.4135726086e-16
8.3000000000e+01   -1.4140822364e-16
8.4000000000e+01   8.6613004929e-17
8.5000000000e+01   2.6842924071e-16
8.6000000000e+01   -1.8799873499e-15
8.7000000000e+01   1.1997781241e-15
8.8000000000e+01   -1.0136471909e-15
8.9000000000e+01   2.2370632141e-16
9.0000000000e+01   -1.9123240985e-15
9.1000000000e+01   1.3572125862e-15
9.2000000000e+01   3.6130754162e-16
9.3000000000e+01   -1.6307697670e-16
9.4000000000e+01   6.6100101868e-17
9.5000000000e+01   4.4432830782e-16
9.6000000000e+01   -5.0719126831e-16
9.7000000000e+01   9.0270822084e-16
9.8000000000e+01   3.3158805215e-16
9.9000000000e+01   -3.3158703781e-16
1.0000000000e+02   3.0791697993e-16
1.0100000000e+02   4.1521827713e-16
1.0200000000e+02   -2.5741489553e-16
1.0300000000e+02   -5.4144245851e-16
1.0400000000e+02   -9.0051669891e-16
1.0500000000e+02   -7.9295756332e-16
1.0600000000e+02   -3.7614323264e-16
1.0700000000e+02   8.4586911960e-16
1.0800000000e+02   3.2774496216e-16
1.0900000000e+02   5.3664380745e-16
1.1000000000e+02   9.1941344087e-16
1.1100000000e+02   2.4988820502e-17
1.1200000000e+02   -4.3637098043e-17
1.1300000000e+02   9.8206579158e-16
1.1400000000e+02   5.4621029156e-16
1.1500000000e+02   -5.2264581809e-16
1.1600000000e+02   -8.3594117294e-16
1.1700000000e+02   -4.0832453773e-16
1.1800000000e+02   -2.8222883693e-16
1.1900000000e+02   -3.7852941366e-16
1.2000000000e+02   3.7851869534e-16
1.2100000000e+02   2.8216586155e-16
1.2200000000e+02   2.1510571102e-16
1.2300000000e+02   5.3494535190e-16
1.2400000000e+02   -3.5388358910e-16
1.2500000000e+02   -5.1532129258e-16
1.2600000000e+02   -0.0000000000e+00
1.2700000000e+02   -0.0000000000e+00
