X    Y
0.0000000000e+00   -1.0479101259e+02
1.0000000000e+00   1.0479101259e+02
2.0000000000e+00   8.9794658466e+01
3.0000000000e+00   -8.9794658466e+01
4.0000000000e+00   -8.9794658466e+01
5.0000000000e+00   8.9794658466e+01
6.0000000000e+00   -1.0479101259e+02
7.0000000000e+00   1.0479101259e+02
8.0000000000e+00   7.8518811087e+01
9.0000000000e+00   -7.8518811087e+01
1.0000000000e+01   -7.8518811087e+01
1.1000000000e+01   7.8518811087e+01
1.2000000000e+01   -5.4573979193e+01
1.3000000000e+01   5.4573979193e+01
1.4000000000e+01   6.9280437181e+01
1.5000000000e+01   -6.9280437181e+01
1.6000000000e+01   6.9280437181e+01
1.7000000000e+01   -6.9280437181e+01
1.8000000000e+01   -6.1415907814e+01
1.9000000000e+01   6.1415907814e+01
2.0000000000e+01   6.1415907814e+01
2.1000000000e+01   -6.1415907814e+01
2.2000000000e+01   4.8538953220e+01
2.3000000000e+01   -4.8538953220e+01
2.4000000000e+01   4.3165690060e+01
2.5000000000e+01   -4.3165690060e+01
2.6000000000e+01   -5.4573979193e+01
2.7000000000e+01   5.4573979193e+01
2.8000000000e+01   -4.8538953220e+01
2.9000000000e+01   4.8538953220e+01
3.0000000000e+01   -3.8350252555e+01
3.1000000000e+01   -4.3165690060e+01
3.2000000000e+01   3.8350252555e+01
3.3000000000e+01   4.3165690060e+01
3.4000000000e+01   3.4014765181e+01
3.5000000000e+01   -3.4014765181e+01
3.6000000000e+01   -2.6554364445e+01
3.7000000000e+01   -3.0098839099e+01
3.8000000000e+01   2.6554364445e+01
3.9000000000e+01   3.0098839099e+01
4.0000000000e+01   -3.8350252555e+01
4.1000000000e+01   3.8350252555e+01
4.2000000000e+01   -3.4014765181e+01
4.3000000000e+01   -2.3342170985e+01
4.4000000000e+01   3.4014765181e+01
4.5000000000e+01   2.3342170985e+01
4.6000000000e+01   3.0098839099e+01
4.7000000000e+01   -3.0098839099e+01
4.8000000000e+01   -2.6554364445e+01
4.9000000000e+01   2.6554364445e+01
5.0000000000e+01   -2.3342170985e+01
5.1000000000e+01   2.3342170985e+01
5.2000000000e+01   -2.0429791499e+01
5.3000000000e+01   2.0429791499e+01
5.4000000000e+01   2.0429791499e+01
5.5000000000e+01   -2.0429791499e+01
5.6000000000e+01   -1.3237755869e+01
5.7000000000e+01   1.3237755869e+01
5.8000000000e+01   -1.7789909264e+01
5.9000000000e+01   1.7789909264e+01
6.0000000000e+01   1.5399247700e+01
6.1000000000e+01   -1.7789909264e+01
6.2000000000e+01   -1.1287997821e+01
6.3000000000e+01   1.7789909264e+01
6.4000000000e+01   1.1287997821e+01
6.5000000000e+01   -1.5399247700e+01
6.6000000000e+01   -1.5399247700e+01
6.7000000000e+01   1.5399247700e+01
6.8000000000e+01   -1.3237755869e+01
6.9000000000e+01   1.3237755869e+01
7.0000000000e+01   -9.5346860042e+00
7.1000000000e+01   9.5346860042e+00
7.2000000000e+01   -1.1287997821e+01
7.3000000000e+01   1.1287997821e+01
7.4000000000e+01   -9.5346860042e+00
7.5000000000e+01   9.5346860042e+00
7.6000000000e+01   -7.9643187674e+00
7.7000000000e+01   7.9643187674e+00
7.8000000000e+01   -6.5648945593e+00
7.9000000000e+01   6.5648945593e+00
8.0000000000e+01   -6.5648945593e+00
8.1000000000e+01   6.5648945593e+00
8.2000000000e+01   -7.9643187674e+00
8.3000000000e+01   7.9643187674e+00
8.4000000000e+01   -5.3256836093e+00
8.5000000000e+01   5.3256836093e+00
8.6000000000e+01   -5.3256836093e+00
8.7000000000e+01   5.3256836093e+00
8.8000000000e+01   -4.2370433693e+00
8.9000000000e+01   4.2370433693e+00
9.0000000000e+01   -4.2370433693e+00
9.1000000000e+01   4.2370433693e+00
9.2000000000e+01   3.2902677284e+00
9.3000000000e+01   -3.2902677284e+00
9.4000000000e+01   2.4774626186e+00
9.5000000000e+01   -2.4774626186e+00
9.6000000000e+01   2.4774626186e+00
9.7000000000e+01   -2.4774626186e+00
9.8000000000e+01   -3.2902677284e+00
9.9000000000e+01   3.2902677284e+00
1.0000000000e+02   1.7914424640e+00
1.0100000000e+02   1.7914424640e+00
1.0200000000e+02   -1.7914424640e+00
1.0300000000e+02   -1.9176983334e-01
1.0400000000e+02   -1.9176728158e-01
1.0500000000e+02   -5.1468248382e-02
1.0600000000e+02   -5.0919592684e-02
1.0700000000e+02   5.1468248382e-02
1.0800000000e+02   5.0919592684e-02
1.0900000000e+02   1.9176983334e-01
1.1000000000e+02   1.9176728158e-01
1.1100000000e+02   -3.3857939035e-03
1.1200000000e+02   3.3857939035e-03
1.1300000000e+02   -4.3112655884e-01
1.1400000000e+02   -4.3112656534e-01
1.1500000000e+02   4.3112656534e-01
1.1600000000e+02   4.3112655884e-01
1.1700000000e+02   -1.7914424640e+00
1.1800000000e+02   7.7404867073e-01
1.1900000000e+02   7.7404867074e-01
1.2000000000e+02   -7.7404867074e-01
1.2100000000e+02   -7.7404867073e-01
1.2200000000e+02   -1.2256432292e+00
1.2300000000e+02   -1.2256432292e+00
1.2400000000e+02   1.2256432292e+00
1.2500000000e+02   1.2256432292e+00
1.2600000000e+02   0.0000000000e+00
1.2700000000e+02   0.0000000000e+00
