X    Y
-1.0000000000e+00   0.0000000000e+00
-9.8425196850e-01   -6.2301144256e+47
-9.6850393701e-01   3.4266494063e+47
-9.5275590551e-01   1.5346446446e+48
-9.3700787402e-01   -5.1607557280e+47
-9.2125984252e-01   -1.7799698812e+48
-9.0551181102e-01   5.0081491861e+47
-8.8976377953e-01   1.5058413512e+48
-8.7401574803e-01   -3.7834246540e+47
-8.5826771654e-01   -1.0318080917e+48
-8.4251968504e-01   2.3769916389e+47
-8.2677165354e-01   5.9912003884e+47
-8.1102362205e-01   -1.2833277013e+47
-7.9527559055e-01   -3.0218517923e+47
-7.7952755906e-01   6.0700362904e+46
-7.6377952756e-01   1.3445108779e+47
-7.4803149606e-01   -2.5470078205e+46
-7.3228346457e-01   -5.3319019411e+46
-7.1653543307e-01   9.5633922599e+45
-7.0078740157e-01   1.8984419692e+46
-6.8503937008e-01   -3.2331905215e+45
-6.6929133858e-01   -6.1011645989e+45
-6.5354330709e-01   9.8869707555e+44
-6.3779527559e-01   1.7767466848e+45
-6.2204724409e-01   -2.7438887882e+44
-6.0629921260e-01   -4.7020528557e+44
-5.9055118110e-01   6.9280585925e+43
-5.7480314961e-01   1.1332055029e+44
-5.5905511811e-01   -1.5942807499e+43
-5.4330708661e-01   -2.4907265904e+43
-5.2755905512e-01   3.3476923998e+42
-5.1181102362e-01   4.9974796278e+42
-4.9606299213e-01   -6.4189693584e+41
-4.8031496063e-01   -9.1580320547e+41
-4.6456692913e-01   1.1242301798e+41
-4.4881889764e-01   1.5329501929e+41
-4.3307086614e-01   -1.7983953498e+40
-4.1732283465e-01   -2.3432736626e+40
-4.0157480315e-01   2.6264935331e+39
-3.8582677165e-01   3.2691688087e+39
-3.7007874016e-01   -3.4995272925e+38
-3.5433070866e-01   -4.1589458026e+38
-3.3858267717e-01   4.2494087005e+37
-3.2283464567e-01   4.8187823666e+37
-3.0708661417e-01   -4.6961525470e+36
-2.9133858268e-01   -5.0773854724e+36
-2.7559055118e-01   4.7153524647e+35
-2.5984251969e-01   4.8561116232e+35
-2.4409448819e-01   -4.2930375505e+34
-2.2834645669e-01   -4.2065157426e+34
-2.1259842520e-01   3.5350568758e+33
-1.9685039370e-01   3.2895747217e+33
-1.8110236220e-01   -2.6491434870e+32
-1.6535433071e-01   -2.3295255932e+32
-1.4960629921e-01   1.7538741076e+31
-1.3385826772e-01   1.4662808649e+31
-1.1811023622e-01   -1.5112418607e+30
-1.0236220472e-01   -1.5218755018e+30
-8.6614173228e-02   -4.3906507485e+29
-7.0866141732e-02   -7.3173331042e+28
-5.5118110236e-02   1.4538544546e+29
-3.9370078740e-02   2.1375182246e+29
-2.3622047244e-02   1.8473282844e+29
-7.8740157480e-03   1.5519423131e+29
7.8740157480e-03   1.4345629356e+29
2.3622047244e-02   1.1582195297e+29
3.9370078740e-02   5.8110088913e+28
5.5118110236e-02   -4.4544990219e+27
7.0866141732e-02   -4.0761487270e+28
8.6614173228e-02   -4.4144709575e+28
1.0236220472e-01   -2.8710258707e+28
1.1811023622e-01   -1.0279592355e+28
1.3385826772e-01   3.0517204964e+27
1.4960629921e-01   9.3800040200e+27
1.6535433071e-01   9.9263243626e+27
1.8110236220e-01   7.3660830703e+27
1.9685039370e-01   4.2235425314e+27
2.1259842520e-01   1.7940094692e+27
2.2834645669e-01   3.2733280097e+26
2.4409448819e-01   -3.3846603222e+26
2.5984251969e-01   -4.7537150072e+26
2.7559055118e-01   -3.7170107815e+26
2.9133858268e-01   -2.3057954527e+26
3.0708661417e-01   -1.2815472203e+26
3.2283464567e-01   -6.5941772114e+25
3.3858267717e-01   -3.0633958057e+25
3.5433070866e-01   -1.2749120255e+25
3.7007874016e-01   -5.0926972334e+24
3.8582677165e-01   -2.1739674813e+24
4.0157480315e-01   -9.8120959797e+23
4.1732283465e-01   -4.0594034484e+23
4.3307086614e-01   -1.3338218679e+23
4.4881889764e-01   -3.0804798783e+22
4.6456692913e-01   -4.2187644311e+21
4.8031496063e-01   -2.1329768287e+20
4.9606299213e-01   7.1164473912e+18
5.1181102362e-01   -4.2791184372e+17
5.2755905512e-01   5.7866825083e+16
5.4330708661e-01   -1.0942132005e+16
5.5905511811e-01   2.5791673870e+15
5.7480314961e-01   -7.1506924025e+14
5.9055118110e-01   2.2517907369e+14
6.0629921260e-01   -7.8713719591e+13
6.2204724409e-01   3.0060004603e+13
6.3779527559e-01   -1.2396703864e+13
6.5354330709e-01   5.4722645538e+12
6.6929133858e-01   -2.5674536014e+12
6.8503937008e-01   1.2726937051e+12
7.0078740157e-01   -6.6304028338e+11
7.1653543307e-01   3.6128405780e+11
7.3228346457e-01   -2.0496860033e+11
7.4803149606e-01   1.2056083226e+11
7.6377952756e-01   -7.3230674537e+10
7.7952755906e-01   4.5764472849e+10
7.9527559055e-01   -2.9332287458e+10
8.1102362205e-01   1.9214367805e+10
8.2677165354e-01   -1.2846658884e+10
8.4251968504e-01   8.7173608346e+09
8.5826771654e-01   -6.0389184021e+09
8.7401574803e-01   4.1869996280e+09
8.8976377953e-01   -3.0176599222e+09
9.0551181102e-01   2.0776296380e+09
9.2125984252e-01   -1.6149251804e+09
9.3700787402e-01   1.0136244776e+09
9.5275590551e-01   -9.6616950785e+08
9.6850393701e-01   4.1153432149e+08
9.8425196850e-01   -7.0779739375e+08
1.0000000000e+00   0.0000000000e+00
