X    Y
-1.0000000000e+00   0.0000000000e+00
-9.8425196850e-01   2.1652580241e-05
-9.6850393701e-01   -2.5286860118e-05
-9.5275590551e-01   -4.1225028306e-05
-9.3700787402e-01   2.5555466395e-05
-9.2125984252e-01   2.8285691924e-05
-9.0551181102e-01   -1.2979912890e-05
-8.8976377953e-01   -1.1141918846e-05
-8.7401574803e-01   4.0701046088e-06
-8.5826771654e-01   2.8919422676e-06
-8.4251968504e-01   -8.6856921865e-07
-8.2677165354e-01   -4.5518184110e-07
-8.1102362205e-01   9.6730702375e-08
-7.9527559055e-01   1.1711451484e-07
-7.7952755906e-01   -5.5468933582e-08
-7.6377952756e-01   7.8959560355e-08
-7.4803149606e-01   -7.5917181801e-08
-7.3228346457e-01   1.3472431535e-07
-7.1653543307e-01   -1.4600195242e-07
-7.0078740157e-01   2.4261959498e-07
-6.8503937008e-01   -3.0939376613e-07
-6.6929133858e-01   5.1575827124e-07
-6.5354330709e-01   -7.7449408160e-07
-6.3779527559e-01   1.3876740815e-06
-6.2204724409e-01   -2.5314826897e-06
-6.0629921260e-01   5.4061654495e-06
-5.9055118110e-01   -1.3263066748e-05
-5.7480314961e-01   4.1911937838e-05
-5.5905511811e-01   -2.0052478716e-04
-5.4330708661e-01   2.8467836795e-03
-5.2755905512e-01   2.6114865286e-02
-5.1181102362e-01   7.5523931763e-02
-4.9606299213e-01   1.1470444112e-01
-4.8031496063e-01   1.0948449486e-01
-4.6456692913e-01   7.7141758997e-02
-4.4881889764e-01   5.0620006138e-02
-4.3307086614e-01   3.7598636541e-02
-4.1732283465e-01   3.1319840275e-02
-4.0157480315e-01   2.7400561450e-02
-3.8582677165e-01   2.4607330021e-02
-3.7007874016e-01   2.2500569083e-02
-3.5433070866e-01   2.0847766853e-02
-3.3858267717e-01   1.9514923909e-02
-3.2283464567e-01   1.8417520792e-02
-3.0708661417e-01   1.7499410510e-02
-2.9133858268e-01   1.6721596494e-02
-2.7559055118e-01   1.6056082654e-02
-2.5984251969e-01   1.5482205866e-02
-2.4409448819e-01   1.4984368647e-02
-2.2834645669e-01   1.4550572814e-02
-2.1259842520e-01   1.4171442389e-02
-1.9685039370e-01   1.3839553308e-02
-1.8110236220e-01   1.3548962857e-02
-1.6535433071e-01   1.3294872418e-02
-1.4960629921e-01   1.3073381525e-02
-1.3385826772e-01   1.2881305786e-02
-1.1811023622e-01   1.2716040435e-02
-1.0236220472e-01   1.2575457061e-02
-8.6614173228e-02   1.2457824934e-02
-7.0866141732e-02   1.2361750891e-02
-5.5118110236e-02   1.2286133518e-02
-3.9370078740e-02   1.2230128561e-02
-2.3622047244e-02   1.2193123421e-02
-7.8740157480e-03   1.2174719185e-02
7.8740157480e-03   1.2174719185e-02
2.3622047244e-02   1.2193123421e-02
3.9370078740e-02   1.2230128561e-02
5.5118110236e-02   1.2286133518e-02
7.0866141732e-02   1.2361750891e-02
8.6614173228e-02   1.2457824934e-02
1.0236220472e-01   1.2575457061e-02
1.1811023622e-01   1.2716040435e-02
1.3385826772e-01   1.2881305786e-02
1.4960629921e-01   1.3073381525e-02
1.6535433071e-01   1.3294872418e-02
1.8110236220e-01   1.3548962857e-02
1.9685039370e-01   1.3839553308e-02
2.1259842520e-01   1.4171442389e-02
2.2834645669e-01   1.4550572814e-02
2.4409448819e-01   1.4984368647e-02
2.5984251969e-01   1.5482205866e-02
2.7559055118e-01   1.6056082654e-02
2.9133858268e-01   1.6721596494e-02
3.0708661417e-01   1.7499410510e-02
3.2283464567e-01   1.8417520792e-02
3.3858267717e-01   1.9514923909e-02
3.5433070866e-01   2.0847766853e-02
3.7007874016e-01   2.2500569083e-02
3.8582677165e-01   2.4607330021e-02
4.0157480315e-01   2.7400561450e-02
4.1732283465e-01   3.1319840275e-02
4.3307086614e-01   3.7598636541e-02
4.4881889764e-01   5.0620006138e-02
4.6456692913e-01   7.7141758997e-02
4.8031496063e-01   1.0948449486e-01
4.9606299213e-01   1.1470444112e-01
5.1181102362e-01   7.5523931763e-02
5.2755905512e-01   2.6114865286e-02
5.4330708661e-01   2.8467836795e-03
5.5905511811e-01   -2.0052478716e-04
5.7480314961e-01   4.1911937838e-05
5.9055118110e-01   -1.3263066748e-05
6.0629921260e-01   5.4061654495e-06
6.2204724409e-01   -2.5314826897e-06
6.3779527559e-01   1.3876740815e-06
6.5354330709e-01   -7.7449408160e-07
6.6929133858e-01   5.1575827124e-07
6.8503937008e-01   -3.0939376613e-07
7.0078740157e-01   2.4261959498e-07
7.1653543307e-01   -1.4600195242e-07
7.3228346457e-01   1.3472431535e-07
7.4803149606e-01   -7.5917181801e-08
7.6377952756e-01   7.8959560355e-08
7.7952755906e-01   -5.5468933582e-08
7.9527559055e-01   1.1711451484e-07
8.1102362205e-01   9.6730702375e-08
8.2677165354e-01   -4.5518184110e-07
8.4251968504e-01   -8.6856921865e-07
8.5826771654e-01   2.8919422676e-06
8.7401574803e-01   4.0701046088e-06
8.8976377953e-01   -1.1141918846e-05
9.0551181102e-01   -1.2979912890e-05
9.2125984252e-01   2.8285691924e-05
9.3700787402e-01   2.5555466395e-05
9.5275590551e-01   -4.1225028306e-05
9.6850393701e-01   -2.5286860118e-05
9.8425196850e-01   2.1652580241e-05
1.0000000000e+00   0.0000000000e+00
