X    Y
-1.0000000000e+00   0.0000000000e+00
-9.8425196850e-01   3.2474443586e-03
-9.6850393701e-01   -5.3789609220e-03
-9.5275590551e-01   -6.0977529750e-03
-9.3700787402e-01   5.3512162851e-03
-9.2125984252e-01   4.1093481846e-03
-9.0551181102e-01   -2.6685469249e-03
-8.8976377953e-01   -1.5933878010e-03
-8.7401574803e-01   8.2231725385e-04
-8.5826771654e-01   3.9948951599e-04
-8.4251968504e-01   -1.6811542269e-04
-8.2677165354e-01   -6.7737346570e-05
-8.1102362205e-01   2.3446320089e-05
-7.9527559055e-01   7.9982629991e-06
-7.7952755906e-01   -2.3014345967e-06
-7.6377952756e-01   -5.5063536607e-07
-7.4803149606e-01   8.2682276309e-08
-7.3228346457e-01   1.6574225566e-07
-7.1653543307e-01   -1.2507452410e-07
-7.0078740157e-01   2.0846853411e-07
-6.8503937008e-01   -2.2665095786e-07
-6.6929133858e-01   3.8264424937e-07
-6.5354330709e-01   -4.9379976793e-07
-6.3779527559e-01   8.4708685482e-07
-6.2204724409e-01   -1.3216959810e-06
-6.0629921260e-01   2.5177870481e-06
-5.9055118110e-01   -5.0821038412e-06
-5.7480314961e-01   1.2756305133e-05
-5.5905511811e-01   -4.2090243526e-05
-5.4330708661e-01   2.5157320332e-04
-5.2755905512e-01   2.0202111701e-02
-5.1181102362e-01   7.6987409809e-02
-4.9606299213e-01   1.2503158019e-01
-4.8031496063e-01   1.1454690038e-01
-4.6456692913e-01   7.3991538554e-02
-4.4881889764e-01   4.7239754833e-02
-4.3307086614e-01   3.6379497991e-02
-4.1732283465e-01   3.0816647281e-02
-4.0157480315e-01   2.7071300681e-02
-3.8582677165e-01   2.4376271823e-02
-3.7007874016e-01   2.2322722384e-02
-3.5433070866e-01   2.0704645213e-02
-3.3858267717e-01   1.9395024260e-02
-3.2283464567e-01   1.8314300123e-02
-3.0708661417e-01   1.7408499055e-02
-2.9133858268e-01   1.6640101151e-02
-2.7559055118e-01   1.5981944831e-02
-2.5984251969e-01   1.5413939574e-02
-2.4409448819e-01   1.4920859609e-02
-2.2834645669e-01   1.4490969651e-02
-2.1259842520e-01   1.4115078651e-02
-1.9685039370e-01   1.3785897917e-02
-1.8110236220e-01   1.3497584807e-02
-1.6535433071e-01   1.3245416238e-02
-1.4960629921e-01   1.3025549398e-02
-1.3385826772e-01   1.2834844427e-02
-1.1811023622e-01   1.2670731211e-02
-1.0236220472e-01   1.2531108435e-02
-8.6614173228e-02   1.2414266569e-02
-7.0866141732e-02   1.2318828962e-02
-5.5118110236e-02   1.2243706890e-02
-3.9370078740e-02   1.2188065611e-02
-2.3622047244e-02   1.2151299304e-02
-7.8740157480e-03   1.2133013420e-02
7.8740157480e-03   1.2133013420e-02
2.3622047244e-02   1.2151299304e-02
3.9370078740e-02   1.2188065611e-02
5.5118110236e-02   1.2243706890e-02
7.0866141732e-02   1.2318828962e-02
8.6614173228e-02   1.2414266569e-02
1.0236220472e-01   1.2531108435e-02
1.1811023622e-01   1.2670731211e-02
1.3385826772e-01   1.2834844427e-02
1.4960629921e-01   1.3025549398e-02
1.6535433071e-01   1.3245416238e-02
1.8110236220e-01   1.3497584807e-02
1.9685039370e-01   1.3785897917e-02
2.1259842520e-01   1.4115078651e-02
2.2834645669e-01   1.4490969651e-02
2.4409448819e-01   1.4920859609e-02
2.5984251969e-01   1.5413939574e-02
2.7559055118e-01   1.5981944831e-02
2.9133858268e-01   1.6640101151e-02
3.0708661417e-01   1.7408499055e-02
3.2283464567e-01   1.8314300123e-02
3.3858267717e-01   1.9395024260e-02
3.5433070866e-01   2.0704645213e-02
3.7007874016e-01   2.2322722384e-02
3.8582677165e-01   2.4376271823e-02
4.0157480315e-01   2.7071300681e-02
4.1732283465e-01   3.0816647281e-02
4.3307086614e-01   3.6379497991e-02
4.4881889764e-01   4.7239754833e-02
4.6456692913e-01   7.3991538554e-02
4.8031496063e-01   1.1454690038e-01
4.9606299213e-01   1.2503158019e-01
5.1181102362e-01   7.6987409809e-02
5.2755905512e-01   2.0202111701e-02
5.4330708661e-01   2.5157320332e-04
5.5905511811e-01   -4.2090243526e-05
5.7480314961e-01   1.2756305133e-05
5.9055118110e-01   -5.0821038412e-06
6.0629921260e-01   2.5177870481e-06
6.2204724409e-01   -1.3216959810e-06
6.3779527559e-01   8.4708685481e-07
6.5354330709e-01   -4.9379976793e-07
6.6929133858e-01   3.8264424937e-07
6.8503937008e-01   -2.2665095786e-07
7.0078740157e-01   2.0846853412e-07
7.1653543307e-01   -1.2507452410e-07
7.3228346457e-01   1.6574225567e-07
7.4803149606e-01   8.2682276309e-08
7.6377952756e-01   -5.5063536607e-07
7.7952755906e-01   -2.3014345967e-06
7.9527559055e-01   7.9982629991e-06
8.1102362205e-01   2.3446320089e-05
8.2677165354e-01   -6.7737346570e-05
8.4251968504e-01   -1.6811542269e-04
8.5826771654e-01   3.9948951599e-04
8.7401574803e-01   8.2231725385e-04
8.8976377953e-01   -1.5933878010e-03
9.0551181102e-01   -2.6685469249e-03
9.2125984252e-01   4.1093481846e-03
9.3700787402e-01   5.3512162851e-03
9.5275590551e-01   -6.0977529750e-03
9.6850393701e-01   -5.3789609220e-03
9.8425196850e-01   3.2474443586e-03
1.0000000000e+00   0.0000000000e+00
