X    Y
-1.0000000000e+00   0.0000000000e+00
-9.8425196850e-01   -8.8879482843e-04
-9.6850393701e-01   1.6153575430e-04
-9.5275590551e-01   1.5064244800e-03
-9.3700787402e-01   -1.3672707622e-04
-9.2125984252e-01   -8.1596850747e-04
-9.0551181102e-01   5.1986675023e-05
-8.8976377953e-01   2.2799678954e-04
-8.7401574803e-01   -1.0950050555e-05
-8.5826771654e-01   -3.6845865592e-05
-8.4251968504e-01   1.3843228137e-06
-8.2677165354e-01   3.5335077451e-06
-8.1102362205e-01   -6.8427320998e-08
-7.9527559055e-01   -2.7721472996e-07
-7.7952755906e-01   8.8135726517e-08
-7.6377952756e-01   -1.4918600948e-07
-7.4803149606e-01   2.4733212299e-07
-7.3228346457e-01   -5.0398465120e-07
-7.1653543307e-01   1.0644834400e-06
-7.0078740157e-01   -2.8206870085e-06
-6.8503937008e-01   9.5412477663e-06
-6.6929133858e-01   -5.1411260024e-05
-6.5354330709e-01   9.2315063133e-04
-6.3779527559e-01   9.0582919919e-03
-6.2204724409e-01   3.1087811460e-02
-6.0629921260e-01   6.0443109941e-02
-5.9055118110e-01   7.9264747597e-02
-5.7480314961e-01   7.8870489740e-02
-5.5905511811e-01   6.6850084803e-02
-5.4330708661e-01   5.4270495661e-02
-5.2755905512e-01   4.5731162912e-02
-5.1181102362e-01   4.0710116736e-02
-4.9606299213e-01   3.7682527241e-02
-4.8031496063e-01   3.5705483206e-02
-4.6456692913e-01   3.4345492918e-02
-4.4881889764e-01   3.3398940848e-02
-4.3307086614e-01   3.2755756198e-02
-4.1732283465e-01   3.2349423213e-02
-4.0157480315e-01   3.2137210398e-02
-3.8582677165e-01   3.2090837743e-02
-3.7007874016e-01   3.2191480150e-02
-3.5433070866e-01   3.2426886970e-02
-3.3858267717e-01   3.2789645860e-02
-3.2283464567e-01   3.3276112932e-02
-3.0708661417e-01   3.3885756025e-02
-2.9133858268e-01   3.4620770098e-02
-2.7559055118e-01   3.5485883613e-02
-2.5984251969e-01   3.6488308547e-02
-2.4409448819e-01   3.7637806347e-02
-2.2834645669e-01   3.8946853820e-02
-2.1259842520e-01   4.0430899136e-02
-1.9685039370e-01   4.2108699943e-02
-1.8110236220e-01   4.4002732511e-02
-1.6535433071e-01   4.6139651240e-02
-1.4960629921e-01   4.8550758846e-02
-1.3385826772e-01   5.1272414314e-02
-1.1811023622e-01   5.4346252253e-02
-1.0236220472e-01   5.7819006482e-02
-8.6614173228e-02   6.1741617100e-02
-7.0866141732e-02   6.6167155043e-02
-5.5118110236e-02   7.1146938718e-02
-3.9370078740e-02   7.6724091254e-02
-2.3622047244e-02   8.2923787614e-02
-7.8740157480e-03   8.9739714444e-02
7.8740157480e-03   9.7116991110e-02
2.3622047244e-02   1.0493311752e-01
3.9370078740e-02   1.1298038657e-01
5.5118110236e-02   1.2095523974e-01
7.0866141732e-02   1.2846140723e-01
8.6614173228e-02   1.3503317399e-01
1.0236220472e-01   1.4018171146e-01
1.1811023622e-01   1.4346100681e-01
1.3385826772e-01   1.4454202759e-01
1.4960629921e-01   1.4327749003e-01
1.6535433071e-01   1.3973847960e-01
1.8110236220e-01   1.3421013623e-01
1.9685039370e-01   1.2714536060e-01
2.1259842520e-01   1.1908851964e-01
2.2834645669e-01   1.1058985532e-01
2.4409448819e-01   1.0213212317e-01
2.5984251969e-01   9.4084220788e-02
2.7559055118e-01   8.6685998717e-02
2.9133858268e-01   8.0058929484e-02
3.0708661417e-01   7.4232143880e-02
3.2283464567e-01   6.9173078772e-02
3.3858267717e-01   6.4814994560e-02
3.5433070866e-01   6.1077608393e-02
3.7007874016e-01   5.7880333316e-02
3.8582677165e-01   5.5149445514e-02
4.0157480315e-01   5.2821075396e-02
4.1732283465e-01   5.0841731936e-02
4.3307086614e-01   4.9167594898e-02
4.4881889764e-01   4.7763337173e-02
4.6456692913e-01   4.6600886426e-02
4.8031496063e-01   4.5658313092e-02
4.9606299213e-01   4.4918909254e-02
5.1181102362e-01   4.4370463271e-02
5.2755905512e-01   4.4004709842e-02
5.4330708661e-01   4.3816926300e-02
5.5905511811e-01   4.3805642784e-02
5.7480314961e-01   4.3972430452e-02
5.9055118110e-01   4.4321723542e-02
6.0629921260e-01   4.4860613692e-02
6.2204724409e-01   4.5598522465e-02
6.3779527559e-01   4.6546601732e-02
6.5354330709e-01   4.7716618580e-02
6.6929133858e-01   4.9118933800e-02
6.8503937008e-01   5.0758960553e-02
7.0078740157e-01   5.2631179295e-02
7.1653543307e-01   5.4709409700e-02
7.3228346457e-01   5.6931727162e-02
7.4803149606e-01   5.9178525350e-02
7.6377952756e-01   6.1243577590e-02
7.7952755906e-01   6.2801977381e-02
7.9527559055e-01   6.3387356979e-02
8.1102362205e-01   6.2404337548e-02
8.2677165354e-01   5.9215771982e-02
8.4251968504e-01   5.3341426053e-02
8.5826771654e-01   4.4757327140e-02
8.7401574803e-01   3.4177798414e-02
8.8976377953e-01   2.3087575107e-02
9.0551181102e-01   1.3319372887e-02
9.2125984252e-01   6.2706816305e-03
9.3700787402e-01   2.2610450445e-03
9.5275590551e-01   5.6441907875e-04
9.6850393701e-01   7.9628814197e-05
9.8425196850e-01   3.0992632753e-06
1.0000000000e+00   0.0000000000e+00
