X    Y
0.0000000000e+00   2.8389581320e-01
1.0000000000e+00   2.7214429697e-01
2.0000000000e+00   2.6039385164e-01
3.0000000000e+00   2.4866425713e-01
4.0000000000e+00   2.3697509753e-01
5.0000000000e+00   2.2534571906e-01
6.0000000000e+00   2.1379518856e-01
7.0000000000e+00   2.0234225265e-01
8.0000000000e+00   1.9100529763e-01
9.0000000000e+00   1.7980231025e-01
1.0000000000e+01   1.6875083935e-01
1.1000000000e+01   1.5786795858e-01
1.2000000000e+01   1.4717023015e-01
1.3000000000e+01   1.3667366981e-01
1.4000000000e+01   1.2639371306e-01
1.5000000000e+01   1.1634518266e-01
1.6000000000e+01   1.0654225758e-01
1.7000000000e+01   9.6998443403e-02
1.8000000000e+01   8.7726544274e-02
1.9000000000e+01   7.8738636408e-02
2.0000000000e+01   7.0046043291e-02
2.1000000000e+01   6.1659312578e-02
2.2000000000e+01   5.3588194746e-02
2.3000000000e+01   4.5841623559e-02
2.4000000000e+01   3.8427698384e-02
2.5000000000e+01   3.1353668394e-02
2.6000000000e+01   2.4625918696e-02
2.7000000000e+01   1.8249958413e-02
2.8000000000e+01   1.2230410750e-02
2.9000000000e+01   6.5710050541e-03
3.0000000000e+01   1.2745709034e-03
3.1000000000e+01   3.6569657801e-03
3.2000000000e+01   8.2225845741e-03
3.3000000000e+01   1.2422170357e-02
3.4000000000e+01   1.6256511065e-02
3.5000000000e+01   1.9727293418e-02
3.6000000000e+01   2.2837096611e-02
3.7000000000e+01   2.5589384001e-02
3.8000000000e+01   2.7988492796e-02
3.9000000000e+01   3.0039621781e-02
4.0000000000e+01   3.1748817093e-02
4.1000000000e+01   3.3122956101e-02
4.2000000000e+01   3.4169729402e-02
4.3000000000e+01   3.4897620995e-02
4.4000000000e+01   3.5315886661e-02
4.5000000000e+01   3.5434530613e-02
4.6000000000e+01   3.5264280455e-02
4.7000000000e+01   3.4816560520e-02
4.8000000000e+01   3.4103463633e-02
4.9000000000e+01   3.3137721377e-02
5.0000000000e+01   3.1932672916e-02
5.1000000000e+01   3.0502232455e-02
5.2000000000e+01   2.8860855405e-02
5.3000000000e+01   2.7023503331e-02
5.4000000000e+01   2.5005607763e-02
5.5000000000e+01   2.2823032950e-02
5.6000000000e+01   2.0492037635e-02
5.7000000000e+01   1.8029235955e-02
5.8000000000e+01   1.5451557529e-02
5.9000000000e+01   1.2776206845e-02
6.0000000000e+01   1.0020622027e-02
6.1000000000e+01   7.2024330750e-03
6.2000000000e+01   4.3394196767e-03
6.3000000000e+01   1.4494686789e-03
6.4000000000e+01   1.4494686789e-03
6.5000000000e+01   4.3394196767e-03
6.6000000000e+01   7.2024330750e-03
6.7000000000e+01   1.0020622027e-02
6.8000000000e+01   1.2776206845e-02
6.9000000000e+01   1.5451557529e-02
7.0000000000e+01   1.8029235955e-02
7.1000000000e+01   2.0492037635e-02
7.2000000000e+01   2.2823032950e-02
7.3000000000e+01   2.5005607763e-02
7.4000000000e+01   2.7023503331e-02
7.5000000000e+01   2.8860855404e-02
7.6000000000e+01   3.0502232455e-02
7.7000000000e+01   3.1932672916e-02
7.8000000000e+01   3.3137721377e-02
7.9000000000e+01   3.4103463633e-02
8.0000000000e+01   3.4816560520e-02
8.1000000000e+01   3.5264280455e-02
8.2000000000e+01   3.5434530613e-02
8.3000000000e+01   3.5315886661e-02
8.4000000000e+01   3.4897620995e-02
8.5000000000e+01   3.4169729402e-02
8.6000000000e+01   3.3122956101e-02
8.7000000000e+01   3.1748817093e-02
8.8000000000e+01   3.0039621781e-02
8.9000000000e+01   2.7988492796e-02
9.0000000000e+01   2.5589384001e-02
9.1000000000e+01   2.2837096611e-02
9.2000000000e+01   1.9727293418e-02
9.3000000000e+01   1.6256511065e-02
9.4000000000e+01   1.2422170357e-02
9.5000000000e+01   8.2225845741e-03
9.6000000000e+01   3.6569657801e-03
9.7000000000e+01   1.2745709034e-03
9.8000000000e+01   6.5710050540e-03
9.9000000000e+01   1.2230410750e-02
1.0000000000e+02   1.8249958413e-02
1.0100000000e+02   2.4625918696e-02
1.0200000000e+02   3.1353668394e-02
1.0300000000e+02   3.8427698384e-02
1.0400000000e+02   4.5841623559e-02
1.0500000000e+02   5.3588194746e-02
1.0600000000e+02   6.1659312578e-02
1.0700000000e+02   7.0046043291e-02
1.0800000000e+02   7.8738636407e-02
1.0900000000e+02   8.7726544274e-02
1.1000000000e+02   9.6998443403e-02
1.1100000000e+02   1.0654225758e-01
1.1200000000e+02   1.1634518266e-01
1.1300000000e+02   1.2639371306e-01
1.1400000000e+02   1.3667366981e-01
1.1500000000e+02   1.4717023015e-01
1.1600000000e+02   1.5786795858e-01
1.1700000000e+02   1.6875083935e-01
1.1800000000e+02   1.7980231025e-01
1.1900000000e+02   1.9100529763e-01
1.2000000000e+02   2.0234225265e-01
1.2100000000e+02   2.1379518856e-01
1.2200000000e+02   2.2534571906e-01
1.2300000000e+02   2.3697509753e-01
1.2400000000e+02   2.4866425713e-01
1.2500000000e+02   2.6039385164e-01
1.2600000000e+02   2.7214429697e-01
1.2700000000e+02   2.8389581320e-01
