X    Y
0.0000000000e+00   -1.4750469788e+01
1.0000000000e+00   -1.4565423686e+01
2.0000000000e+00   -1.4477468515e+01
3.0000000000e+00   -1.4436075830e+01
4.0000000000e+00   -1.4389332427e+01
5.0000000000e+00   -1.4328763057e+01
6.0000000000e+00   -1.4266615150e+01
7.0000000000e+00   -1.4226235988e+01
8.0000000000e+00   -1.4181901416e+01
9.0000000000e+00   -1.4162198081e+01
1.0000000000e+01   -1.4130138500e+01
1.1000000000e+01   -1.4101804902e+01
1.2000000000e+01   -1.4075207133e+01
1.3000000000e+01   -1.4062495168e+01
1.4000000000e+01   -1.4035511678e+01
1.5000000000e+01   -1.4016320287e+01
1.6000000000e+01   -1.4007646499e+01
1.7000000000e+01   -1.3990801943e+01
1.8000000000e+01   -1.3982039820e+01
1.9000000000e+01   -1.3970625379e+01
2.0000000000e+01   -1.3965028723e+01
2.1000000000e+01   -1.3958132826e+01
2.2000000000e+01   -1.3951344715e+01
2.3000000000e+01   -1.3950537226e+01
2.4000000000e+01   -1.3945191996e+01
2.5000000000e+01   -1.3947322200e+01
2.6000000000e+01   -1.3952288688e+01
2.7000000000e+01   -1.3953370031e+01
2.8000000000e+01   -1.3958338118e+01
2.9000000000e+01   -1.3962844679e+01
3.0000000000e+01   -1.3969447595e+01
3.1000000000e+01   -1.3978458398e+01
3.2000000000e+01   -1.3990359613e+01
3.3000000000e+01   -1.4005428560e+01
3.4000000000e+01   -1.4018044613e+01
3.5000000000e+01   -1.4034694874e+01
3.6000000000e+01   -1.4052688934e+01
3.7000000000e+01   -1.4074312234e+01
3.8000000000e+01   -1.4095939803e+01
3.9000000000e+01   -1.4121881319e+01
4.0000000000e+01   -1.4155680282e+01
4.1000000000e+01   -1.4184658850e+01
4.2000000000e+01   -1.4222698957e+01
4.3000000000e+01   -1.4266058719e+01
4.4000000000e+01   -1.4310520636e+01
4.5000000000e+01   -1.4362135420e+01
4.6000000000e+01   -1.4435254081e+01
4.7000000000e+01   -1.4507431739e+01
4.8000000000e+01   -1.4604826726e+01
4.9000000000e+01   -1.4713105550e+01
5.0000000000e+01   -1.4908289751e+01
5.1000000000e+01   -1.5127301289e+01
5.2000000000e+01   -1.6000000000e+01
5.3000000000e+01   -1.5313611713e+01
5.4000000000e+01   -1.4946522148e+01
5.5000000000e+01   -1.4781221369e+01
5.6000000000e+01   -1.4654238890e+01
5.7000000000e+01   -1.4560466561e+01
5.8000000000e+01   -1.4482244779e+01
5.9000000000e+01   -1.4423909923e+01
6.0000000000e+01   -1.4362135420e+01
6.1000000000e+01   -1.4326280681e+01
6.2000000000e+01   -1.4283503749e+01
6.3000000000e+01   -1.4255976169e+01
6.4000000000e+01   -1.4226235988e+01
6.5000000000e+01   -1.4205856794e+01
6.6000000000e+01   -1.4187144007e+01
6.7000000000e+01   -1.4174294966e+01
6.8000000000e+01   -1.4159905708e+01
6.9000000000e+01   -1.4146505457e+01
7.0000000000e+01   -1.4142512399e+01
7.1000000000e+01   -1.4140009254e+01
7.2000000000e+01   -1.4137313696e+01
7.3000000000e+01   -1.4140842034e+01
7.4000000000e+01   -1.4147350799e+01
7.5000000000e+01   -1.4158709753e+01
7.6000000000e+01   -1.4170373797e+01
7.7000000000e+01   -1.4185581899e+01
7.8000000000e+01   -1.4212749049e+01
7.9000000000e+01   -1.4229802063e+01
8.0000000000e+01   -1.4266058719e+01
8.1000000000e+01   -1.4302585309e+01
8.2000000000e+01   -1.4355252637e+01
8.3000000000e+01   -1.4423909923e+01
8.4000000000e+01   -1.4498793553e+01
8.5000000000e+01   -1.4606041537e+01
8.6000000000e+01   -1.4771319927e+01
8.7000000000e+01   -1.5031604954e+01
8.8000000000e+01   -1.6000000000e+01
8.9000000000e+01   -1.5074133475e+01
9.0000000000e+01   -1.4759902023e+01
9.1000000000e+01   -1.4551791227e+01
9.2000000000e+01   -1.4419533121e+01
9.3000000000e+01   -1.4301377256e+01
9.4000000000e+01   -1.4218940977e+01
9.5000000000e+01   -1.4142930996e+01
9.6000000000e+01   -1.4076058999e+01
9.7000000000e+01   -1.4017956271e+01
9.8000000000e+01   -1.3963917995e+01
9.9000000000e+01   -1.3917910982e+01
1.0000000000e+02   -1.3872477899e+01
1.0100000000e+02   -1.3829413594e+01
1.0200000000e+02   -1.3790422868e+01
1.0300000000e+02   -1.3754903142e+01
1.0400000000e+02   -1.3725900748e+01
1.0500000000e+02   -1.3693922233e+01
1.0600000000e+02   -1.3667207987e+01
1.0700000000e+02   -1.3637833371e+01
1.0800000000e+02   -1.3610197497e+01
1.0900000000e+02   -1.3588634048e+01
1.1000000000e+02   -1.3564759458e+01
1.1100000000e+02   -1.3546137799e+01
1.1200000000e+02   -1.3526050040e+01
1.1300000000e+02   -1.3506270005e+01
1.1400000000e+02   -1.3488092866e+01
1.1500000000e+02   -1.3473147142e+01
1.1600000000e+02   -1.3457660122e+01
1.1700000000e+02   -1.3442038777e+01
1.1800000000e+02   -1.3427927477e+01
1.1900000000e+02   -1.3417400544e+01
1.2000000000e+02   -1.3405893322e+01
1.2100000000e+02   -1.3395281759e+01
1.2200000000e+02   -1.3385215861e+01
1.2300000000e+02   -1.3377960522e+01
1.2400000000e+02   -1.3368283835e+01
1.2500000000e+02   -1.3363525163e+01
1.2600000000e+02   -1.3356894584e+01
1.2700000000e+02   -1.3347134747e+01
