X    Y
-1.0000000000e+00   0.0000000000e+00
-9.8425196850e-01   2.1586395208e-21
-9.6850393701e-01   4.9832470460e-19
-9.5275590551e-01   5.1435715413e-17
-9.3700787402e-01   3.1658175125e-15
-9.2125984252e-01   1.3073669759e-13
-9.0551181102e-01   3.8641790216e-12
-8.8976377953e-01   8.5149663801e-11
-8.7401574803e-01   1.4386662821e-09
-8.5826771654e-01   1.9022135384e-08
-8.4251968504e-01   1.9989661403e-07
-8.2677165354e-01   1.6898825276e-06
-8.1102362205e-01   1.1604591312e-05
-7.9527559055e-01   6.5251517439e-05
-7.7952755906e-01   3.0245717407e-04
-7.6377952756e-01   1.1625401802e-03
-7.4803149606e-01   3.7254273224e-03
-7.3228346457e-01   1.0006696349e-02
-7.1653543307e-01   2.2659810553e-02
-7.0078740157e-01   4.3555206982e-02
-6.8503937008e-01   7.1688897500e-02
-6.6929133858e-01   1.0224338829e-01
-6.5354330709e-01   1.2841540414e-01
-6.3779527559e-01   1.4511267083e-01
-6.2204724409e-01   1.5145837328e-01
-6.0629921260e-01   1.5017281512e-01
-5.9055118110e-01   1.4501557167e-01
-5.7480314961e-01   1.3875513510e-01
-5.5905511811e-01   1.3271807408e-01
-5.4330708661e-01   1.2729139908e-01
-5.2755905512e-01   1.2248331825e-01
-5.1181102362e-01   1.1821221963e-01
-4.9606299213e-01   1.1101456435e-01
-4.8031496063e-01   1.0796587851e-01
-4.6456692913e-01   1.0519283415e-01
-4.4881889764e-01   1.0266354101e-01
-4.3307086614e-01   1.0035104995e-01
-4.1732283465e-01   9.8232443263e-02
-4.0157480315e-01   9.6288118935e-02
-3.8582677165e-01   9.4501222455e-02
-3.7007874016e-01   9.2857192111e-02
-3.5433070866e-01   9.1343392331e-02
-3.3858267717e-01   8.9948815916e-02
-3.2283464567e-01   8.8663840640e-02
-3.0708661417e-01   8.7480029083e-02
-2.9133858268e-01   8.6389963077e-02
-2.7559055118e-01   8.5387106082e-02
-2.5984251969e-01   8.4465688238e-02
-2.4409448819e-01   8.3620609946e-02
-2.2834645669e-01   8.2847360690e-02
-2.1259842520e-01   8.2141950465e-02
-1.9685039370e-01   8.1500851708e-02
-1.8110236220e-01   8.0920950016e-02
-1.6535433071e-01   8.0399502286e-02
-1.4960629921e-01   7.9934101137e-02
-1.3385826772e-01   7.9522644710e-02
-1.1811023622e-01   7.9163311100e-02
-1.0236220472e-01   7.8854536800e-02
-8.6614173228e-02   7.8594998666e-02
-7.0866141732e-02   7.8383599005e-02
-5.5118110236e-02   7.8219453447e-02
-3.9370078740e-02   7.8101881359e-02
-2.3622047244e-02   7.8030398594e-02
-7.8740157480e-03   7.8004712428e-02
7.8740157480e-03   7.8004712428e-02
2.3622047244e-02   7.8030398594e-02
3.9370078740e-02   7.8101881359e-02
5.5118110236e-02   7.8219453447e-02
7.0866141732e-02   7.8383599005e-02
8.6614173228e-02   7.8594998666e-02
1.0236220472e-01   7.8854536800e-02
1.1811023622e-01   7.9163311100e-02
1.3385826772e-01   7.9522644710e-02
1.4960629921e-01   7.9934101137e-02
1.6535433071e-01   8.0399502286e-02
1.8110236220e-01   8.0920950016e-02
1.9685039370e-01   8.1500851708e-02
2.1259842520e-01   8.2141950465e-02
2.2834645669e-01   8.2847360690e-02
2.4409448819e-01   8.3620609946e-02
2.5984251969e-01   8.4465688238e-02
2.7559055118e-01   8.5387106082e-02
2.9133858268e-01   8.6389963077e-02
3.0708661417e-01   8.7480029083e-02
3.2283464567e-01   8.8663840640e-02
3.3858267717e-01   8.9948815916e-02
3.5433070866e-01   9.1343392331e-02
3.7007874016e-01   9.2857192111e-02
3.8582677165e-01   9.4501222455e-02
4.0157480315e-01   9.6288118935e-02
4.1732283465e-01   9.8232443263e-02
4.3307086614e-01   1.0035104995e-01
4.4881889764e-01   1.0266354101e-01
4.6456692913e-01   1.0519283415e-01
4.8031496063e-01   1.0796587851e-01
4.9606299213e-01   1.1101456435e-01
5.1181102362e-01   1.1821221963e-01
5.2755905512e-01   1.2248331825e-01
5.4330708661e-01   1.2729139908e-01
5.5905511811e-01   1.3271807408e-01
5.7480314961e-01   1.3875513510e-01
5.9055118110e-01   1.4501557167e-01
6.0629921260e-01   1.5017281512e-01
6.2204724409e-01   1.5145837328e-01
6.3779527559e-01   1.4511267083e-01
6.5354330709e-01   1.2841540414e-01
6.6929133858e-01   1.0224338829e-01
6.8503937008e-01   7.1688897500e-02
7.0078740157e-01   4.3555206982e-02
7.1653543307e-01   2.2659810553e-02
7.3228346457e-01   1.0006696349e-02
7.4803149606e-01   3.7254273224e-03
7.6377952756e-01   1.1625401802e-03
7.7952755906e-01   3.0245717407e-04
7.9527559055e-01   6.5251517439e-05
8.1102362205e-01   1.1604591312e-05
8.2677165354e-01   1.6898825276e-06
8.4251968504e-01   1.9989661403e-07
8.5826771654e-01   1.9022135384e-08
8.7401574803e-01   1.4386662821e-09
8.8976377953e-01   8.5149663801e-11
9.0551181102e-01   3.8641790216e-12
9.2125984252e-01   1.3073669759e-13
9.3700787402e-01   3.1658175125e-15
9.5275590551e-01   5.1435715413e-17
9.6850393701e-01   4.9832470460e-19
9.8425196850e-01   2.1586395208e-21
1.0000000000e+00   0.0000000000e+00
