X    Y
-1.0000000000e+00   -2.8257049263e+00
-9.8425196850e-01   -2.1312647190e+00
-9.6850393701e-01   -2.4922728076e+00
-9.5275590551e-01   -2.4192469175e+00
-9.3700787402e-01   -3.0706389522e+00
-9.2125984252e-01   -2.7982821694e+00
-9.0551181102e-01   -2.4194645455e+00
-8.8976377953e-01   -2.6246973152e+00
-8.7401574803e-01   -2.2116711070e+00
-8.5826771654e-01   -2.4682663371e+00
-8.4251968504e-01   -2.4488176266e+00
-8.2677165354e-01   -4.0336141908e+00
-8.1102362205e-01   -2.1399388812e+00
-7.9527559055e-01   -2.8821516427e+00
-7.7952755906e-01   -2.6044489377e+00
-7.6377952756e-01   -2.0194482511e+00
-7.4803149606e-01   -2.1629092993e+00
-7.3228346457e-01   -3.1196836628e+00
-7.1653543307e-01   -2.2661857454e+00
-7.0078740157e-01   -2.6972455795e+00
-6.8503937008e-01   -2.8689612026e+00
-6.6929133858e-01   -2.4473788468e+00
-6.5354330709e-01   -2.3834533547e+00
-6.3779527559e-01   -2.3084139949e+00
-6.2204724409e-01   -2.2612531805e+00
-6.0629921260e-01   -2.2019798969e+00
-5.9055118110e-01   -2.1364027340e+00
-5.7480314961e-01   -2.0733366782e+00
-5.5905511811e-01   -2.0293135245e+00
-5.4330708661e-01   -1.9952137469e+00
-5.2755905512e-01   -1.9315500460e+00
-5.1181102362e-01   -2.3989921719e+00
-4.9606299213e-01   -2.3199705137e+00
-4.8031496063e-01   -2.2845466540e+00
-4.6456692913e-01   -2.2665033033e+00
-4.4881889764e-01   -2.2585477600e+00
-4.3307086614e-01   -2.2572122695e+00
-4.1732283465e-01   -2.2601409666e+00
-4.0157480315e-01   -2.2654612028e+00
-3.8582677165e-01   -2.2716516278e+00
-3.7007874016e-01   -2.2775982056e+00
-3.5433070866e-01   -2.2826637627e+00
-3.3858267717e-01   -2.2866852827e+00
-3.2283464567e-01   -2.2898620358e+00
-3.0708661417e-01   -2.2925628251e+00
-2.9133858268e-01   -2.2951229086e+00
-2.7559055118e-01   -2.2977063201e+00
-2.5984251969e-01   -2.3002785033e+00
-2.4409448819e-01   -2.3026838532e+00
-2.2834645669e-01   -2.3047725907e+00
-2.1259842520e-01   -2.3064958087e+00
-1.9685039370e-01   -2.3079097930e+00
-1.8110236220e-01   -2.3090985085e+00
-1.6535433071e-01   -2.3100905769e+00
-1.4960629921e-01   -2.3108497855e+00
-1.3385826772e-01   -2.3113376320e+00
-1.1811023622e-01   -2.3115596564e+00
-1.0236220472e-01   -2.3115359621e+00
-8.6614173228e-02   -2.3112626115e+00
-7.0866141732e-02   -2.3107318217e+00
-5.5118110236e-02   -2.3099446181e+00
-3.9370078740e-02   -2.3089000221e+00
-2.3622047244e-02   -2.3075962291e+00
-7.8740157480e-03   -2.3060316598e+00
7.8740157480e-03   -2.3060316598e+00
2.3622047244e-02   -2.3075962291e+00
3.9370078740e-02   -2.3089000221e+00
5.5118110236e-02   -2.3099446181e+00
7.0866141732e-02   -2.3107318217e+00
8.6614173228e-02   -2.3112626115e+00
1.0236220472e-01   -2.3115359621e+00
1.1811023622e-01   -2.3115596564e+00
1.3385826772e-01   -2.3113376320e+00
1.4960629921e-01   -2.3108497855e+00
1.6535433071e-01   -2.3100905769e+00
1.8110236220e-01   -2.3090985085e+00
1.9685039370e-01   -2.3079097930e+00
2.1259842520e-01   -2.3064958087e+00
2.2834645669e-01   -2.3047725907e+00
2.4409448819e-01   -2.3026838532e+00
2.5984251969e-01   -2.3002785033e+00
2.7559055118e-01   -2.2977063201e+00
2.9133858268e-01   -2.2951229086e+00
3.0708661417e-01   -2.2925628251e+00
3.2283464567e-01   -2.2898620358e+00
3.3858267717e-01   -2.2866852827e+00
3.5433070866e-01   -2.2826637627e+00
3.7007874016e-01   -2.2775982056e+00
3.8582677165e-01   -2.2716516278e+00
4.0157480315e-01   -2.2654612028e+00
4.1732283465e-01   -2.2601409666e+00
4.3307086614e-01   -2.2572122695e+00
4.4881889764e-01   -2.2585477600e+00
4.6456692913e-01   -2.2665033033e+00
4.8031496063e-01   -2.2845466540e+00
4.9606299213e-01   -2.3199705137e+00
5.1181102362e-01   -2.3989921719e+00
5.2755905512e-01   -1.9315500460e+00
5.4330708661e-01   -1.9952137469e+00
5.5905511811e-01   -2.0293135245e+00
5.7480314961e-01   -2.0733366782e+00
5.9055118110e-01   -2.1364027340e+00
6.0629921260e-01   -2.2019798969e+00
6.2204724409e-01   -2.2612531805e+00
6.3779527559e-01   -2.3084139949e+00
6.5354330709e-01   -2.3834533547e+00
6.6929133858e-01   -2.4473788468e+00
6.8503937008e-01   -2.8689612026e+00
7.0078740157e-01   -2.6972455795e+00
7.1653543307e-01   -2.2661857454e+00
7.3228346457e-01   -3.1196836628e+00
7.4803149606e-01   -2.1629092993e+00
7.6377952756e-01   -2.0194482511e+00
7.7952755906e-01   -2.6044489377e+00
7.9527559055e-01   -2.8821516427e+00
8.1102362205e-01   -2.1399388812e+00
8.2677165354e-01   -4.0336141908e+00
8.4251968504e-01   -2.4488176266e+00
8.5826771654e-01   -2.4682663371e+00
8.7401574803e-01   -2.2116711070e+00
8.8976377953e-01   -2.6246973152e+00
9.0551181102e-01   -2.4194645455e+00
9.2125984252e-01   -2.7982821694e+00
9.3700787402e-01   -3.0706389522e+00
9.5275590551e-01   -2.4192469175e+00
9.6850393701e-01   -2.4922728076e+00
9.8425196850e-01   -2.1312647190e+00
1.0000000000e+00   -2.8257049263e+00
