X    Y
-1.0000000000e+00   -3.1430550883e+00
-9.8425196850e-01   -2.4026807081e+00
-9.6850393701e-01   -2.0022722012e+00
-9.5275590551e-01   -1.8095893955e+00
-9.3700787402e-01   -1.7727139253e+00
-9.2125984252e-01   -1.8648226849e+00
-9.0551181102e-01   -2.0709643051e+00
-8.8976377953e-01   -2.3875349062e+00
-8.7401574803e-01   -2.8386813475e+00
-8.5826771654e-01   -3.6739026335e+00
-8.4251968504e-01   -3.5672208565e+00
-8.2677165354e-01   -3.3435422584e+00
-8.1102362205e-01   -3.2600230618e+00
-7.9527559055e-01   -3.2008327734e+00
-7.7952755906e-01   -3.1451329747e+00
-7.6377952756e-01   -3.0899058944e+00
-7.4803149606e-01   -3.0418779831e+00
-7.3228346457e-01   -2.9959398982e+00
-7.1653543307e-01   -2.9468403012e+00
-7.0078740157e-01   -2.8968958681e+00
-6.8503937008e-01   -2.8544540861e+00
-6.6929133858e-01   -2.8165291992e+00
-6.5354330709e-01   -2.7878335137e+00
-6.3779527559e-01   -2.7648695929e+00
-6.2204724409e-01   -2.7526255625e+00
-6.0629921260e-01   -2.7619101819e+00
-5.9055118110e-01   -2.7897765165e+00
-5.7480314961e-01   -2.8144993636e+00
-5.5905511811e-01   -2.8338382528e+00
-5.4330708661e-01   -2.8109877227e+00
-5.2755905512e-01   -2.8528586631e+00
-5.1181102362e-01   -2.9278127009e+00
-4.9606299213e-01   -2.7441723105e+00
-4.8031496063e-01   -2.8488388524e+00
-4.6456692913e-01   -2.8753609048e+00
-4.4881889764e-01   -2.8817035272e+00
-4.3307086614e-01   -2.8821260788e+00
-4.1732283465e-01   -2.8813413834e+00
-4.0157480315e-01   -2.8806818501e+00
-3.8582677165e-01   -2.8802770455e+00
-3.7007874016e-01   -2.8799690185e+00
-3.5433070866e-01   -2.8796411999e+00
-3.3858267717e-01   -2.8792648176e+00
-3.2283464567e-01   -2.8788517520e+00
-3.0708661417e-01   -2.8784140101e+00
-2.9133858268e-01   -2.8779537456e+00
-2.7559055118e-01   -2.8774688845e+00
-2.5984251969e-01   -2.8769580407e+00
-2.4409448819e-01   -2.8764209612e+00
-2.2834645669e-01   -2.8758575542e+00
-2.1259842520e-01   -2.8752675557e+00
-1.9685039370e-01   -2.8746506468e+00
-1.8110236220e-01   -2.8740065266e+00
-1.6535433071e-01   -2.8733349012e+00
-1.4960629921e-01   -2.8726354733e+00
-1.3385826772e-01   -2.8719079422e+00
-1.1811023622e-01   -2.8711520050e+00
-1.0236220472e-01   -2.8703673552e+00
-8.6614173228e-02   -2.8695536826e+00
-7.0866141732e-02   -2.8687106726e+00
-5.5118110236e-02   -2.8678380061e+00
-3.9370078740e-02   -2.8669353583e+00
-2.3622047244e-02   -2.8660023989e+00
-7.8740157480e-03   -2.8650387913e+00
7.8740157480e-03   -2.8650387913e+00
2.3622047244e-02   -2.8660023989e+00
3.9370078740e-02   -2.8669353583e+00
5.5118110236e-02   -2.8678380061e+00
7.0866141732e-02   -2.8687106726e+00
8.6614173228e-02   -2.8695536826e+00
1.0236220472e-01   -2.8703673552e+00
1.1811023622e-01   -2.8711520050e+00
1.3385826772e-01   -2.8719079422e+00
1.4960629921e-01   -2.8726354733e+00
1.6535433071e-01   -2.8733349012e+00
1.8110236220e-01   -2.8740065266e+00
1.9685039370e-01   -2.8746506468e+00
2.1259842520e-01   -2.8752675557e+00
2.2834645669e-01   -2.8758575542e+00
2.4409448819e-01   -2.8764209612e+00
2.5984251969e-01   -2.8769580407e+00
2.7559055118e-01   -2.8774688845e+00
2.9133858268e-01   -2.8779537456e+00
3.0708661417e-01   -2.8784140101e+00
3.2283464567e-01   -2.8788517520e+00
3.3858267717e-01   -2.8792648176e+00
3.5433070866e-01   -2.8796411999e+00
3.7007874016e-01   -2.8799690185e+00
3.8582677165e-01   -2.8802770455e+00
4.0157480315e-01   -2.8806818501e+00
4.1732283465e-01   -2.8813413834e+00
4.3307086614e-01   -2.8821260788e+00
4.4881889764e-01   -2.8817035272e+00
4.6456692913e-01   -2.8753609048e+00
4.8031496063e-01   -2.8488388524e+00
4.9606299213e-01   -2.7441723105e+00
5.1181102362e-01   -2.9278127009e+00
5.2755905512e-01   -2.8528586631e+00
5.4330708661e-01   -2.8109877227e+00
5.5905511811e-01   -2.8338382528e+00
5.7480314961e-01   -2.8144993636e+00
5.9055118110e-01   -2.7897765165e+00
6.0629921260e-01   -2.7619101819e+00
6.2204724409e-01   -2.7526255625e+00
6.3779527559e-01   -2.7648695929e+00
6.5354330709e-01   -2.7878335137e+00
6.6929133858e-01   -2.8165291992e+00
6.8503937008e-01   -2.8544540861e+00
7.0078740157e-01   -2.8968958681e+00
7.1653543307e-01   -2.9468403012e+00
7.3228346457e-01   -2.9959398982e+00
7.4803149606e-01   -3.0418779831e+00
7.6377952756e-01   -3.0899058944e+00
7.7952755906e-01   -3.1451329747e+00
7.9527559055e-01   -3.2008327734e+00
8.1102362205e-01   -3.2600230618e+00
8.2677165354e-01   -3.3435422584e+00
8.4251968504e-01   -3.5672208565e+00
8.5826771654e-01   -3.6739026335e+00
8.7401574803e-01   -2.8386813475e+00
8.8976377953e-01   -2.3875349062e+00
9.0551181102e-01   -2.0709643051e+00
9.2125984252e-01   -1.8648226849e+00
9.3700787402e-01   -1.7727139253e+00
9.5275590551e-01   -1.8095893955e+00
9.6850393701e-01   -2.0022722012e+00
9.8425196850e-01   -2.4026807081e+00
1.0000000000e+00   -3.1430550883e+00
