X    Y
-1.0000000000e+00   2.9197662400e-03
-9.8425196850e-01   -3.3491257962e-03
-9.6850393701e-01   -5.0567420110e-03
-9.5275590551e-01   -4.9862624447e-03
-9.3700787402e-01   4.1448074087e-03
-9.2125984252e-01   -8.8856068150e-04
-9.0551181102e-01   1.5511890359e-03
-8.8976377953e-01   1.7156519356e-03
-8.7401574803e-01   2.6380384993e-03
-8.5826771654e-01   -8.7225077910e-03
-8.4251968504e-01   -6.3572449254e-05
-8.2677165354e-01   4.8019657557e-03
-8.1102362205e-01   5.6240270499e-04
-7.9527559055e-01   -2.7177592788e-03
-7.7952755906e-01   -4.9873509960e-03
-7.6377952756e-01   3.4642723849e-03
-7.4803149606e-01   4.3574479547e-03
-7.3228346457e-01   -3.2812483478e-03
-7.1653543307e-01   1.6883602421e-03
-7.0078740157e-01   2.1058968443e-02
-6.8503937008e-01   3.0824863857e-02
-6.6929133858e-01   5.5619360340e-02
-6.5354330709e-01   9.3685974706e-02
-6.3779527559e-01   1.2232331698e-01
-6.2204724409e-01   1.5179548332e-01
-6.0629921260e-01   1.6372282463e-01
-5.9055118110e-01   1.6721759862e-01
-5.7480314961e-01   1.6231567805e-01
-5.5905511811e-01   1.5442768023e-01
-5.4330708661e-01   1.4548290846e-01
-5.2755905512e-01   1.3598215778e-01
-5.1181102362e-01   1.2831288377e-01
-4.9606299213e-01   1.2257798843e-01
-4.8031496063e-01   1.1736207506e-01
-4.6456692913e-01   1.1262451475e-01
-4.4881889764e-01   1.0831099074e-01
-4.3307086614e-01   1.0438625861e-01
-4.1732283465e-01   1.0080594802e-01
-4.0157480315e-01   9.7540819559e-02
-3.8582677165e-01   9.4556463668e-02
-3.7007874016e-01   9.1828810265e-02
-3.5433070866e-01   8.9331910005e-02
-3.3858267717e-01   8.7045967496e-02
-3.2283464567e-01   8.4951579932e-02
-3.0708661417e-01   8.3032653315e-02
-2.9133858268e-01   8.1274559875e-02
-2.7559055118e-01   7.9664430542e-02
-2.5984251969e-01   7.8191009403e-02
-2.4409448819e-01   7.6844200556e-02
-2.2834645669e-01   7.5615217690e-02
-2.1259842520e-01   7.4496310140e-02
-1.9685039370e-01   7.3480714014e-02
-1.8110236220e-01   7.2562619677e-02
-1.6535433071e-01   7.1736998967e-02
-1.4960629921e-01   7.0999591488e-02
-1.3385826772e-01   7.0346740402e-02
-1.1811023622e-01   6.9775325715e-02
-1.0236220472e-01   6.9282666774e-02
-8.6614173228e-02   6.8866507112e-02
-7.0866141732e-02   6.8525100810e-02
-5.5118110236e-02   6.8257441602e-02
-3.9370078740e-02   6.8063484355e-02
-2.3622047244e-02   6.7943660141e-02
-7.8740157480e-03   6.7896447166e-02
7.8740157480e-03   6.7896447166e-02
2.3622047244e-02   6.7943660141e-02
3.9370078740e-02   6.8063484355e-02
5.5118110236e-02   6.8257441602e-02
7.0866141732e-02   6.8525100810e-02
8.6614173228e-02   6.8866507112e-02
1.0236220472e-01   6.9282666774e-02
1.1811023622e-01   6.9775325715e-02
1.3385826772e-01   7.0346740402e-02
1.4960629921e-01   7.0999591488e-02
1.6535433071e-01   7.1736998967e-02
1.8110236220e-01   7.2562619677e-02
1.9685039370e-01   7.3480714014e-02
2.1259842520e-01   7.4496310140e-02
2.2834645669e-01   7.5615217690e-02
2.4409448819e-01   7.6844200556e-02
2.5984251969e-01   7.8191009403e-02
2.7559055118e-01   7.9664430542e-02
2.9133858268e-01   8.1274559875e-02
3.0708661417e-01   8.3032653315e-02
3.2283464567e-01   8.4951579932e-02
3.3858267717e-01   8.7045967496e-02
3.5433070866e-01   8.9331910005e-02
3.7007874016e-01   9.1828810265e-02
3.8582677165e-01   9.4556463668e-02
4.0157480315e-01   9.7540819559e-02
4.1732283465e-01   1.0080594802e-01
4.3307086614e-01   1.0438625861e-01
4.4881889764e-01   1.0831099074e-01
4.6456692913e-01   1.1262451475e-01
4.8031496063e-01   1.1736207506e-01
4.9606299213e-01   1.2257798843e-01
5.1181102362e-01   1.2831288377e-01
5.2755905512e-01   1.3598215778e-01
5.4330708661e-01   1.4548290846e-01
5.5905511811e-01   1.5442768023e-01
5.7480314961e-01   1.6231567805e-01
5.9055118110e-01   1.6721759862e-01
6.0629921260e-01   1.6372282463e-01
6.2204724409e-01   1.5179548332e-01
6.3779527559e-01   1.2232331698e-01
6.5354330709e-01   9.3685974706e-02
6.6929133858e-01   5.5619360340e-02
6.8503937008e-01   3.0824863857e-02
7.0078740157e-01   2.1058968443e-02
7.1653543307e-01   1.6883602421e-03
7.3228346457e-01   -3.2812483478e-03
7.4803149606e-01   4.3574479547e-03
7.6377952756e-01   3.4642723849e-03
7.7952755906e-01   -4.9873509960e-03
7.9527559055e-01   -2.7177592788e-03
8.1102362205e-01   5.6240270499e-04
8.2677165354e-01   4.8019657557e-03
8.4251968504e-01   -6.3572449254e-05
8.5826771654e-01   -8.7225077910e-03
8.7401574803e-01   2.6380384993e-03
8.8976377953e-01   1.7156519356e-03
9.0551181102e-01   1.5511890359e-03
9.2125984252e-01   -8.8856068150e-04
9.3700787402e-01   4.1448074087e-03
9.5275590551e-01   -4.9862624447e-03
9.6850393701e-01   -5.0567420110e-03
9.8425196850e-01   -3.3491257962e-03
1.0000000000e+00   2.9197662400e-03
