X    Y
-1.0000000000e+00   2.0252819460e-03
-9.8425196850e-01   -7.2694841782e-03
-9.6850393701e-01   1.5349741643e-03
-9.5275590551e-01   5.2197896425e-03
-9.3700787402e-01   -8.6908848354e-03
-9.2125984252e-01   4.5777522486e-03
-9.0551181102e-01   4.1448533237e-03
-8.8976377953e-01   -2.1697555017e-03
-8.7401574803e-01   -6.8226228534e-03
-8.5826771654e-01   8.4378319945e-04
-8.4251968504e-01   4.4704451760e-03
-8.2677165354e-01   -4.7615845452e-03
-8.1102362205e-01   -3.8585438260e-03
-7.9527559055e-01   -4.9306875009e-04
-7.7952755906e-01   4.0892007019e-03
-7.6377952756e-01   -4.4880872448e-03
-7.4803149606e-01   -2.8777550207e-03
-7.3228346457e-01   1.8266266287e-02
-7.1653543307e-01   2.3860433168e-02
-7.0078740157e-01   4.0203562186e-02
-6.8503937008e-01   8.2110920847e-02
-6.6929133858e-01   1.0093179268e-01
-6.5354330709e-01   1.3244534853e-01
-6.3779527559e-01   1.4294293677e-01
-6.2204724409e-01   1.4917663735e-01
-6.0629921260e-01   1.4586037595e-01
-5.9055118110e-01   1.3987128951e-01
-5.7480314961e-01   1.3270326654e-01
-5.5905511811e-01   1.2574714760e-01
-5.4330708661e-01   1.1953531815e-01
-5.2755905512e-01   1.1430475289e-01
-5.1181102362e-01   1.0991099261e-01
-4.9606299213e-01   1.0102195316e-01
-4.8031496063e-01   1.0091204330e-01
-4.6456692913e-01   9.9123890820e-02
-4.4881889764e-01   9.7050136358e-02
-4.3307086614e-01   9.4957999076e-02
-4.1732283465e-01   9.2941147929e-02
-4.0157480315e-01   9.1040665953e-02
-3.8582677165e-01   8.9274546346e-02
-3.7007874016e-01   8.7647869471e-02
-3.5433070866e-01   8.6157297645e-02
-3.3858267717e-01   8.4793983863e-02
-3.2283464567e-01   8.3546038540e-02
-3.0708661417e-01   8.2400813255e-02
-2.9133858268e-01   8.1346822950e-02
-2.7559055118e-01   8.0375004764e-02
-2.5984251969e-01   7.9479081689e-02
-2.4409448819e-01   7.8655033994e-02
-2.2834645669e-01   7.7899990852e-02
-2.1259842520e-01   7.7211097487e-02
-1.9685039370e-01   7.6584925413e-02
-1.8110236220e-01   7.6017682437e-02
-1.6535433071e-01   7.5505945029e-02
-1.4960629921e-01   7.5047224420e-02
-1.3385826772e-01   7.4639819279e-02
-1.1811023622e-01   7.4282165927e-02
-1.0236220472e-01   7.3972543027e-02
-8.6614173228e-02   7.3709465020e-02
-7.0866141732e-02   7.3491884495e-02
-5.5118110236e-02   7.3318907796e-02
-3.9370078740e-02   7.3189794278e-02
-2.3622047244e-02   7.3104012175e-02
-7.8740157480e-03   7.3061209006e-02
7.8740157480e-03   7.3061209006e-02
2.3622047244e-02   7.3104012175e-02
3.9370078740e-02   7.3189794278e-02
5.5118110236e-02   7.3318907796e-02
7.0866141732e-02   7.3491884495e-02
8.6614173228e-02   7.3709465020e-02
1.0236220472e-01   7.3972543027e-02
1.1811023622e-01   7.4282165927e-02
1.3385826772e-01   7.4639819279e-02
1.4960629921e-01   7.5047224420e-02
1.6535433071e-01   7.5505945029e-02
1.8110236220e-01   7.6017682437e-02
1.9685039370e-01   7.6584925413e-02
2.1259842520e-01   7.7211097487e-02
2.2834645669e-01   7.7899990852e-02
2.4409448819e-01   7.8655033994e-02
2.5984251969e-01   7.9479081689e-02
2.7559055118e-01   8.0375004764e-02
2.9133858268e-01   8.1346822950e-02
3.0708661417e-01   8.2400813255e-02
3.2283464567e-01   8.3546038540e-02
3.3858267717e-01   8.4793983863e-02
3.5433070866e-01   8.6157297645e-02
3.7007874016e-01   8.7647869471e-02
3.8582677165e-01   8.9274546346e-02
4.0157480315e-01   9.1040665953e-02
4.1732283465e-01   9.2941147929e-02
4.3307086614e-01   9.4957999076e-02
4.4881889764e-01   9.7050136358e-02
4.6456692913e-01   9.9123890820e-02
4.8031496063e-01   1.0091204330e-01
4.9606299213e-01   1.0102195316e-01
5.1181102362e-01   1.0991099261e-01
5.2755905512e-01   1.1430475289e-01
5.4330708661e-01   1.1953531815e-01
5.5905511811e-01   1.2574714760e-01
5.7480314961e-01   1.3270326654e-01
5.9055118110e-01   1.3987128951e-01
6.0629921260e-01   1.4586037595e-01
6.2204724409e-01   1.4917663735e-01
6.3779527559e-01   1.4294293677e-01
6.5354330709e-01   1.3244534853e-01
6.6929133858e-01   1.0093179268e-01
6.8503937008e-01   8.2110920847e-02
7.0078740157e-01   4.0203562186e-02
7.1653543307e-01   2.3860433168e-02
7.3228346457e-01   1.8266266287e-02
7.4803149606e-01   -2.8777550207e-03
7.6377952756e-01   -4.4880872448e-03
7.7952755906e-01   4.0892007019e-03
7.9527559055e-01   -4.9306875009e-04
8.1102362205e-01   -3.8585438260e-03
8.2677165354e-01   -4.7615845452e-03
8.4251968504e-01   4.4704451760e-03
8.5826771654e-01   8.4378319945e-04
8.7401574803e-01   -6.8226228534e-03
8.8976377953e-01   -2.1697555017e-03
9.0551181102e-01   4.1448533237e-03
9.2125984252e-01   4.5777522486e-03
9.3700787402e-01   -8.6908848354e-03
9.5275590551e-01   5.2197896425e-03
9.6850393701e-01   1.5349741643e-03
9.8425196850e-01   -7.2694841782e-03
1.0000000000e+00   2.0252819460e-03
