X    Y
-1.0000000000e+00   -3.6012414287e+00
-9.8425196850e-01   -2.4376781618e+00
-9.6850393701e-01   -2.6642928956e+00
-9.5275590551e-01   -2.4513584576e+00
-9.3700787402e-01   -3.0043060819e+00
-9.2125984252e-01   -2.9274575290e+00
-9.0551181102e-01   -2.8217488058e+00
-8.8976377953e-01   -2.6175276246e+00
-8.7401574803e-01   -2.1893135503e+00
-8.5826771654e-01   -2.9037321798e+00
-8.4251968504e-01   -2.5563013512e+00
-8.2677165354e-01   -2.8963763290e+00
-8.1102362205e-01   -2.1319635346e+00
-7.9527559055e-01   -2.3295672419e+00
-7.7952755906e-01   -2.3364912694e+00
-7.6377952756e-01   -1.9248953339e+00
-7.4803149606e-01   -2.0665936752e+00
-7.3228346457e-01   -2.2559534374e+00
-7.1653543307e-01   -2.1489422087e+00
-7.0078740157e-01   -2.7893463385e+00
-6.8503937008e-01   -2.7508493541e+00
-6.6929133858e-01   -5.0324502077e+00
-6.5354330709e-01   -3.3869725470e+00
-6.3779527559e-01   -3.1952712931e+00
-6.2204724409e-01   -3.0427419682e+00
-6.0629921260e-01   -2.9187009780e+00
-5.9055118110e-01   -2.8408816199e+00
-5.7480314961e-01   -2.7295127474e+00
-5.5905511811e-01   -2.6132311010e+00
-5.4330708661e-01   -2.4747705811e+00
-5.2755905512e-01   -2.2820569775e+00
-5.1181102362e-01   -3.4197191060e+00
-4.9606299213e-01   -3.3341262147e+00
-4.8031496063e-01   -3.2834320675e+00
-4.6456692913e-01   -3.2465622967e+00
-4.4881889764e-01   -3.2166457401e+00
-4.3307086614e-01   -3.1911583788e+00
-4.1732283465e-01   -3.1686948079e+00
-4.0157480315e-01   -3.1485015857e+00
-3.8582677165e-01   -3.1301110967e+00
-3.7007874016e-01   -3.1132471257e+00
-3.5433070866e-01   -3.0977453893e+00
-3.3858267717e-01   -3.0835050053e+00
-3.2283464567e-01   -3.0704479830e+00
-3.0708661417e-01   -3.0584956232e+00
-2.9133858268e-01   -3.0475627364e+00
-2.7559055118e-01   -3.0375663902e+00
-2.5984251969e-01   -3.0284402603e+00
-2.4409448819e-01   -3.0201447456e+00
-2.2834645669e-01   -3.0126666761e+00
-2.1259842520e-01   -3.0060088075e+00
-1.9685039370e-01   -3.0001737710e+00
-1.8110236220e-01   -2.9951460501e+00
-1.6535433071e-01   -2.9908704704e+00
-1.4960629921e-01   -2.9872240691e+00
-1.3385826772e-01   -2.9839863672e+00
-1.1811023622e-01   -2.9808256105e+00
-1.0236220472e-01   -2.9773192970e+00
-8.6614173228e-02   -2.9730110471e+00
-7.0866141732e-02   -2.9674959510e+00
-5.5118110236e-02   -2.9605366362e+00
-3.9370078740e-02   -2.9521917012e+00
-2.3622047244e-02   -2.9428562350e+00
-7.8740157480e-03   -2.9331326231e+00
7.8740157480e-03   -2.9331326232e+00
2.3622047244e-02   -2.9428562354e+00
3.9370078740e-02   -2.9521917016e+00
5.5118110236e-02   -2.9605366364e+00
7.0866141732e-02   -2.9674959510e+00
8.6614173228e-02   -2.9730110471e+00
1.0236220472e-01   -2.9773192970e+00
1.1811023622e-01   -2.9808256107e+00
1.3385826772e-01   -2.9839863674e+00
1.4960629921e-01   -2.9872240693e+00
1.6535433071e-01   -2.9908704706e+00
1.8110236220e-01   -2.9951460504e+00
1.9685039370e-01   -3.0001737712e+00
2.1259842520e-01   -3.0060088077e+00
2.2834645669e-01   -3.0126666763e+00
2.4409448819e-01   -3.0201447458e+00
2.5984251969e-01   -3.0284402604e+00
2.7559055118e-01   -3.0375663902e+00
2.9133858268e-01   -3.0475627364e+00
3.0708661417e-01   -3.0584956231e+00
3.2283464567e-01   -3.0704479829e+00
3.3858267717e-01   -3.0835050052e+00
3.5433070866e-01   -3.0977453893e+00
3.7007874016e-01   -3.1132471257e+00
3.8582677165e-01   -3.1301110967e+00
4.0157480315e-01   -3.1485015857e+00
4.1732283465e-01   -3.1686948079e+00
4.3307086614e-01   -3.1911583789e+00
4.4881889764e-01   -3.2166457401e+00
4.6456692913e-01   -3.2465622967e+00
4.8031496063e-01   -3.2834320675e+00
4.9606299213e-01   -3.3341262146e+00
5.1181102362e-01   -3.4197191067e+00
5.2755905512e-01   -2.2820569776e+00
5.4330708661e-01   -2.4747705812e+00
5.5905511811e-01   -2.6132311010e+00
5.7480314961e-01   -2.7295127475e+00
5.9055118110e-01   -2.8408816202e+00
6.0629921260e-01   -2.9187009782e+00
6.2204724409e-01   -3.0427419686e+00
6.3779527559e-01   -3.1952712936e+00
6.5354330709e-01   -3.3869725475e+00
6.6929133858e-01   -5.0324502657e+00
6.8503937008e-01   -2.7508493541e+00
7.0078740157e-01   -2.7893463385e+00
7.1653543307e-01   -2.1489422087e+00
7.3228346457e-01   -2.2559534374e+00
7.4803149606e-01   -2.0665936752e+00
7.6377952756e-01   -1.9248953339e+00
7.7952755906e-01   -2.3364912695e+00
7.9527559055e-01   -2.3295672420e+00
8.1102362205e-01   -2.1319635347e+00
8.2677165354e-01   -2.8963763291e+00
8.4251968504e-01   -2.5563013511e+00
8.5826771654e-01   -2.9037321797e+00
8.7401574803e-01   -2.1893135503e+00
8.8976377953e-01   -2.6175276246e+00
9.0551181102e-01   -2.8217488058e+00
9.2125984252e-01   -2.9274575290e+00
9.3700787402e-01   -3.0043060819e+00
9.5275590551e-01   -2.4513584576e+00
9.6850393701e-01   -2.6642928956e+00
9.8425196850e-01   -2.4376781618e+00
1.0000000000e+00   -3.6012414285e+00
