X    Y
-1.0000000000e+00   -2.4761231449e-04
-9.8425196850e-01   -3.6100088124e-03
-9.6850393701e-01   2.1428586418e-03
-9.5275590551e-01   3.5134867022e-03
-9.3700787402e-01   -9.5318664967e-04
-9.2125984252e-01   -1.1809291136e-03
-9.0551181102e-01   -1.5032823252e-03
-8.8976377953e-01   -2.3631550803e-03
-8.7401574803e-01   6.5474426609e-03
-8.5826771654e-01   -8.0223886146e-04
-8.4251968504e-01   -1.4096528643e-03
-8.2677165354e-01   5.0020039411e-03
-8.1102362205e-01   1.6235613524e-02
-7.9527559055e-01   2.2879529934e-02
-7.7952755906e-01   3.7338669869e-02
-7.6377952756e-01   6.3900342179e-02
-7.4803149606e-01   8.2372221319e-02
-7.3228346457e-01   1.0021321711e-01
-7.1653543307e-01   1.1857928004e-01
-7.0078740157e-01   1.2427333892e-01
-6.8503937008e-01   1.3016531997e-01
-6.6929133858e-01   1.3013689917e-01
-6.5354330709e-01   1.2910612795e-01
-6.3779527559e-01   1.2711218994e-01
-6.2204724409e-01   1.2461915560e-01
-6.0629921260e-01   1.2194368378e-01
-5.9055118110e-01   1.1929729394e-01
-5.7480314961e-01   1.1647734659e-01
-5.5905511811e-01   1.1354064866e-01
-5.4330708661e-01   1.1031039469e-01
-5.2755905512e-01   1.0618386087e-01
-5.1181102362e-01   1.0674691758e-01
-4.9606299213e-01   1.0464449181e-01
-4.8031496063e-01   1.0265259263e-01
-4.6456692913e-01   1.0075598626e-01
-4.4881889764e-01   9.8949345688e-02
-4.3307086614e-01   9.7230209990e-02
-4.1732283465e-01   9.5596403118e-02
-4.0157480315e-01   9.4045949922e-02
-3.8582677165e-01   9.2576839020e-02
-3.7007874016e-01   9.1187057978e-02
-3.5433070866e-01   8.9874588780e-02
-3.3858267717e-01   8.8637411144e-02
-3.2283464567e-01   8.7473489014e-02
-3.0708661417e-01   8.6380766102e-02
-2.9133858268e-01   8.5357182687e-02
-2.7559055118e-01   8.4400715605e-02
-2.5984251969e-01   8.3509428222e-02
-2.4409448819e-01   8.2681510662e-02
-2.2834645669e-01   8.1915295169e-02
-2.1259842520e-01   8.1209244373e-02
-1.9685039370e-01   8.0561921465e-02
-1.8110236220e-01   7.9971950734e-02
-1.6535433071e-01   7.9437966253e-02
-1.4960629921e-01   7.8958542568e-02
-1.3385826772e-01   7.8532120055e-02
-1.1811023622e-01   7.8156967204e-02
-1.0236220472e-01   7.7831223082e-02
-8.6614173228e-02   7.7553023370e-02
-7.0866141732e-02   7.7320692114e-02
-5.5118110236e-02   7.7133015765e-02
-3.9370078740e-02   7.6989579469e-02
-2.3622047244e-02   7.6890934715e-02
-7.8740157480e-03   7.6838359759e-02
7.8740157480e-03   7.6838359759e-02
2.3622047244e-02   7.6890934716e-02
3.9370078740e-02   7.6989579470e-02
5.5118110236e-02   7.7133015766e-02
7.0866141732e-02   7.7320692114e-02
8.6614173228e-02   7.7553023370e-02
1.0236220472e-01   7.7831223082e-02
1.1811023622e-01   7.8156967205e-02
1.3385826772e-01   7.8532120055e-02
1.4960629921e-01   7.8958542568e-02
1.6535433071e-01   7.9437966254e-02
1.8110236220e-01   7.9971950735e-02
1.9685039370e-01   8.0561921465e-02
2.1259842520e-01   8.1209244373e-02
2.2834645669e-01   8.1915295170e-02
2.4409448819e-01   8.2681510663e-02
2.5984251969e-01   8.3509428222e-02
2.7559055118e-01   8.4400715606e-02
2.9133858268e-01   8.5357182687e-02
3.0708661417e-01   8.6380766102e-02
3.2283464567e-01   8.7473489014e-02
3.3858267717e-01   8.8637411144e-02
3.5433070866e-01   8.9874588780e-02
3.7007874016e-01   9.1187057978e-02
3.8582677165e-01   9.2576839020e-02
4.0157480315e-01   9.4045949922e-02
4.1732283465e-01   9.5596403118e-02
4.3307086614e-01   9.7230209990e-02
4.4881889764e-01   9.8949345688e-02
4.6456692913e-01   1.0075598626e-01
4.8031496063e-01   1.0265259263e-01
4.9606299213e-01   1.0464449181e-01
5.1181102362e-01   1.0674691758e-01
5.2755905512e-01   1.0618386087e-01
5.4330708661e-01   1.1031039470e-01
5.5905511811e-01   1.1354064866e-01
5.7480314961e-01   1.1647734659e-01
5.9055118110e-01   1.1929729394e-01
6.0629921260e-01   1.2194368378e-01
6.2204724409e-01   1.2461915560e-01
6.3779527559e-01   1.2711218994e-01
6.5354330709e-01   1.2910612795e-01
6.6929133858e-01   1.3013689917e-01
6.8503937008e-01   1.3016531997e-01
7.0078740157e-01   1.2427333892e-01
7.1653543307e-01   1.1857928004e-01
7.3228346457e-01   1.0021321711e-01
7.4803149606e-01   8.2372221319e-02
7.6377952756e-01   6.3900342178e-02
7.7952755906e-01   3.7338669869e-02
7.9527559055e-01   2.2879529934e-02
8.1102362205e-01   1.6235613523e-02
8.2677165354e-01   5.0020039408e-03
8.4251968504e-01   -1.4096528647e-03
8.5826771654e-01   -8.0223886168e-04
8.7401574803e-01   6.5474426606e-03
8.8976377953e-01   -2.3631550803e-03
9.0551181102e-01   -1.5032823252e-03
9.2125984252e-01   -1.1809291136e-03
9.3700787402e-01   -9.5318664970e-04
9.5275590551e-01   3.5134867021e-03
9.6850393701e-01   2.1428586419e-03
9.8425196850e-01   -3.6100088123e-03
1.0000000000e+00   -2.4761231457e-04
