X    Y
-1.0000000000e+00   -3.3404297966e-02
-9.8425196850e-01   2.2773612766e-02
-9.6850393701e-01   1.8477572972e-02
-9.5275590551e-01   -4.3087999447e-02
-9.3700787402e-01   2.8103277648e-02
-9.2125984252e-01   3.5771250874e-03
-9.0551181102e-01   -3.4390159225e-02
-8.8976377953e-01   6.7391478756e-02
-8.7401574803e-01   -6.6674993354e-02
-8.5826771654e-01   4.6559032449e-02
-8.4251968504e-01   -2.2325699370e-02
-8.2677165354e-01   2.6781782026e-02
-8.1102362205e-01   -2.7933071336e-03
-7.9527559055e-01   1.8880033480e-02
-7.7952755906e-01   3.4917386607e-02
-7.6377952756e-01   4.0740127365e-02
-7.4803149606e-01   1.9418953211e-02
-7.3228346457e-01   -6.9283602893e-03
-7.1653543307e-01   -2.0158032690e-02
-7.0078740157e-01   -1.6902680251e-02
-6.8503937008e-01   -5.9031284978e-03
-6.6929133858e-01   -1.2552167692e-02
-6.5354330709e-01   -9.3715234546e-03
-6.3779527559e-01   9.3417338522e-03
-6.2204724409e-01   1.2800779122e-02
-6.0629921260e-01   -6.1914358501e-03
-5.9055118110e-01   7.0871613374e-03
-5.7480314961e-01   3.5674209906e-02
-5.5905511811e-01   1.5670695482e-01
-5.4330708661e-01   4.4428772698e-01
-5.2755905512e-01   7.2149609010e-01
-5.1181102362e-01   5.4095805601e-01
-4.9606299213e-01   2.0515980552e-02
-4.8031496063e-01   1.5722036986e-01
-4.6456692913e-01   3.5872893993e-01
-4.4881889764e-01   5.6358937777e-01
-4.3307086614e-01   7.1507830190e-01
-4.1732283465e-01   7.8661662832e-01
-4.0157480315e-01   7.8069183140e-01
-3.8582677165e-01   7.1669197036e-01
-3.7007874016e-01   6.1880950650e-01
-3.5433070866e-01   5.0838183125e-01
-3.3858267717e-01   4.0071416916e-01
-3.2283464567e-01   3.0486774773e-01
-3.0708661417e-01   2.2487263200e-01
-2.9133858268e-01   1.6132075931e-01
-2.7559055118e-01   1.1279693700e-01
-2.5984251969e-01   7.6950616315e-02
-2.4409448819e-01   5.1198751096e-02
-2.2834645669e-01   3.3128744439e-02
-2.1259842520e-01   2.0688477626e-02
-1.9685039370e-01   1.2240807086e-02
-1.8110236220e-01   6.5414061188e-03
-1.6535433071e-01   2.6804360690e-03
-1.4960629921e-01   1.3809019475e-05
-1.3385826772e-01   -1.9008074402e-03
-1.1811023622e-01   -3.3561397737e-03
-1.0236220472e-01   -4.5356945257e-03
-8.6614173228e-02   -5.5473092382e-03
-7.0866141732e-02   -6.4526205068e-03
-5.5118110236e-02   -7.2878573617e-03
-3.9370078740e-02   -8.0691293373e-03
-2.3622047244e-02   -8.7298539243e-03
-7.8740157480e-03   -8.8616211855e-03
7.8740157480e-03   -8.8616211855e-03
2.3622047244e-02   -8.7298539243e-03
3.9370078740e-02   -8.0691293373e-03
5.5118110236e-02   -7.2878573617e-03
7.0866141732e-02   -6.4526205068e-03
8.6614173228e-02   -5.5473092382e-03
1.0236220472e-01   -4.5356945257e-03
1.1811023622e-01   -3.3561397737e-03
1.3385826772e-01   -1.9008074402e-03
1.4960629921e-01   1.3809019475e-05
1.6535433071e-01   2.6804360690e-03
1.8110236220e-01   6.5414061188e-03
1.9685039370e-01   1.2240807086e-02
2.1259842520e-01   2.0688477626e-02
2.2834645669e-01   3.3128744439e-02
2.4409448819e-01   5.1198751096e-02
2.5984251969e-01   7.6950616315e-02
2.7559055118e-01   1.1279693700e-01
2.9133858268e-01   1.6132075931e-01
3.0708661417e-01   2.2487263200e-01
3.2283464567e-01   3.0486774773e-01
3.3858267717e-01   4.0071416916e-01
3.5433070866e-01   5.0838183125e-01
3.7007874016e-01   6.1880950650e-01
3.8582677165e-01   7.1669197036e-01
4.0157480315e-01   7.8069183140e-01
4.1732283465e-01   7.8661662832e-01
4.3307086614e-01   7.1507830190e-01
4.4881889764e-01   5.6358937777e-01
4.6456692913e-01   3.5872893993e-01
4.8031496063e-01   1.5722036986e-01
4.9606299213e-01   2.0515980552e-02
5.1181102362e-01   5.4095805601e-01
5.2755905512e-01   7.2149609010e-01
5.4330708661e-01   4.4428772698e-01
5.5905511811e-01   1.5670695482e-01
5.7480314961e-01   3.5674209906e-02
5.9055118110e-01   7.0871613374e-03
6.0629921260e-01   -6.1914358501e-03
6.2204724409e-01   1.2800779122e-02
6.3779527559e-01   9.3417338522e-03
6.5354330709e-01   -9.3715234546e-03
6.6929133858e-01   -1.2552167692e-02
6.8503937008e-01   -5.9031284978e-03
7.0078740157e-01   -1.6902680251e-02
7.1653543307e-01   -2.0158032690e-02
7.3228346457e-01   -6.9283602893e-03
7.4803149606e-01   1.9418953211e-02
7.6377952756e-01   4.0740127365e-02
7.7952755906e-01   3.4917386607e-02
7.9527559055e-01   1.8880033480e-02
8.1102362205e-01   -2.7933071336e-03
8.2677165354e-01   2.6781782026e-02
8.4251968504e-01   -2.2325699370e-02
8.5826771654e-01   4.6559032449e-02
8.7401574803e-01   -6.6674993354e-02
8.8976377953e-01   6.7391478756e-02
9.0551181102e-01   -3.4390159225e-02
9.2125984252e-01   3.5771250874e-03
9.3700787402e-01   2.8103277648e-02
9.5275590551e-01   -4.3087999447e-02
9.6850393701e-01   1.8477572972e-02
9.8425196850e-01   2.2773612766e-02
1.0000000000e+00   -3.3404297966e-02
