X    Y
0.0000000000e+00   -1.2000000000e+01
2.0000000000e-02   -1.7295067685e+00
4.0000000000e-02   -1.4610365922e+00
6.0000000000e-02   -1.3195988044e+00
8.0000000000e-02   -1.2314773000e+00
1.0000000000e-01   -1.1736169183e+00
1.2000000000e-01   -1.1357833864e+00
1.4000000000e-01   -1.1125429503e+00
1.6000000000e-01   -1.1006683080e+00
1.8000000000e-01   -1.0980837012e+00
2.0000000000e-01   -1.1033655904e+00
2.2000000000e-01   -1.1154772967e+00
2.4000000000e-01   -1.1336127882e+00
2.6000000000e-01   -1.1570945641e+00
2.8000000000e-01   -1.1852987532e+00
3.0000000000e-01   -1.2175932593e+00
3.2000000000e-01   -1.2532814529e+00
3.4000000000e-01   -1.2915484859e+00
3.6000000000e-01   -1.3314118603e+00
3.8000000000e-01   -1.3716835661e+00
4.0000000000e-01   -1.4109580304e+00
4.2000000000e-01   -1.4476463838e+00
4.4000000000e-01   -1.4800780789e+00
4.6000000000e-01   -1.5066782199e+00
4.8000000000e-01   -1.5261989476e+00
5.0000000000e-01   -1.5379449984e+00
5.2000000000e-01   -1.5419129795e+00
5.4000000000e-01   -1.5387860798e+00
5.6000000000e-01   -1.5297859452e+00
5.8000000000e-01   -1.5164422170e+00
6.0000000000e-01   -1.5003598697e+00
6.2000000000e-01   -1.4830421482e+00
6.4000000000e-01   -1.4657885261e+00
6.6000000000e-01   -1.4496578400e+00
6.8000000000e-01   -1.4354748166e+00
7.0000000000e-01   -1.4238589859e+00
7.2000000000e-01   -1.4152610032e+00
7.4000000000e-01   -1.4099976835e+00
7.6000000000e-01   -1.4082816427e+00
7.8000000000e-01   -1.4102441744e+00
8.0000000000e-01   -1.4159513436e+00
8.2000000000e-01   -1.4254137824e+00
8.4000000000e-01   -1.4385907232e+00
8.6000000000e-01   -1.4553886539e+00
8.8000000000e-01   -1.4756547840e+00
9.0000000000e-01   -1.4991653865e+00
9.2000000000e-01   -1.5256091473e+00
9.4000000000e-01   -1.5545660703e+00
9.6000000000e-01   -1.5854834833e+00
9.8000000000e-01   -1.6176525030e+00
1.0000000000e+00   -1.6501911188e+00
1.0200000000e+00   -1.6820435563e+00
1.0400000000e+00   -1.7120085835e+00
1.0600000000e+00   -1.7388093023e+00
1.0800000000e+00   -1.7612101587e+00
1.1000000000e+00   -1.7781712392e+00
1.1200000000e+00   -1.7890089003e+00
1.1400000000e+00   -1.7935166639e+00
1.1600000000e+00   -1.7920046278e+00
1.1800000000e+00   -1.7852426578e+00
1.2000000000e+00   -1.7743284505e+00
1.2200000000e+00   -1.7605248901e+00
1.2400000000e+00   -1.7451110659e+00
1.2600000000e+00   -1.7292739902e+00
1.2800000000e+00   -1.7140473898e+00
1.3000000000e+00   -1.7002899091e+00
1.3200000000e+00   -1.6886897563e+00
1.3400000000e+00   -1.6797835550e+00
1.3600000000e+00   -1.6739804083e+00
1.3800000000e+00   -1.6715856099e+00
1.4000000000e+00   -1.6728210465e+00
1.4200000000e+00   -1.6778409780e+00
1.4400000000e+00   -1.6867427396e+00
1.4600000000e+00   -1.6995722303e+00
1.4800000000e+00   -1.7163240553e+00
1.5000000000e+00   -1.7369360069e+00
1.5200000000e+00   -1.7612773309e+00
1.5400000000e+00   -1.7891300391e+00
1.5600000000e+00   -1.8201625811e+00
1.5800000000e+00   -1.8538957824e+00
1.6000000000e+00   -1.8896625931e+00
1.6200000000e+00   -1.9265665423e+00
1.6400000000e+00   -1.9634494711e+00
1.6600000000e+00   -1.9988868619e+00
1.6800000000e+00   -2.0312362026e+00
1.7000000000e+00   -2.0587636224e+00
1.7200000000e+00   -2.0798569093e+00
1.7400000000e+00   -2.0932945457e+00
1.7600000000e+00   -2.0984945101e+00
1.7800000000e+00   -2.0956477644e+00
1.8000000000e+00   -2.0856778402e+00
1.8200000000e+00   -2.0700449238e+00
1.8400000000e+00   -2.0504767004e+00
1.8600000000e+00   -2.0287183563e+00
1.8800000000e+00   -2.0063582432e+00
1.9000000000e+00   -1.9847398816e+00
1.9200000000e+00   -1.9649418240e+00
1.9400000000e+00   -1.9477985669e+00
1.9600000000e+00   -1.9339399172e+00
1.9800000000e+00   -1.9238341837e+00
2.0000000000e+00   -1.9178275127e+00
2.0200000000e+00   -1.9161762524e+00
2.0400000000e+00   -1.9190716883e+00
2.0600000000e+00   -1.9266575216e+00
2.0800000000e+00   -1.9390406597e+00
2.1000000000e+00   -1.9562956157e+00
2.1200000000e+00   -1.9784622667e+00
2.1400000000e+00   -2.0055359686e+00
2.1600000000e+00   -2.0374480725e+00
2.1800000000e+00   -2.0740337757e+00
2.2000000000e+00   -2.1149831109e+00
2.2200000000e+00   -2.1597703010e+00
2.2400000000e+00   -2.2075580394e+00
2.2600000000e+00   -2.2570794280e+00
2.2800000000e+00   -2.3065161232e+00
2.3000000000e+00   -2.3534215950e+00
2.3200000000e+00   -2.3947797038e+00
2.3400000000e+00   -2.4273114769e+00
2.3600000000e+00   -2.4480827241e+00
2.3800000000e+00   -2.4552765164e+00
2.4000000000e+00   -2.4487770918e+00
2.4200000000e+00   -2.4302155353e+00
2.4400000000e+00   -2.4024477377e+00
2.4600000000e+00   -2.3687846068e+00
2.4800000000e+00   -2.3323471577e+00
2.5000000000e+00   -2.2957172925e+00
2.5200000000e+00   -2.2608512336e+00
2.5400000000e+00   -2.2291446054e+00
2.5600000000e+00   -2.2015533921e+00
2.5800000000e+00   -2.1787163237e+00
2.6000000000e+00   -2.1610568137e+00
2.6200000000e+00   -2.1488602903e+00
2.6400000000e+00   -2.1423300212e+00
2.6600000000e+00   -2.1416263816e+00
2.6800000000e+00   -2.1468941217e+00
2.7000000000e+00   -2.1582811084e+00
2.7200000000e+00   -2.1759508306e+00
2.7400000000e+00   -2.2000898077e+00
2.7600000000e+00   -2.2309098156e+00
2.7800000000e+00   -2.2686432785e+00
2.8000000000e+00   -2.3135278043e+00
2.8200000000e+00   -2.3657718796e+00
2.8400000000e+00   -2.4254869009e+00
2.8600000000e+00   -2.4925591731e+00
2.8800000000e+00   -2.5664177047e+00
2.9000000000e+00   -2.6456329070e+00
2.9200000000e+00   -2.7272818930e+00
2.9400000000e+00   -2.8061220003e+00
2.9600000000e+00   -2.8740016843e+00
2.9800000000e+00   -2.9206569367e+00
3.0000000000e+00   -2.9371467151e+00
3.0200000000e+00   -2.9207229791e+00
3.0400000000e+00   -2.8766493800e+00
3.0600000000e+00   -2.8148760380e+00
3.0800000000e+00   -2.7452509251e+00
3.1000000000e+00   -2.6750033292e+00
3.1200000000e+00   -2.6085703407e+00
3.1400000000e+00   -2.5483533008e+00
3.1600000000e+00   -2.4955035826e+00
3.1800000000e+00   -2.4504787763e+00
3.2000000000e+00   -2.4133833766e+00
3.2200000000e+00   -2.3841643915e+00
3.2400000000e+00   -2.3627207220e+00
3.2600000000e+00   -2.3489644110e+00
3.2800000000e+00   -2.3428563451e+00
3.3000000000e+00   -2.3444295011e+00
3.3200000000e+00   -2.3538075507e+00
3.3400000000e+00   -2.3712239912e+00
3.3600000000e+00   -2.3970459870e+00
3.3800000000e+00   -2.4318073927e+00
3.4000000000e+00   -2.4762570250e+00
3.4200000000e+00   -2.5314317741e+00
3.4400000000e+00   -2.5987712090e+00
3.4600000000e+00   -2.6803047616e+00
3.4800000000e+00   -2.7789739701e+00
3.5000000000e+00   -2.8992269671e+00
3.5200000000e+00   -3.0482230112e+00
3.5400000000e+00   -3.2386217290e+00
3.5600000000e+00   -3.4965293812e+00
3.5800000000e+00   -3.8946178565e+00
3.6000000000e+00   -5.0603829619e+00
3.6200000000e+00   -4.4548588151e+00
3.6400000000e+00   -5.3517341859e+00
3.6600000000e+00   -4.0125701885e+00
3.6800000000e+00   -3.5792498721e+00
3.7000000000e+00   -3.3134912499e+00
3.7200000000e+00   -3.1229326456e+00
3.7400000000e+00   -2.9772129361e+00
3.7600000000e+00   -2.8621870275e+00
3.7800000000e+00   -2.7700567879e+00
3.8000000000e+00   -2.6960766339e+00
3.8200000000e+00   -2.6371749083e+00
3.8400000000e+00   -2.5912898648e+00
3.8600000000e+00   -2.5570186047e+00
3.8800000000e+00   -2.5334202894e+00
3.9000000000e+00   -2.5199034647e+00
3.9200000000e+00   -2.5161643404e+00
3.9400000000e+00   -2.5221604929e+00
3.9600000000e+00   -2.5381144922e+00
3.9800000000e+00   -2.5645497472e+00
4.0000000000e+00   -2.6023701401e+00
4.0200000000e+00   -2.6530109364e+00
4.0400000000e+00   -2.7187224084e+00
4.0600000000e+00   -2.8031318105e+00
4.0800000000e+00   -2.9124717484e+00
4.1000000000e+00   -3.0587094066e+00
4.1200000000e+00   -3.2697670799e+00
4.1400000000e+00   -3.6440846190e+00
4.1600000000e+00   -4.3340062446e+00
4.1800000000e+00   -3.5640425475e+00
4.2000000000e+00   -3.3517323691e+00
4.2200000000e+00   -3.2541939521e+00
4.2400000000e+00   -3.2176152515e+00
4.2600000000e+00   -3.2282951904e+00
4.2800000000e+00   -3.2884141194e+00
4.3000000000e+00   -3.4190925553e+00
4.3200000000e+00   -3.7066415032e+00
4.3400000000e+00   -4.5202385259e+00
4.3600000000e+00   -3.5391996383e+00
4.3800000000e+00   -3.2452950422e+00
4.4000000000e+00   -3.0671326397e+00
4.4200000000e+00   -2.9424723226e+00
4.4400000000e+00   -2.8504484331e+00
4.4600000000e+00   -2.7814974525e+00
4.4800000000e+00   -2.7304962558e+00
4.5000000000e+00   -2.6944679391e+00
4.5200000000e+00   -2.6716402653e+00
4.5400000000e+00   -2.6610127691e+00
4.5600000000e+00   -2.6621536006e+00
4.5800000000e+00   -2.6751229241e+00
4.6000000000e+00   -2.7004893634e+00
4.6200000000e+00   -2.7394471902e+00
4.6400000000e+00   -2.7940895526e+00
4.6600000000e+00   -2.8679909362e+00
4.6800000000e+00   -2.9675264071e+00
4.7000000000e+00   -3.1053284741e+00
4.7200000000e+00   -3.3120056599e+00
4.7400000000e+00   -3.7040896410e+00
4.7600000000e+00   -4.1310330767e+00
4.7800000000e+00   -3.4987777004e+00
4.8000000000e+00   -3.2816214229e+00
4.8200000000e+00   -3.1651195781e+00
4.8400000000e+00   -3.1001021721e+00
4.8600000000e+00   -3.0702961147e+00
4.8800000000e+00   -3.0697674544e+00
4.9000000000e+00   -3.0979555146e+00
4.9200000000e+00   -3.1592743829e+00
4.9400000000e+00   -3.2665379760e+00
4.9600000000e+00   -3.4560452053e+00
4.9800000000e+00   -3.8960258647e+00
5.0000000000e+00   -3.9290577593e+00
5.0200000000e+00   -3.4269143203e+00
5.0400000000e+00   -3.1995556182e+00
5.0600000000e+00   -3.0558189243e+00
5.0800000000e+00   -2.9556941276e+00
5.1000000000e+00   -2.8839300429e+00
5.1200000000e+00   -2.8331874763e+00
5.1400000000e+00   -2.7995187843e+00
5.1600000000e+00   -2.7807406605e+00
5.1800000000e+00   -2.7757558325e+00
5.2000000000e+00   -2.7842698942e+00
5.2200000000e+00   -2.8067238815e+00
5.2400000000e+00   -2.8444050804e+00
5.2600000000e+00   -2.8997997333e+00
5.2800000000e+00   -2.9774235140e+00
5.3000000000e+00   -3.0858657132e+00
5.3200000000e+00   -3.2437899757e+00
5.3400000000e+00   -3.5048877907e+00
5.3600000000e+00   -4.2410131457e+00
5.3800000000e+00   -3.7316424517e+00
5.4000000000e+00   -3.3906955616e+00
5.4200000000e+00   -3.2234041926e+00
5.4400000000e+00   -3.1239336932e+00
5.4600000000e+00   -3.0641106753e+00
5.4800000000e+00   -3.0329004448e+00
5.5000000000e+00   -3.0256740232e+00
5.5200000000e+00   -3.0412546684e+00
5.5400000000e+00   -3.0812956307e+00
5.5600000000e+00   -3.1511596711e+00
5.5800000000e+00   -3.2635050345e+00
5.6000000000e+00   -3.4517715859e+00
5.6200000000e+00   -3.8574429428e+00
5.6400000000e+00   -4.0480871756e+00
5.6600000000e+00   -3.4916607397e+00
5.6800000000e+00   -3.2595028311e+00
5.7000000000e+00   -3.1170612441e+00
5.7200000000e+00   -3.0202504757e+00
5.7400000000e+00   -2.9528439083e+00
5.7600000000e+00   -2.9072303399e+00
5.7800000000e+00   -2.8794455217e+00
5.8000000000e+00   -2.8674335499e+00
5.8200000000e+00   -2.8703555730e+00
5.8400000000e+00   -2.8883481474e+00
5.8600000000e+00   -2.9225635947e+00
5.8800000000e+00   -2.9755190193e+00
5.9000000000e+00   -3.0520093334e+00
5.9200000000e+00   -3.1614553551e+00
5.9400000000e+00   -3.3251092449e+00
5.9600000000e+00   -3.6085529801e+00
5.9800000000e+00   -4.7387488076e+00
6.0000000000e+00   -3.6943571948e+00
6.0200000000e+00   -3.3911822215e+00
6.0400000000e+00   -3.2319015539e+00
6.0600000000e+00   -3.1335651182e+00
6.0800000000e+00   -3.0718058645e+00
6.1000000000e+00   -3.0365757315e+00
6.1200000000e+00   -3.0233486018e+00
6.1400000000e+00   -3.0305106348e+00
6.1600000000e+00   -3.0586120770e+00
6.1800000000e+00   -3.1106090646e+00
6.2000000000e+00   -3.1933578532e+00
6.2200000000e+00   -3.3223771304e+00
6.2400000000e+00   -3.5405626026e+00
6.2600000000e+00   -4.0733304063e+00
6.2800000000e+00   -3.8983656916e+00
6.3000000000e+00   -3.4737714446e+00
6.3200000000e+00   -3.2710483426e+00
6.3400000000e+00   -3.1439742211e+00
6.3600000000e+00   -3.0580049672e+00
6.3800000000e+00   -2.9995881195e+00
6.4000000000e+00   -2.9622369878e+00
6.4200000000e+00   -2.9426328901e+00
6.4400000000e+00   -2.9392245275e+00
6.4600000000e+00   -2.9517020010e+00
6.4800000000e+00   -2.9809022217e+00
6.5000000000e+00   -3.0290767319e+00
6.5200000000e+00   -3.1007263893e+00
6.5400000000e+00   -3.2048002709e+00
6.5600000000e+00   -3.3613912200e+00
6.5800000000e+00   -3.6310355553e+00
6.6000000000e+00   -4.5486174984e+00
6.6200000000e+00   -3.7606758418e+00
6.6400000000e+00   -3.4394450568e+00
6.6600000000e+00   -3.2721382882e+00
6.6800000000e+00   -3.1678469222e+00
6.7000000000e+00   -3.1006542779e+00
6.7200000000e+00   -3.0598888777e+00
6.7400000000e+00   -3.0405900306e+00
6.7600000000e+00   -3.0406694945e+00
6.7800000000e+00   -3.0599862142e+00
6.8000000000e+00   -3.1002882941e+00
6.8200000000e+00   -3.1659655948e+00
6.8400000000e+00   -3.2664293918e+00
6.8600000000e+00   -3.4238142844e+00
6.8800000000e+00   -3.7091963029e+00
6.9000000000e+00   -5.3670506276e+00
6.9200000000e+00   -3.7245409062e+00
6.9400000000e+00   -3.4254111391e+00
6.9600000000e+00   -3.2604349501e+00
6.9800000000e+00   -3.1535380226e+00
7.0000000000e+00   -3.0814063418e+00
7.0200000000e+00   -3.0340209755e+00
7.0400000000e+00   -3.0064499064e+00
7.0600000000e+00   -2.9962707419e+00
7.0800000000e+00   -3.0026212932e+00
7.1000000000e+00   -3.0259098661e+00
7.1200000000e+00   -3.0679506389e+00
7.1400000000e+00   -3.1326301312e+00
7.1600000000e+00   -3.2277195483e+00
7.1800000000e+00   -3.3702120232e+00
7.2000000000e+00   -3.6076756229e+00
7.2200000000e+00   -4.2190525957e+00
7.2400000000e+00   -3.9016856176e+00
7.2600000000e+00   -3.5182311486e+00
7.2800000000e+00   -3.3315425687e+00
7.3000000000e+00   -3.2163950882e+00
7.3200000000e+00   -3.1413077208e+00
7.3400000000e+00   -3.0938176713e+00
7.3600000000e+00   -3.0681164680e+00
7.3800000000e+00   -3.0615385387e+00
7.4000000000e+00   -3.0733673578e+00
7.4200000000e+00   -3.1045564665e+00
7.4400000000e+00   -3.1581029768e+00
7.4600000000e+00   -3.2404305387e+00
7.4800000000e+00   -3.3654862380e+00
7.5000000000e+00   -3.5698454524e+00
7.5200000000e+00   -4.0173552879e+00
7.5400000000e+00   -4.0889899117e+00
7.5600000000e+00   -3.5912738916e+00
7.5800000000e+00   -3.3753268183e+00
7.6000000000e+00   -3.2439778587e+00
7.6200000000e+00   -3.1568570916e+00
7.6400000000e+00   -3.0988647295e+00
7.6600000000e+00   -3.0629861731e+00
7.6800000000e+00   -3.0457470416e+00
7.7000000000e+00   -3.0456422868e+00
7.7200000000e+00   -3.0625856897e+00
7.7400000000e+00   -3.0978810788e+00
7.7600000000e+00   -3.1546921330e+00
7.7800000000e+00   -3.2394253838e+00
7.8000000000e+00   -3.3656607023e+00
7.8200000000e+00   -3.5683133940e+00
7.8400000000e+00   -3.9970805043e+00
7.8600000000e+00   -4.1491370249e+00
7.8800000000e+00   -3.6237890028e+00
7.9000000000e+00   -3.4052630011e+00
7.9200000000e+00   -3.2746181342e+00
7.9400000000e+00   -3.1894151814e+00
7.9600000000e+00   -3.1340827382e+00
7.9800000000e+00   -3.1015189399e+00
8.0000000000e+00   -3.0883311367e+00
8.0200000000e+00   -3.0932351615e+00
8.0400000000e+00   -3.1165548271e+00
8.0600000000e+00   -3.1603423059e+00
8.0800000000e+00   -3.2292269832e+00
8.1000000000e+00   -3.3328866995e+00
8.1200000000e+00   -3.4939768402e+00
8.1400000000e+00   -3.7857836217e+00
8.1600000000e+00   -6.4861188584e+00
8.1800000000e+00   -3.7875360676e+00
8.2000000000e+00   -3.4948531493e+00
8.2200000000e+00   -3.3333714995e+00
8.2400000000e+00   -3.2293193242e+00
8.2600000000e+00   -3.1598866534e+00
8.2800000000e+00   -3.1152759758e+00
8.3000000000e+00   -3.0907176906e+00
8.3200000000e+00   -3.0839632640e+00
8.3400000000e+00   -3.0943850452e+00
8.3600000000e+00   -3.1227559092e+00
8.3800000000e+00   -3.1715231623e+00
8.4000000000e+00   -3.2458099883e+00
8.4200000000e+00   -3.3562090734e+00
8.4400000000e+00   -3.5279228105e+00
8.4600000000e+00   -3.8471921715e+00
8.4800000000e+00   -4.7808559189e+00
8.5000000000e+00   -3.7611341772e+00
8.5200000000e+00   -3.4922895035e+00
8.5400000000e+00   -3.3406674148e+00
8.5600000000e+00   -3.2429655808e+00
8.5800000000e+00   -3.1786070605e+00
8.6000000000e+00   -3.1386185091e+00
