X    Y
0.0000000000e+00   0.0000000000e+00
2.0000000000e-02   -8.6858896381e-03
4.0000000000e-02   -1.7371779276e-02
6.0000000000e-02   -2.6057668914e-02
8.0000000000e-02   -3.4743558552e-02
1.0000000000e-01   -4.3429448190e-02
1.2000000000e-01   -5.2115337828e-02
1.4000000000e-01   -6.0801227466e-02
1.6000000000e-01   -6.9487117105e-02
1.8000000000e-01   -7.8173006743e-02
2.0000000000e-01   -8.6858896381e-02
2.2000000000e-01   -9.5544786019e-02
2.4000000000e-01   -1.0423067566e-01
2.6000000000e-01   -1.1291656529e-01
2.8000000000e-01   -1.2160245493e-01
3.0000000000e-01   -1.3028834457e-01
3.2000000000e-01   -1.3897423421e-01
3.4000000000e-01   -1.4766012385e-01
3.6000000000e-01   -1.5634601349e-01
3.8000000000e-01   -1.6503190312e-01
4.0000000000e-01   -1.7371779276e-01
4.2000000000e-01   -1.8240368240e-01
4.4000000000e-01   -1.9108957204e-01
4.6000000000e-01   -1.9977546168e-01
4.8000000000e-01   -2.0846135131e-01
5.0000000000e-01   -2.1714724095e-01
5.2000000000e-01   -2.2583313059e-01
5.4000000000e-01   -2.3451902023e-01
5.6000000000e-01   -2.4320490987e-01
5.8000000000e-01   -2.5189079950e-01
6.0000000000e-01   -2.6057668914e-01
6.2000000000e-01   -2.6926257878e-01
6.4000000000e-01   -2.7794846842e-01
6.6000000000e-01   -2.8663435806e-01
6.8000000000e-01   -2.9532024769e-01
7.0000000000e-01   -3.0400613733e-01
7.2000000000e-01   -3.1269202697e-01
7.4000000000e-01   -3.2137791661e-01
7.6000000000e-01   -3.3006380625e-01
7.8000000000e-01   -3.3874969588e-01
8.0000000000e-01   -3.4743558552e-01
8.2000000000e-01   -3.5612147516e-01
8.4000000000e-01   -3.6480736480e-01
8.6000000000e-01   -3.7349325444e-01
8.8000000000e-01   -3.8217914407e-01
9.0000000000e-01   -3.9086503371e-01
9.2000000000e-01   -3.9955092335e-01
9.4000000000e-01   -4.0823681299e-01
9.6000000000e-01   -4.1692270263e-01
9.8000000000e-01   -4.2560859227e-01
1.0000000000e+00   -4.3429448190e-01
1.0200000000e+00   -4.4298037154e-01
1.0400000000e+00   -4.5166626118e-01
1.0600000000e+00   -4.6035215082e-01
1.0800000000e+00   -4.6903804046e-01
1.1000000000e+00   -4.7772393009e-01
1.1200000000e+00   -4.8640981973e-01
1.1400000000e+00   -4.9509570937e-01
1.1600000000e+00   -5.0378159901e-01
1.1800000000e+00   -5.1246748865e-01
1.2000000000e+00   -5.2115337828e-01
1.2200000000e+00   -5.2983926792e-01
1.2400000000e+00   -5.3852515756e-01
1.2600000000e+00   -5.4721104720e-01
1.2800000000e+00   -5.5589693684e-01
1.3000000000e+00   -5.6458282647e-01
1.3200000000e+00   -5.7326871611e-01
1.3400000000e+00   -5.8195460575e-01
1.3600000000e+00   -5.9064049539e-01
1.3800000000e+00   -5.9932638503e-01
1.4000000000e+00   -6.0801227466e-01
1.4200000000e+00   -6.1669816430e-01
1.4400000000e+00   -6.2538405394e-01
1.4600000000e+00   -6.3406994358e-01
1.4800000000e+00   -6.4275583322e-01
1.5000000000e+00   -6.5144172285e-01
1.5200000000e+00   -6.6012761249e-01
1.5400000000e+00   -6.6881350213e-01
1.5600000000e+00   -6.7749939177e-01
1.5800000000e+00   -6.8618528141e-01
1.6000000000e+00   -6.9487117105e-01
1.6200000000e+00   -7.0355706068e-01
1.6400000000e+00   -7.1224295032e-01
1.6600000000e+00   -7.2092883996e-01
1.6800000000e+00   -7.2961472960e-01
1.7000000000e+00   -7.3830061924e-01
1.7200000000e+00   -7.4698650887e-01
1.7400000000e+00   -7.5567239851e-01
1.7600000000e+00   -7.6435828815e-01
1.7800000000e+00   -7.7304417779e-01
1.8000000000e+00   -7.8173006743e-01
1.8200000000e+00   -7.9041595706e-01
1.8400000000e+00   -7.9910184670e-01
1.8600000000e+00   -8.0778773634e-01
1.8800000000e+00   -8.1647362598e-01
1.9000000000e+00   -8.2515951562e-01
1.9200000000e+00   -8.3384540525e-01
1.9400000000e+00   -8.4253129489e-01
1.9600000000e+00   -8.5121718453e-01
1.9800000000e+00   -8.5990307417e-01
2.0000000000e+00   -8.6858896381e-01
2.0200000000e+00   -8.7727485344e-01
2.0400000000e+00   -8.8596074308e-01
2.0600000000e+00   -8.9464663272e-01
2.0800000000e+00   -9.0333252236e-01
2.1000000000e+00   -9.1201841200e-01
2.1200000000e+00   -9.2070430163e-01
2.1400000000e+00   -9.2939019127e-01
2.1600000000e+00   -9.3807608091e-01
2.1800000000e+00   -9.4676197055e-01
2.2000000000e+00   -9.5544786019e-01
2.2200000000e+00   -9.6413374983e-01
2.2400000000e+00   -9.7281963946e-01
2.2600000000e+00   -9.8150552910e-01
2.2800000000e+00   -9.9019141874e-01
2.3000000000e+00   -9.9887730838e-01
2.3200000000e+00   -1.0075631980e+00
2.3400000000e+00   -1.0162490877e+00
2.3600000000e+00   -1.0249349773e+00
2.3800000000e+00   -1.0336208669e+00
2.4000000000e+00   -1.0423067566e+00
2.4200000000e+00   -1.0509926462e+00
2.4400000000e+00   -1.0596785358e+00
2.4600000000e+00   -1.0683644255e+00
2.4800000000e+00   -1.0770503151e+00
2.5000000000e+00   -1.0857362048e+00
2.5200000000e+00   -1.0944220944e+00
2.5400000000e+00   -1.1031079840e+00
2.5600000000e+00   -1.1117938737e+00
2.5800000000e+00   -1.1204797633e+00
2.6000000000e+00   -1.1291656529e+00
2.6200000000e+00   -1.1378515426e+00
2.6400000000e+00   -1.1465374322e+00
2.6600000000e+00   -1.1552233219e+00
2.6800000000e+00   -1.1639092115e+00
2.7000000000e+00   -1.1725951011e+00
2.7200000000e+00   -1.1812809908e+00
2.7400000000e+00   -1.1899668804e+00
2.7600000000e+00   -1.1986527701e+00
2.7800000000e+00   -1.2073386597e+00
2.8000000000e+00   -1.2160245493e+00
2.8200000000e+00   -1.2247104390e+00
2.8400000000e+00   -1.2333963286e+00
2.8600000000e+00   -1.2420822182e+00
2.8800000000e+00   -1.2507681079e+00
2.9000000000e+00   -1.2594539975e+00
2.9200000000e+00   -1.2681398872e+00
2.9400000000e+00   -1.2768257768e+00
2.9600000000e+00   -1.2855116664e+00
2.9800000000e+00   -1.2941975561e+00
3.0000000000e+00   -1.3028834457e+00
3.0200000000e+00   -1.3115693353e+00
3.0400000000e+00   -1.3202552250e+00
3.0600000000e+00   -1.3289411146e+00
3.0800000000e+00   -1.3376270043e+00
3.1000000000e+00   -1.3463128939e+00
3.1200000000e+00   -1.3549987835e+00
3.1400000000e+00   -1.3636846732e+00
3.1600000000e+00   -1.3723705628e+00
3.1800000000e+00   -1.3810564525e+00
3.2000000000e+00   -1.3897423421e+00
3.2200000000e+00   -1.3984282317e+00
3.2400000000e+00   -1.4071141214e+00
3.2600000000e+00   -1.4158000110e+00
3.2800000000e+00   -1.4244859006e+00
3.3000000000e+00   -1.4331717903e+00
3.3200000000e+00   -1.4418576799e+00
3.3400000000e+00   -1.4505435696e+00
3.3600000000e+00   -1.4592294592e+00
3.3800000000e+00   -1.4679153488e+00
3.4000000000e+00   -1.4766012385e+00
3.4200000000e+00   -1.4852871281e+00
3.4400000000e+00   -1.4939730177e+00
3.4600000000e+00   -1.5026589074e+00
3.4800000000e+00   -1.5113447970e+00
3.5000000000e+00   -1.5200306867e+00
3.5200000000e+00   -1.5287165763e+00
